"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15193005120","186254880","807669","6548","449152","340803","4177","81.57",""
"2","","Grand Theft Auto V","5084417880","115512720","271611","4705","201524","114051","2591","44.02",""
"3","","League of Legends","5037562920","78831180","482695","2766","116637","113000","1768","63.9",""
"4","","Counter-Strike","4438040640","66884580","744106","3357","142242","99552","1500","66.35",""
"5","","VALORANT","3255633660","128995620","254346","4493","229747","73029","2893","25.24",""
"6","","Dota 2","2398679160","40528380","270545","1817","52739","53806","909","59.19",""
"7","","Fortnite","2137626480","207090360","430964","10787","663822","47950","4645","10.32",""
"8","","Call of Duty: Warzone","2060106780","123878640","151353","5719","272371","46211","2778","16.63",""
"9","","Minecraft","1912507020","97557120","215267","4175","318504","42900","2188","19.6",""
"10","","IRL","1800352080","17188980","244057","717","43847","40384","385","104.74",""
"11","","Streamer University","1638655860","3725880","733955","937","11736","36757","83","439.8",""
"12","","Clair Obscur: Expedition 33","1352413920","64215960","263033","3122","92486","30336","1440","21.06",""
"13","","Apex Legends","1263468780","85714560","160746","3944","156191","28341","1922","14.74",""
"14","","World of Warcraft","1248303780","39206100","77963","2331","39552","28001","879","31.84",""
"15","","Marvel Rivals","1131296640","70359540","188938","4080","164736","25376","1578","16.08",""
"16","","Overwatch 2","1075749000","41937720","81527","1591","91770","24130","940","25.65",""
"17","","EA Sports FC 25","1065206460","34979100","145773","2489","122262","23894","784","30.45",""
"18","","Dead by Daylight","1016760840","69574800","138157","3292","112146","22807","1560","14.61",""
"19","","Teamfight Tactics","892620300","10632060","53442","381","21811","20022","238","83.96",""
"20","","Tom Clancy's Rainbow Six Siege X","812377500","45958560","190659","2944","161068","18222","1030","17.68",""
"21","","Rust","779825760","15602460","80499","1212","24523","17492","349","49.98",""
"22","","Kings League","768228360","419700","432119","119","894","17232","9","1830.42",""
"23","","Street Fighter 6","694869300","8377800","156691","476","16073","15587","187","82.94",""
"24","","Hearthstone","682324200","6036780","45376","272","9178","15305","135","113.03",""
"25","","Special Events","678496740","4338720","246856","327","7456","15219","97","156.38",""
"26","","Elden Ring: Nightreign","631786680","14019480","346300","7995","55203","14171","314","45.06",""
"27","","Rocket League","558937620","27931680","212353","1219","133085","12537","626","20.01",""
"28","","Sports","554310900","6060540","95649","513","11808","12434","135","91.46",""
"29","","Escape from Tarkov","553321020","17892420","41724","664","17743","12411","401","30.92",""
"30","","DOOM: The Dark Ages","543108060","19774620","163989","3448","64724","12182","443","27.46",""
"31","","PUBG: BATTLEGROUNDS","530745960","26375700","78783","1157","45378","11905","591","20.12",""
"32","","ASMR","527051460","6765540","22591","204","3223","11822","151","77.9",""
"33","","The Elder Scrolls IV: Oblivion Remastered","470037840","22693980","98943","2011","52513","10543","509","20.71",""
