"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","18098949000","175504440","1122801","6436","401632","419539","4068","103.13",""
"2","","League of Legends","5366990340","100574640","2615257","3828","152380","124408","2331","53.36",""
"3","","Grand Theft Auto V","5166725460","107240160","255191","4401","171068","119766","2485","48.18",""
"4","","Minecraft","3814707300","82623900","981251","3960","257607","88426","1915","46.17",""
"5","","Fortnite","3523178760","333143640","966022","60246","1089191","81668","7722","10.58",""
"6","","VALORANT","3429846180","141644400","429598","4550","263284","79505","3283","24.21",""
"7","","World of Warcraft","3008810220","53653980","405986","3861","52576","69745","1243","56.08",""
"8","","Counter-Strike","2887674120","53568540","434040","2480","112034","66937","1241","53.91",""
"9","","Call of Duty: Black Ops 6","2648895720","175111860","356489","10826","260891","61402","4059","15.13",""
"10","","Dota 2","2517815340","47635440","220528","2212","56842","58363","1104","52.86",""
"11","","EA Sports FC 25","1332631560","32686620","239185","2118","98129","30890","757","40.77",""
"12","","Call of Duty: Warzone","1322980560","147413280","176766","7272","364408","30667","3417","8.97",""
"13","","Rust","1290879420","14960520","247707","911","24880","29923","346","86.29",""
"14","","Apex Legends","1244301660","81709380","112086","3393","141487","28843","1894","15.23",""
"15","","Overwatch 2","1234460520","55774620","125096","2904","125641","28615","1292","22.13",""
"16","","I'm Only Sleeping","1104476340","8445300","200420","341","5992","25602","195","130.78",""
"17","","Virtual Casino","988247940","1862820","73402","83","2398","22907","43","530.51",""
"18","","Dead by Daylight","978708180","65593260","83147","3502","103079","22686","1520","14.92",""
"19","","S.T.A.L.K.E.R. 2: Heart of Chornobyl","924242460","20448180","417227","4479","49319","21424","473","45.2",""
"20","","Teamfight Tactics","922354980","12831600","72738","1097","27551","21380","297","71.88",""
"21","","IRL","856050660","11470380","330768","391","24010","19843","265","74.63",""
"22","","Tom Clancy's Rainbow Six Siege X","699458520","37499640","146051","1745","134992","16213","869","18.65",""
"23","","Street Fighter 6","694058460","8025300","163335","424","14742","16088","186","86.48",""
"24","","ASMR","679694460","6753480","27483","202","3087","15755","156","100.64",""
"25","","Special Events","659113800","4160880","182962","336","7094","15278","96","158.41",""
"26","","Sports","625693920","8111400","157822","526","12279","14503","188","77.14",""
"27","","Hearthstone","623044920","5167140","57534","293","8434","14442","119","120.58",""
"28","","Escape from Tarkov","529402140","17799960","32035","675","17179","12271","412","29.74",""
"29","","FINAL FANTASY XIV ONLINE","518256900","18880140","89794","2005","22996","12013","437","27.45",""
"30","","PUBG: BATTLEGROUNDS","501150720","24291420","95728","1083","39858","11616","563","20.63",""
"31","","Slots","479522280","3823260","46061","180","4798","11115","88","125.42",""
"32","","Farming Simulator 25","475559400","11755080","65916","1657","18530","11023","272","40.46",""
"33","","Brawl Stars","456442260","6082620","902903","331","46589","10580","140","75.04",""
"34","","Music","441261660","22653240","98509","879","36120","10228","525","19.48",""
"35","","Anime Squad","423858900","7922220","14810","237","2516","9825","183","53.5",""
"36","","Art","409254840","24185460","21656","869","41058","9486","560","16.92",""
"37","","Throne and Liberty","396644760","16415640","51204","899","19712","9194","380","24.16",""
"38","","World of Tanks","385532160","6134280","41174","370","7965","8936","142","62.85",""
"39","","Old School RuneScape","378412440","7324080","63551","870","6953","8771","169","51.67",""
"40","","Always On","378029940","11645580","18848","323","1079","8762","269","32.46",""
"41","","DJs","364662360","8287200","25013","449","7799","8452","192","44",""
"42","","The Bazaar","329658240","2242740","35956","113","2480","7641","51","146.99",""
"43","","Deadlock","313313940","10470000","36868","499","16300","7262","242","29.92",""
"44","","Retro","310623060","10827540","25355","391","10758","7200","250","28.69",""
"45","","Dragon Age: The Veilguard","297084660","15487740","105202","1401","18627","6886","359","19.18",""
"46","","Genshin Impact","285149340","20990880","111416","1794","49317","6609","486","13.58",""
"47","","DayZ","276939300","13593600","52891","605","23537","6419","315","20.37",""
"48","","Talk Shows & Podcasts","261811080","10528740","89253","567","12434","6068","244","24.87",""
"49","","Rocket League","258430620","26823000","42435","1153","130320","5990","621","9.63",""
"50","","Tibia","258159120","9914580","12239","397","5748","5984","229","26.04",""
"51","","Albion Online","253703580","4750680","13547","183","3697","5880","110","53.4",""
"52","","ELDEN RING","251963640","16479420","22758","679","38767","5840","381","15.29",""
"53","","SUPERVIVE","248814000","3618660","112929","538","11881","5767","83","68.76",""
"54","","Games + Demos","246919140","19705080","71577","751","86731","5723","456","12.53",""
"55","","Arena Breakout: Infinite","246285300","5838720","43807","433","7325","5708","135","42.18",""
"56","","Kings League","243596820","195720","110544","23","237","5646","4","1244.62",""
"57","","Animals, Aquariums, and Zoos","232097700","10314480","14454","287","925","5380","239","22.5",""
"58","","Phasmophobia","219291180","31866840","31102","3078","101125","5083","738","6.88",""
"59","","Pokémon Trading Card Game Pocket","212471160","3963060","43969","189","15760","4925","91","53.61",""
"60","","Dragon Quest III: HD-2D Remake","209288280","3222120","51063","361","3868","4851","74","64.95",""
"61","","Super Mario Party Jamboree","209192640","2051460","61440","193","6394","4849","47","101.97",""
"62","","Metin2","204150600","2291160","13922","161","1954","4732","53","89.1",""
"63","","Destiny 2","203652540","14167200","88070","812","25683","4720","328","14.37",""
"64","","The Simpsons: Hit & Run","201469560","1346040","13293","53","762","4670","31","149.68",""
"65","","Black Desert","194834340","5191140","9475","189","3448","4516","120","37.53",""
"66","","Path of Exile 2","192704880","497340","478291","717","1217","4466","11","387.47",""
"67","","Silent Hill 2","188080200","9016440","46653","795","23843","4359","209","20.86",""
"68","","NBA 2K25","181007700","36617220","30723","1741","89654","4195","848","4.94",""
"69","","Crypto","177202440","4097700","25084","174","1988","4107","94","43.24",""
"70","","Call of Duty","177192240","122914140","15808","5853","304877","4107","2849","1.44",""
"71","","Chess","176986860","2260620","59944","116","5425","4102","52","78.29",""
"72","","Resident Evil 4","175793340","4989240","18310","247","13407","4074","115","35.23",""
"73","","Lost Ark","175296060","4459560","11166","234","2460","4063","103","39.31",""
"74","","ROBLOX","174213960","39265920","33568","1966","233040","4038","910","4.44",""
"75","","Red Dead Redemption 2","172150320","15483360","55577","681","35986","3990","358","11.12",""
"76","","Star Citizen","170581440","4144260","20119","271","4420","3954","96","41.16",""
"77","","Monster Hunter: World","164764620","9701760","18113","391","17478","3819","224","16.98",""
"78","","Liar's Bar","164368140","2419140","63452","138","19387","3810","56","67.94",""
"79","","Monster Hunter Wilds","160058820","5626080","100278","4132","28477","3710","130","28.45",""
"80","","VRChat","157956240","4421880","20640","295","9547","3661","102","35.72",""
"81","","Sea of Thieves","154705980","8209800","24653","551","19506","3586","190","18.84",""
"82","","Hunt: Showdown 1896","153920520","8843580","32925","462","11083","3567","204","17.4",""
"83","","Arcane","149888640","1219680","577550","1980","6036","3474","28","122.89",""
"84","","Enshrouded","146410200","4012200","31987","232","6087","3393","93","36.49",""
"85","","Trackmania","144438600","1309020","63183","145","2454","3348","30","110.34",""
"86","","Factorio","143986920","4499340","21695","286","4394","3337","104","32",""
"87","","Magic: The Gathering","142370640","2792400","12204","147","5297","3300","64","50.99",""
"88","","Path of Exile","139796520","4049460","37821","480","4986","3240","93","34.52",""
"89","","Heroes of Might and Magic III: The Restoration of Erathia","138325680","1188660","13718","67","819","3206","27","116.37",""
"90","","Ashes of Creation","133379880","1587300","69967","324","1571","3091","36","84.03",""
"91","","Poker","130290420","2525340","27321","165","2765","3020","58","51.59",""
"92","","War Thunder","127418100","7666740","41984","372","19585","2953","177","16.62",""
"93","","New World: Aeternum","125781000","6552180","11452","334","8116","2915","151","19.2",""
