"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15123508620","186958080","965843","8114","458164","350568","4333","80.89",""
"2","","Grand Theft Auto V","5290030680","113768160","317082","4711","205163","122624","2637","46.5",""
"3","","Counter-Strike","5078220600","60774000","1149022","3061","134551","117714","1408","83.56",""
"4","","League of Legends","5055323100","77706600","509733","2774","115818","117184","1801","65.06",""
"5","","VALORANT","3198226260","127706820","556891","4913","231984","74135","2960","25.04",""
"6","","Dota 2","2426241840","38158020","241209","1813","52002","56241","884","63.58",""
"7","","IRL","2278728720","19017840","440804","734","50925","52821","440","119.82",""
"8","","Fortnite","2110702740","224832240","337053","31398","738068","48926","5211","9.39",""
"9","","Call of Duty: Warzone","1561105500","117190260","97196","5333","266960","36186","2716","13.32",""
"10","","Minecraft","1557844440","91310700","268871","3887","296533","36111","2116","17.06",""
"11","","Mario Kart World","1379655120","11191020","286792","2037","27073","31980","259","123.28",""
"12","","Elden Ring: Nightreign","1264050720","62181780","218203","4722","110800","29301","1441","20.33",""
"13","","Dead by Daylight","1226683800","82324080","94730","5042","148655","28434","1908","14.9",""
"14","","Dune: Awakening","1208492640","27959760","199208","3056","25304","28013","648","43.22",""
"15","","Path of Exile","1178111760","14421960","334854","2664","10671","27309","334","81.69",""
"16","","Marvel Rivals","1158351840","60730140","147301","3394","147741","26850","1407","19.07",""
"17","","Tom Clancy's Rainbow Six Siege X","1093604520","70050720","263917","5025","236552","25350","1623","15.61",""
"18","","World of Warcraft","1068282960","33521580","110592","2134","35968","24763","777","31.87",""
"19","","Rust","1063471800","14665920","175320","986","25999","24651","339","72.51",""
"20","","Special Events","974438880","5878020","865838","3835","17021","22587","136","165.78",""
"21","","Apex Legends","934968360","79149120","73181","3220","148506","21672","1834","11.81",""
"22","","Overwatch 2","829225080","39365280","73081","1879","85403","19221","912","21.06",""
"23","","EA Sports FC 25","808497420","33231540","102961","1959","129101","18741","770","24.33",""
"24","","Hearthstone","734574840","5171640","97244","231","8106","17027","119","142.04",""
"25","","Street Fighter 6","714416820","9037440","93485","697","17269","16560","209","79.05",""
"26","","Teamfight Tactics","602374500","7960260","39089","303","18067","13963","184","75.67",""
"27","","PEAK","505468320","13781460","152037","2101","63802","11716","319","36.68",""
"28","","Kings League","498160800","274920","297210","70","596","11547","6","1812.02",""
"29","","World of Tanks","492971340","5552520","75759","281","7173","11427","128","88.78",""
"30","","Death Stranding 2: On The Beach","488288040","8833380","144579","1522","15961","11318","204","55.28",""
"31","","Old School RuneScape","487081260","6586080","88135","240","6519","11290","152","73.96",""
"32","","Sports","472765860","5575620","69364","471","10090","10958","129","84.79",""
"33","","Rocket League","456301320","27042600","159933","1279","132571","10577","626","16.87",""
"34","","PUBG: BATTLEGROUNDS","455318880","25199700","48531","1191","43082","10554","584","18.07",""
"35","","ASMR","454319880","6105780","19339","191","3085","10531","141","74.41",""
"36","","Virtual Casino","450580200","1345680","31334","65","1935","10444","31","334.83",""
"37","","Escape from Tarkov","443847900","15380640","39612","549","16028","10288","356","28.86",""
"38","","REMATCH","441369180","14986260","166174","1894","62572","10231","347","29.45",""
"39","","I'm Only Sleeping","435239700","7923600","54582","332","5803","10089","183","54.93",""
"40","","Art","421073460","24829920","20808","975","42336","9760","575","16.96",""
"41","","Music","406488180","22450920","68386","800","36882","9422","520","18.11",""
"42","","DJs","399031260","9216840","36393","450","8472","9249","213","43.29",""
"43","","Clair Obscur: Expedition 33","397087200","25389960","37501","1462","45876","9204","588","15.64",""
"44","","Slots","372801840","3337920","28743","160","3881","8641","77","111.69",""
"45","","ROBLOX","352045440","62982180","139196","4022","348042","8160","1459","5.59",""
"46","","Shadowverse: Worlds Beyond","339601920","4458780","72439","775","8658","7872","103","76.16",""
"47","","Lies of P","332299380","11787300","87442","929","18880","7702","273","28.19",""
"48","","Clash Royale","327155100","2320320","59052","110","20378","7583","53","141",""
"49","","Summer Game Fest","285770100","1056240","1360810","5207","6703","6624","24","270.55",""
"50","","MapleStory Worlds","278099460","5698440","27899","654","2990","6446","132","48.8",""
"51","","Tibia","277460400","11047560","16391","634","5954","6431","256","25.12",""
"52","","Black Desert","263693760","5214480","50628","298","3939","6112","120","50.57",""
"53","","Retro","263515380","10157280","12801","352","10536","6108","235","25.94",""
"54","","Always On","261052920","10743840","13719","310","896","6051","249","24.3",""
"55","","Splitgate 2","260800140","10402260","136646","1182","56281","6045","241","25.07",""
"56","","F1 25","257500200","4801920","149091","654","14813","5968","111","53.62",""
"57","","Genshin Impact","252280020","14835060","111718","1910","34536","5847","343","17.01",""
"58","","Games + Demos","242749140","24332880","74413","1019","110491","5627","564","9.98",""
"59","","Talk Shows & Podcasts","240873000","10347420","25603","501","12645","5583","239","23.28",""
"60","","Call of Duty: Black Ops 6","234070800","26894220","31691","1467","59914","5425","623","8.7",""
"61","","ELDEN RING","233090880","18483540","27146","725","49641","5403","428","12.61",""
"62","","NBA 2K25","230905740","49977420","84821","2620","155965","5352","1158","4.62",""
"63","","Destiny 2","214479060","14273460","92600","725","27699","4971","330","15.03",""
"64","","Animals, Aquariums, and Zoos","212818560","12693480","15154","375","1073","4933","294","16.77",""
"65","","Albion Online","209928780","4742280","74262","213","3907","4866","109","44.27",""
"66","","Red Dead Redemption 2","208696800","15950880","37866","755","38054","4837","369","13.08",""
"67","","Hunt: Showdown 1896","205970220","9879420","45976","968","12068","4774","229","20.85",""
"68","","R.E.P.O.","205103820","22263720","37008","1459","89293","4754","516","9.21",""
"69","","Phasmophobia","201840060","16059960","48343","1856","65972","4678","372","12.57",""
"70","","DayZ","196013940","11426400","34629","546","20939","4543","264","17.15",""
"71","","Crypto","194099640","3782520","11667","144","2159","4499","87","51.31",""
