"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","13433271540","173929140","1021472","7358","427068","311387","4031","77.23",""
"2","","Grand Theft Auto V","6649493160","121498080","308020","4497","215562","154137","2816","54.73",""
"3","","League of Legends","5612792160","96400680","503077","3218","146240","130106","2234","58.22",""
"4","","ELDEN RING","5486094180","167821620","650280","15112","266032","127169","3890","32.69",""
"5","","VALORANT","4183716180","181441800","543794","6531","369156","96979","4205","23.06",""
"6","","Counter-Strike","2581506660","45692640","600631","1982","109483","59840","1059","56.5",""
"7","","Fortnite","2437531920","252837360","216271","11924","768791","56502","5860","9.64",""
"8","","Dota 2","2385072240","45243300","151249","1981","57547","55286","1048","52.72",""
"9","","Call of Duty: Warzone","1753308600","148750620","142444","6382","332170","40642","3448","11.79",""
"10","","Rust","1741220400","16336560","331989","973","28788","40362","378","106.58",""
"11","","Apex Legends","1481904000","103132800","105282","3597","188856","34351","2390","14.37",""
"12","","Destiny 2","1474699320","72164940","485292","13376","99907","34184","1672","20.44",""
"13","","Special Events","1335489540","6592260","1256433","6187","19346","30957","152","202.58",""
"14","","Minecraft","1274387820","102462720","128706","3889","346507","29540","2375","12.44",""
"15","","IRL","1189726380","10905780","107337","445","19616","27578","252","109.09",""
"16","","Overwatch 2","1100930820","56723400","112987","2572","133705","25519","1314","19.41",""
"17","","Dead by Daylight","1066379100","77929620","58064","3509","119898","24719","1806","13.68",""
"18","","World of Warcraft","1001842920","34296480","67124","2137","37562","23223","795","29.21",""
"19","","Virtual Casino","984878640","1908900","84170","95","1807","22829","44","515.94",""
"20","","EA Sports FC 24","978194700","41181120","138575","2215","155523","22674","954","23.75",""
"21","","Tom Clancy's Rainbow Six Siege","976539420","69129720","125780","3817","225129","22636","1602","14.13",""
"22","","Street Fighter 6","900685380","11478360","144937","662","23332","20878","266","78.47",""
"23","","Sports","795127500","7564380","138972","647","12716","18431","175","105.11",""
"24","","Music","759130620","33813300","192328","1275","43690","17596","783","22.45",""
"25","","Kings League","734747460","273420","792399","114","717","17031","6","2687.25",""
"26","","DayZ","690557760","11868060","59390","553","21955","16007","275","58.19",""
"27","","Dark and Darker","676581900","13150860","63563","615","27325","15683","304","51.45",""
