"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"35","","Rust","518862000","15756600","113015","1536","29749","11638","353","32.93",""
"36","","Destiny 2","499491060","23875260","158489","1718","44688","11204","535","20.92",""
"37","","Path of Exile","485088540","6271080","266148","2721","8599","10881","140","77.35",""
"38","","Art","470663160","28103760","46229","2090","49405","10557","630","16.75",""
"39","","Genshin Impact","438016320","42837420","160533","2849","66249","9825","960","10.23",""
"40","","A Difficult Game About Climbing","435977220","1944960","192402","159","9430","9779","43","224.16",""
"41","","TEKKEN 8","408189960","11954940","87129","1187","25790","9156","268","34.14",""
"42","","World of Tanks","387077760","7384560","184888","683","10308","8682","165","52.42",""
"43","","Last Epoch","376771500","11672880","112991","2167","16063","8451","261","32.28",""
"44","","Pools, Hot Tubs, and Beaches","372582720","3387120","41863","271","3038","8357","75","110",""
"45","","Rise Online","371382840","4234620","45526","351","1339","8330","94","87.7",""
"46","","DayZ","369739320","13294860","72779","1290","25723","8293","298","27.81",""
"47","","Backpack Battles","367078020","2390040","63917","144","4844","8234","53","153.59",""
"48","","IRL","356670420","5773260","63473","336","4894","8000","129","61.78",""
"49","","Red Dead Redemption 2","335423040","16609860","93055","1612","42355","7524","372","20.19",""
"50","","Honkai: Star Rail","333341880","17951400","113805","3297","44835","7477","402","18.57",""
"51","","Old School RuneScape","325987620","7019100","62372","683","7263","7312","157","46.44",""
"52","","Retro","320341860","11894160","30933","1178","11911","7185","266","26.93",""
"53","","Stardew Valley","310890600","13982700","77665","1810","37777","6973","313","22.23",""
"54","","I'm Only Sleeping","305888520","8711760","83237","641","6188","6861","195","35.11",""
"55","","Talk Shows & Podcasts","289730700","10333440","89685","555","13878","6499","231","28.04",""
"56","","Black Desert","280640340","7952820","31437","577","7191","6295","178","35.29",""
"57","","ROBLOX","266135220","38298660","113827","2975","229218","5969","859","6.95",""
"58","","Brawl Stars","261607680","7752780","102788","631","68438","5868","173","33.74",""
"59","","Albion Online","250970400","4857240","21016","494","4149","5629","108","51.67",""
"60","","Tibia","239057280","8725980","30884","945","5316","5362","195","27.4",""
"61","","Halo Infinite","230046420","6902700","98745","540","21666","5160","154","33.33",""
"62","","Lost Ark","225723180","5960640","18378","457","4117","5063","133","37.87",""
"63","","FINAL FANTASY XIV ONLINE","224373480","17243400","75221","1321","23278","5033","386","13.01",""
"64","","Chess","223283160","2638500","37382","281","6749","5008","59","84.63",""
"65","","NBA 2K24","219273540","44441640","22530","3272","118156","4918","996","4.93",""
"66","","Poker","201765840","3177480","55084","285","3621","4525","71","63.5",""
"67","","Animals, Aquariums, and Zoos","200919360","11435100","16053","540","1142","4506","256","17.57",""
"68","","Hunt: Showdown 1896","200322420","12937440","20090","1262","15501","4493","290","15.48",""
"69","","Sea of Thieves","200135400","12004680","81941","1194","31015","4489","269","16.67",""
"70","","Lethal Company","195299280","14157720","74452","2044","62912","4380","317","13.79",""
"71","","Always On","192387300","8390640","16641","523","610","4315","188","22.93",""
"72","","Marvel Snap","187105980","1696380","28735","162","3126","4197","38","110.3",""
"73","","Dark and Darker","186661440","4379280","30889","456","4593","4187","98","42.62",""
"74","","Games + Demos","170571540","20692560","82630","1281","98448","3826","464","8.24",""
"75","","Garry's Mod","170347380","1328640","66283","194","4574","3821","29","128.21",""
"76","","Balatro","165796740","3144720","30858","340","10097","3719","70","52.72",""
"77","","Software and Game Development","164728080","5889600","78685","461","8874","3695","132","27.97",""
"78","","Baldur's Gate 3","162956040","16089120","96748","1601","32215","3655","360","10.13",""
"79","","VRChat","161287440","4842120","21089","542","10926","3617","108","33.31",""
"80","","SMITE","158092680","7625880","13661","597","13957","3546","171","20.73",""
"81","","Call of Duty","156749340","92920320","13636","5987","240256","3516","2084","1.69",""
"82","","The Simpsons: Hit & Run","155224020","1259040","13190","116","792","3481","28","123.29",""
"83","","Sons of the Forest","154498020","6320640","56968","975","16957","3465","141","24.44",""
"84","","DARK SOULS III","148184760","5335680","73724","414","14033","3324","119","27.77",""
"85","","Magic: The Gathering","147238380","2987700","26556","316","5112","3302","67","49.28",""
"86","","Pokémon Scarlet/Violet","147016740","6060540","86928","662","9038","3297","135","24.26",""
"87","","Anime Squad","146692260","4436880","15327","347","1720","3290","99","33.06",""
"88","","Madden NFL 24","144982380","36228840","43062","2577","134762","3252","812","4",""
"89","","MLB The Show 24","141953760","6766980","39991","1076","16045","3184","151","20.98",""
"90","","Heroes of Might and Magic III: The Restoration of Erathia","136758120","1427880","14033","193","930","3067","32","95.78",""
"91","","Among Us","135310260","3482100","97641","531","25072","3035","78","38.86",""
"92","","Age of Empires II","134926320","2123280","98131","164","3820","3026","47","63.55",""
"93","","Monster Hunter: World","133575780","9758280","56305","628","17163","2996","218","13.69",""
"94","","Escape from Tarkov: Arena","133492260","2805360","180043","903","5542","2994","62","47.58",""
"95","","Fall Guys","129947700","7043100","143850","734","51406","2914","157","18.45",""
"96","","Warframe","128924040","11205180","45167","832","22432","2891","251","11.51",""
"97","","Super Smash Bros. Ultimate","120198780","3820980","36537","375","8487","2696","85","31.46",""
"98","","Clash Royale","115530960","1570140","29375","134","12778","2591","35","73.58",""
"99","","Crypto","113152020","3672960","21636","410","2552","2538","82","30.81",""
"100","","Rise of the Ronin","112614480","4672440","37881","701","9507","2526","104","24.1",""
