"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15109964520","194833920","2201336","17915","477707","338940","4370","77.55",""
"2","","Grand Theft Auto V","9025634280","134091480","1083441","13835","226621","202459","3007","67.31",""
"3","","League of Legends","6810069240","114031200","960116","10243","178742","152760","2557","59.72",""
"4","","VALORANT","6011584200","202337160","1269520","15066","345290","134849","4538","29.71",""
"5","","Counter-Strike","5439424500","58741020","1548040","6052","143064","122014","1317","92.6",""
"6","","Fortnite","3367387140","405379020","502147","38085","1213954","75535","9093","8.31",""
"7","","Dota 2","2867836920","50930400","1136814","4584","65345","64330","1142","56.31",""
"8","","Apex Legends","1877942940","135603300","247401","9468","248515","42125","3041","13.85",""
"9","","Call of Duty: Warzone","1844657220","151959000","185475","11190","307582","41378","3408","12.14",""
"10","","Overwatch 2","1675333320","70362780","140380","4911","161248","37580","1578","23.81",""
"11","","Tom Clancy's Rainbow Six Siege","1551618420","106265580","376964","6703","326305","34805","2383","14.6",""
"12","","World of Warcraft","1337506860","38222760","175971","3349","43768","30002","857","34.99",""
"13","","Minecraft","1286087100","87702780","204284","9069","290735","28848","1967","14.66",""
"14","","Dead by Daylight","1212462660","81919020","101347","6423","124764","27197","1837","14.8",""
"15","","Sports","1184400420","6665820","374277","808","12822","26567","149","177.68",""
"16","","EA Sports FC 24","1152504780","38548320","145363","3414","132939","25852","864","29.9",""
"17","","Supermarket Simulator","991420320","18367560","141166","1217","53593","22239","412","53.98",""
"18","","Escape from Tarkov","942151620","33656400","83128","3188","29189","21133","754","27.99",""
"19","","Slots","936127080","4479960","104928","453","5550","20998","100","208.96",""
"20","","Teamfight Tactics","884294520","14531040","73476","1050","31964","19836","325","60.86",""
"21","","Dragon's Dogma II","871680660","27090240","192507","4259","44565","19553","607","32.18",""
"22","","HELLDIVERS 2","867981060","65550000","175385","7365","174734","19470","1470","13.24",""
"23","","Virtual Casino","838698960","1743600","90988","189","1424","18813","39","481.02",""
"24","","ELDEN RING","821819280","38020740","157197","3678","83401","18434","852","21.62",""
"25","","Music","819304440","37538400","122734","3700","48592","18378","842","21.83",""
"26","","Casino","812520720","3535260","98056","326","2206","18226","79","229.83",""
"27","","Hearthstone","798411720","6164460","73615","448","10304","17909","138","129.52",""
"28","","FINAL FANTASY VII REBIRTH","745423380","51397500","172190","7528","38849","16721","1152","14.5",""
"29","","Rocket League","707484660","38185860","382874","3277","173857","15870","856","18.53",""
"30","","PUBG: BATTLEGROUNDS","693009600","31476840","104163","2712","55175","15545","706","22.02",""
"31","","Special Events","657360960","3135780","809847","483","6810","14745","70","209.63",""
"32","","Street Fighter 6","654310380","8423340","121698","579","17086","14677","188","77.68",""
"33","","ASMR","551355180","8117940","53201","581","3685","12367","182","67.92",""
"34","","Call of Duty: Modern Warfare III","527501760","47024160","70679","3579","82227","11832","1054","11.22",""
