"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","13449845220","179666700","696629","6230","431981","301701","4030","74.86",""
"2","","Grand Theft Auto V","8273427000","127110660","453586","4872","205233","185586","2851","65.09",""
"3","","League of Legends","6776576880","107737980","908794","3815","159076","152009","2416","62.9",""
"4","","VALORANT","4911928560","177117060","407450","6854","304417","110182","3973","27.73",""
"5","","Counter-Strike","3298827180","51720360","312279","2411","120394","73997","1160","63.78",""
"6","","Dota 2","2971485420","51789900","356874","2203","61170","66655","1161","57.38",""
"7","","Fortnite","2682801780","283935540","309821","14419","803589","60179","6369","9.45",""
"8","","Apex Legends","1926329400","130731960","341684","6247","226087","43210","2932","14.73",""
"9","","Call of Duty: Warzone","1826681700","153411840","102798","6368","323217","40975","3441","11.91",""
"10","","ELDEN RING","1611621000","36328680","296133","1727","80912","36151","814","44.36",""
"11","","Minecraft","1570391340","86087880","199246","3608","286047","35226","1931","18.24",""
"12","","World of Warcraft","1533722880","43816680","112934","2908","42794","34403","982","35",""
"13","","Rust","1399643760","14909160","255215","851","25869","31396","334","93.88",""
"14","","Street Fighter 6","1395934920","11325300","225581","1015","21195","31313","254","123.26",""
"15","","EA Sports FC 24","1278876600","47752080","144997","2633","161318","28687","1071","26.78",""
"16","","Tom Clancy's Rainbow Six Siege","1179849360","69860340","187580","3496","224674","26465","1567","16.89",""
"17","","Dead by Daylight","1159517100","74863920","141864","3019","110487","26009","1679","15.49",""
"18","","Virtual Casino","1153269300","2075100","100631","93","1720","25869","46","555.77",""
"19","","Overwatch 2","1007569800","62484060","116432","2360","144948","22601","1401","16.13",""
"20","","Arena Breakout: Infinite","938441460","8303460","217537","843","12585","21050","186","113.02",""
"21","","Kings League","837907140","185580","893949","86","585","18795","4","4515.07",""
"22","","Music","805371960","37261800","59113","1402","45601","18065","835","21.61",""
"23","","Special Events","791957400","3813240","657936","2583","8825","17764","85","207.69",""
"24","","IRL","784770660","9805200","104890","362","15713","17603","219","80.04",""
"25","","Hearthstone","780390180","6817560","52673","276","10369","17505","152","114.47",""
"26","","Teamfight Tactics","774703380","10227300","45458","393","23233","17377","229","75.75",""
"27","","Sports","735618660","7187820","162976","558","13934","16501","161","102.34",""
"28","","PUBG: BATTLEGROUNDS","687793440","30688320","110428","1387","52323","15428","688","22.41",""
"29","","Slots","667956120","4155780","41611","181","5300","14983","93","160.73",""
"30","","Destiny 2","606886320","36466140","80859","1796","61226","13613","817","16.64",""
"31","","XDefiant","592757640","44467200","206136","6490","193042","13296","997","13.33",""
"32","","Wuthering Waves","581308680","24390840","147490","7687","54055","13039","547","23.83",""
"33","","Diablo IV","561669000","23700300","138547","2871","39411","12599","531","23.7",""
"34","","ASMR","537708420","7579740","21860","225","3454","12061","170","70.94",""
"35","","Rocket League","514051440","33532320","166775","1413","144749","11530","752","15.33",""
"36","","Trackmania","508197780","1726440","51364","119","4119","11399","38","294.36",""
"37","","Escape from Tarkov","494846640","23126520","75605","827","22608","11100","518","21.4",""
"38","","Albion Online","481008540","8077500","27807","358","6817","10789","181","59.55",""
"39","","V Rising","463695540","11024400","114595","1061","15720","10401","247","42.06",""
"40","","Art","460055280","28228740","23342","953","46831","10319","633","16.3",""
"41","","Star Citizen","430988760","5288760","45883","364","6292","9667","118","81.49",""
"42","","Casino","401087280","1264680","30362","70","4177","8997","28","317.15",""
"43","","Call of Duty: Modern Warfare III","366950400","35869500","94501","1817","64856","8231","804","10.23",""
"44","","Hades II","360591060","9965940","99770","1281","21842","8088","223","36.18",""
