"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14374808580","177273840","1508795","6797","411760","322449","3976","81.09",""
"2","","League of Legends","8117883240","97596360","1727490","3748","144106","182096","2189","83.18",""
"3","","Grand Theft Auto V","5743726260","110692740","300318","4404","172643","128840","2483","51.89",""
"4","","VALORANT","3099647400","156856980","166682","5306","295538","69530","3518","19.76",""
"5","","Minecraft","2998537200","84695640","255593","3597","268543","67261","1899","35.4",""
"6","","Counter-Strike","2866747020","54670860","458172","2558","116049","64305","1226","52.44",""
"7","","Dota 2","2705481600","44877000","283909","2007","59298","60688","1006","60.29",""
"8","","Fortnite","2543845860","262722960","430423","30889","805029","57062","5893","9.68",""
"9","","EA Sports FC 25","2463243660","54130740","239794","4021","144435","55254","1214","45.51",""
"10","","Call of Duty: Black Ops 6","1817917260","75890580","395531","14903","163803","40778","1702","23.95",""
"11","","World of Warcraft","1634627100","50869380","90815","3205","48383","36667","1141","32.13",""
"12","","Throne and Liberty","1508688180","50953200","195086","5315","72011","33842","1142","29.61",""
"13","","Apex Legends","1283377620","78880020","79356","3158","143729","28788","1769","16.27",""
"14","","Special Events","1220567580","4536540","185696","445","7849","27379","101","269.05",""
"15","","Virtual Casino","1151143920","2145300","88566","92","2312","25821","48","536.59",""
"16","","Diablo IV","1128728280","23484300","200181","2436","32334","25319","526","48.06",""
"17","","Call of Duty: Warzone","1126836600","136365780","61947","9365","343000","25276","3058","8.26",""
"18","","Silent Hill 2","1126389660","30381480","272748","2096","57524","25266","681","37.07",""
"19","","Overwatch 2","1124926560","63242880","78708","3102","142877","25233","1418","17.79",""
"20","","Dead by Daylight","1059529500","76869900","61096","3640","120414","23766","1724","13.78",""
"21","","IRL","919047480","12023580","116255","418","25854","20615","269","76.44",""
"22","","Street Fighter 6","844005960","8689620","104740","446","16263","18932","194","97.13",""
"23","","DRAGON BALL: Sparking! ZERO","715397460","53861880","247664","16458","197640","16047","1208","13.28",""
"24","","Sports","679491840","8914560","179224","528","12790","15242","199","76.22",""
"25","","Tom Clancy's Rainbow Six Siege X","668084700","52461360","88292","2509","183486","14986","1176","12.73",""
"26","","Hearthstone","666279000","5357580","41944","247","8543","14945","120","124.36",""
"27","","Escape from Tarkov","654137100","24468360","63547","919","22244","14673","548","26.73",""
"28","","ASMR","619995060","7656720","24825","221","3277","13907","171","80.97",""
"29","","Deadlock","618856740","18549360","59613","874","31180","13881","416","33.36",""
"30","","Rust","563201220","14305020","62695","982","24021","12633","320","39.37",""
"31","","TCG Card Shop Simulator","540854220","13671840","101496","579","37625","12132","306","39.56",""
"32","","Slots","513017580","4003080","36968","180","4788","11507","89","128.16",""
"33","","Teamfight Tactics","457159260","7952100","49837","304","19220","10254","178","57.49",""
"34","","PUBG: BATTLEGROUNDS","448204620","24624240","64267","1107","42217","10053","552","18.2",""
"35","","Always On","445231620","12556980","21211","324","1082","9987","281","35.46",""
"36","","Art","434479740","26848860","21312","1031","44321","9746","602","16.18",""
"37","","DayZ","428235000","16258800","84065","897","28122","9605","364","26.34",""
"38","","Music","411184920","25247760","47914","915","36183","9223","566","16.29",""
"39","","Anime Squad","405546060","7586760","14124","227","2576","9097","170","53.45",""
"40","","World of Tanks","402764220","6484200","46223","333","8199","9034","145","62.11",""
"41","","DJs","391648020","8276280","47427","443","7695","8785","185","47.32",""
"42","","Hunt: Showdown 1896","387308940","10585440","67084","673","13314","8687","237","36.59",""
"43","","I'm Only Sleeping","377413020","9073140","26922","377","5664","8465","203","41.6",""
"44","","Liar's Bar","362348940","3070680","99643","247","21136","8128","68","118",""
"45","","NBA 2K25","357496560","49499520","24945","2913","106568","8019","1110","7.22",""
"46","","Genshin Impact","355391460","23491500","46354","2002","48723","7971","526","15.13",""
"47","","Super Mario Party Jamboree","340304820","2560740","184330","602","7288","7633","57","132.89",""
"48","","Destiny 2","330447300","20185500","110102","3771","36162","7412","452","16.37",""
"49","","Games + Demos","309747480","22288620","88963","2133","101838","6948","499","13.9",""
"50","","Retro","306392160","11214900","15340","380","10899","6872","251","27.32",""
"51","","Rocket League","299239080","29737080","57420","1293","140276","6712","667","10.06",""
"52","","Old School RuneScape","297648600","6315780","16443","247","6133","6676","141","47.13",""
"53","","ELDEN RING","295530000","19718280","50757","843","47096","6629","442","14.99",""
"54","","Talk Shows & Podcasts","292790340","11222940","67487","533","12698","6567","251","26.09",""
"55","","New World: Aeternum","289463580","9400920","74114","1182","12792","6493","210","30.79",""
"56","","Until Dawn","265690800","4286880","95639","545","13085","5959","96","61.98",""
"57","","Satisfactory","251472480","10856820","39220","611","13492","5640","243","23.16",""
"58","","Animals, Aquariums, and Zoos","245573880","10635180","12833","289","995","5508","238","23.09",""
"59","","Lost Ark","239880720","5123100","34090","311","3060","5380","114","46.82",""
"60","","Tibia","237134340","9853500","13449","450","5709","5319","221","24.07",""
"61","","Once Human","232820280","11137980","51153","584","15718","5222","249","20.9",""
"62","","Albion Online","232727580","4758900","14184","187","3898","5220","106","48.9",""
"63","","ROBLOX","230591820","42913560","92374","2012","256060","5172","962","5.37",""
"64","","The Simpsons: Hit & Run","196397460","1261440","10340","50","781","4405","28","155.69",""
"65","","Kings League","195667380","161280","96527","18","215","4389","3","1213.22",""
"66","","Phasmophobia","195267720","15346680","51018","2940","62864","4380","344","12.72",""
"67","","Arena Breakout: Infinite","184730340","5035860","11953","225","6586","4143","112","36.68",""
"68","","A Quiet Place: The Road Ahead","183016320","3247200","144481","412","12367","4105","72","56.36",""
"69","","Off The Grid","182573280","4476840","155274","421","22574","4095","100","40.78",""
"70","","FINAL FANTASY XIV ONLINE","179990040","14057520","13514","915","19018","4037","315","12.8",""
"71","","Factorio","179923080","3792480","34211","537","4573","4035","85","47.44",""
"72","","Black Desert","179314440","5039820","10214","183","3628","4022","113","35.58",""
"73","","Star Citizen","170958660","3259260","57805","266","3507","3834","73","52.45",""
"74","","Marvel Snap","168583560","1494480","38134","105","2649","3781","33","112.8",""
"75","","Metaphor: ReFantazio","168226980","10765680","52411","742","12207","3773","241","15.63",""
"76","","VRChat","168070920","4768680","56550","278","10398","3770","106","35.24",""
"77","","Dark and Darker","164263920","5578800","9817","266","6519","3684","125","29.44",""
"78","","Chess","161238780","2338260","35094","118","5733","3616","52","68.96",""
"79","","Resident Evil 4","158371560","4740900","26402","234","13897","3552","106","33.41",""
"80","","Call of Duty: Modern Warfare III","151317060","19937040","75841","1209","41394","3394","447","7.59",""
"81","","Magic: The Gathering","148498740","2739300","28884","121","5278","3331","61","54.21",""
"82","","Sea of Thieves","147173520","9583380","102083","675","23501","3301","214","15.36",""
"83","","Warcraft III","145196880","1309920","21307","70","1513","3256","29","110.84",""
"84","","Heroes of Might and Magic III: The Restoration of Erathia","142926660","1257540","11419","79","848","3206","28","113.66",""
"85","","TEKKEN 8","142191420","5472660","18734","339","12440","3189","122","25.98",""
"86","","Call of Duty","142089180","95468700","11019","7681","272544","3187","2141","1.49",""
"87","","Eternal Return","140127900","1712940","15115","88","1922","3143","38","81.81",""
"88","","Black Myth: Wukong","138380220","10800240","33911","643","26992","3104","242","12.81",""
"89","","Red Dead Redemption 2","133478700","15417060","13908","683","38751","2994","345","8.66",""
"90","","Metin2","131518680","1891620","8165","108","1656","2950","42","69.53",""
"91","","Poker","130387260","2660220","14150","159","2908","2924","59","49.01",""
"92","","Warframe","129175140","10280280","61975","661","20936","2897","230","12.57",""
"93","","Casino Simulator","128576280","616740","23533","37","3410","2884","13","208.48",""
"94","","Software and Game Development","127643760","5720400","26324","227","7937","2863","128","22.31",""
"95","","Honkai: Star Rail","127036020","6588180","103911","617","17497","2849","147","19.28",""
"96","","Baldur's Gate 3","122690820","10484940","14051","503","21729","2752","235","11.7",""
"97","","Path of Exile","120681660","3129360","21700","183","3478","2707","70","38.56",""
"98","","Halo Infinite","117274560","4096620","86750","252","11619","2630","91","28.63",""
"99","","Among Us","116987040","3128760","73430","225","22422","2624","70","37.39",""
"100","","Monster Hunter: World","115379340","9020160","18914","384","15597","2588","202","12.79",""
