"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15143636400","180327060","913616","7777","462026","339695","4045","83.98",""
"2","","League of Legends","7528132020","131399040","941712","5141","198215","168867","2947","57.29",""
"3","","VALORANT","6293938980","216597120","463978","9163","374578","141183","4858","29.06",""
"4","","Grand Theft Auto V","5718213540","123344400","319512","4894","221214","128268","2766","46.36",""
"5","","Counter-Strike: Global Offensive","5277947520","65275260","1117445","2829","151201","118392","1464","80.86",""
"6","","Minecraft","3613162860","90366840","360750","3644","296471","81048","2027","39.98",""
"7","","World of Warcraft","3191159940","67336140","319816","4772","61778","71582","1510","47.39",""
"8","","Dota 2","3015149400","40893900","381725","2133","49927","67634","917","73.73",""
"9","","Apex Legends","2458238160","179888640","193910","9226","298512","55142","4035","13.67",""
"10","","The Legend of Zelda: Tears of the Kingdom","2300155080","80875020","352288","9231","75996","51596","1814","28.44",""
"11","","Fortnite","2078706900","223581300","203439","9271","703553","46628","5015","9.3",""
"12","","Rust","1806719460","20206740","342239","1112","33895","40527","453","89.41",""
"13","","Call of Duty: Warzone","1754819880","65570220","121768","2580","97684","39363","1470","26.76",""
"14","","Sports","1537152480","5876040","386481","478","13573","34480","131","261.6",""
"15","","FIFA 23","1448864700","47187720","200290","3111","167384","32500","1058","30.7",""
"16","","Dead by Daylight","1033943940","70693740","97647","2609","110466","23193","1585","14.63",""
"17","","Honkai: Star Rail","1028348220","35259360","118229","2180","64590","23067","790","29.17",""
"18","","Special Events","989537220","2953080","1354972","4638","10273","22196","66","335.09",""
"19","","Slots","970685280","4530840","67994","200","4640","21774","101","214.24",""
"20","","Overwatch 2","962371740","67456980","58253","2782","170866","21587","1513","14.27",""
"21","","Call of Duty: Modern Warfare II","924518880","167147040","179545","7021","390725","20738","3749","5.53",""
"22","","Music","904441440","54262980","67155","2159","53344","20288","1217","16.67",""
"23","","Hearthstone","866014980","6781680","50729","310","10426","19426","152","127.7",""
"24","","Casino Slot Machine","761402100","1788060","45549","94","987","17079","40","425.83",""
"25","","Teamfight Tactics","727830780","10809120","99802","473","25461","16326","242","67.33",""
"26","","Rocket League","691055760","42952980","157408","1768","188181","15501","963","16.09",""
"27","","Escape from Tarkov","664428120","24012600","36640","948","22183","14904","538","27.67",""
"28","","Albion Online","584044560","6845520","26648","332","5662","13101","153","85.32",""
"29","","Darkest Dungeon II","579610680","4747020","150942","538","7585","13001","106","122.1",""
"30","","ASMR","579025380","6449880","27879","233","4394","12988","144","89.77",""
"31","","Tom Clancy's Rainbow Six Siege","552289080","42908520","99517","2322","142366","12388","962","12.87",""
"32","","Virtual Casino","519573300","2574120","46092","156","2759","11654","57","201.85",""
"33","","Lost Ark","490902180","12088620","62280","670","8145","11011","271","40.61",""
"34","","Star Wars Jedi: Survivor","481951200","32177100","107433","3269","62511","10810","721","14.98",""
"35","","World of Tanks","472358700","8334060","47293","405","11118","10595","186","56.68",""
"36","","The Outlast Trials","472021920","9111420","130601","1123","29988","10588","204","51.81",""
"37","","Destiny 2","471311520","38838000","80082","3929","70342","10572","871","12.14",""
"38","","Art","461350560","28964880","31349","1355","50538","10348","649","15.93",""
"39","","Poker","455624580","4378680","52716","238","4516","10220","98","104.06",""
"40","","PUBG: BATTLEGROUNDS","446106120","26479980","48034","1034","41024","10006","593","16.85",""
"41","","Genshin Impact","429732480","37741440","271365","2586","72946","9639","846","11.39",""
"42","","Old School RuneScape","376732380","6681360","22248","238","7251","8450","149","56.39",""
"43","","Path of Exile","335920980","9201780","32561","437","8840","7535","206","36.51",""
"44","","Talk Shows & Podcasts","330029880","11169600","137998","551","15644","7403","250","29.55",""
"45","","Fall Guys","321879480","12532200","136818","761","75219","7220","281","25.68",""
"46","","Chess","320868900","3754560","41452","171","11454","7197","84","85.46",""
"47","","Diablo IV","320703960","7669140","155010","5682","25802","7193","172","41.82",""
"48","","DayZ","308781540","13861560","26701","614","24351","6926","310","22.28",""
"49","","SMITE","303018540","8547000","32483","417","15971","6797","191","35.45",""
"50","","Travel & Outdoors","298226700","5703960","57390","265","6032","6689","127","52.28",""
"51","","Retro","297770940","10444860","23402","377","11401","6679","234","28.51",""
"52","","FINAL FANTASY XIV ONLINE","296536140","21316740","66154","2947","26503","6651","478","13.91",""
"53","","ELDEN RING","295313340","18465000","23127","737","43464","6624","414","15.99",""
"54","","The Legend of Zelda: Breath of the Wild","251563800","11319000","63746","924","20553","5642","253","22.22",""
"55","","Resident Evil 4","245317560","15825900","68512","810","44498","5502","355","15.5",""
"56","","I'm Only Sleeping","236728500","7871160","24793","426","5856","5310","176","30.08",""
"57","","Trackmania","232650060","2086860","181143","157","9897","5218","46","111.48",""
"58","","Pools, Hot Tubs, and Beaches","230121180","2635440","38883","108","2787","5161","59","87.32",""
"59","","Magic: The Gathering","225747180","3226500","31073","150","5704","5063","72","69.97",""
"60","","Tibia","225204540","9153660","13988","405","5980","5051","205","24.6",""
"61","","The Texas Chain Saw Massacre","208953180","1505700","95064","597","5680","4687","33","138.77",""
"62","","Street Fighter 6","207278460","3417120","87727","1132","11858","4649","76","60.66",""
"63","","Sea of Thieves","206422200","13590000","20221","679","32101","4630","304","15.19",""
"64","","VRChat","197864820","4892340","31066","290","10559","4438","109","40.44",""
"65","","NBA 2K23","189123060","36130380","34929","1865","98856","4242","810","5.23",""
"66","","Super Smash Bros. Ultimate","188248020","4296360","72735","241","10097","4222","96","43.82",""
"67","","Red Dead Redemption 2","173417880","15702480","18235","721","37393","3890","352","11.04",""
"68","","Redfall","171050580","8496540","150694","2044","34278","3836","190","20.13",""
"69","","Hunt: Showdown","171039480","12406560","17467","693","15818","3836","278","13.79",""
"70","","V Rising","170099880","5991600","50344","788","9831","3815","134","28.39",""
"71","","Dofus","160961760","2256660","36808","287","2133","3610","50","71.33",""
"72","","Among Us","150212580","3588600","90192","274","26201","3369","80","41.86",""
"73","","Star Citizen","148452900","4961700","36522","321","5794","3330","111","29.92",""
"74","","Black Desert","145887780","6378480","14993","354","6496","3272","143","22.87",""
"75","","Age of Empires II","145235160","2419980","25753","124","4881","3257","54","60.02",""
