"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16441658640","175536300","1183419","6220","495201","368812","3937","93.67",""
"2","","League of Legends","7385284200","132257940","565937","4736","214209","165663","2966","55.84",""
"3","","Grand Theft Auto V","6693639660","120680940","510842","5299","229429","150148","2707","55.47",""
"4","","VALORANT","5814825000","230728500","1196352","7612","405553","130435","5175","25.2",""
"5","","Counter-Strike: Global Offensive","3950682300","60327360","889692","3035","156919","88620","1353","65.49",""
"6","","Minecraft","3341531100","93231300","1621931","4140","337046","74955","2091","35.84",""
"7","","Dota 2","2962075680","38796780","400531","1711","52513","66444","870","76.35",""
"8","","Fortnite","2535386220","255285840","461687","14426","812797","56872","5726","9.93",""
"9","","Apex Legends","2488698060","172670880","165587","5545","336338","55825","3873","14.41",""
"10","","Diablo IV","1736436420","29975040","954905","9582","84050","38951","672","57.93",""
"11","","Resident Evil 4","1645588860","63247980","327946","12902","137994","36913","1418","26.02",""
"12","","Sports","1609463160","5538240","1331662","481","14211","36102","124","290.61",""
"13","","Call of Duty: Modern Warfare II","1498203060","204253260","350693","9390","470092","33607","4581","7.34",""
"14","","World of Warcraft","1333593000","51189000","95917","3229","54386","29914","1148","26.05",""
"15","","Call of Duty: Warzone","1318175760","70013340","192556","3087","117171","29568","1570","18.83",""
"16","","FIFA 23","1179662940","40666020","151747","2709","145144","26461","912","29.01",""
"17","","Virtual Casino","1169583720","4953600","72084","183","3318","26235","111","236.11",""
"18","","Overwatch 2","1103522040","76496580","68523","3045","196692","24753","1715","14.43",""
"19","","Escape from Tarkov","1082405400","33746220","73672","1099","30937","24280","756","32.07",""
"20","","Destiny 2","1065027900","73371900","517758","15527","115103","23890","1645","14.52",""
"21","","Dead by Daylight","1000391880","67043820","51379","2744","114285","22440","1503","14.92",""
"22","","Music","899468640","47944920","84759","1891","57073","20176","1075","18.76",""
"23","","Slots","810190140","4437360","81744","213","4748","18173","99","182.58",""
"24","","Teamfight Tactics","790071900","11432340","58049","652","29238","17722","256","69.11",""
"25","","Genshin Impact","731058600","61242840","326852","3945","93813","16398","1373","11.94",""
"26","","Hearthstone","683374320","5780820","40768","243","10592","15329","129","118.21",""
"27","","ELDEN RING","676549320","27493080","126207","1084","65412","15176","616","24.61",""
"28","","Sons of the Forest","662569440","28563240","163323","2803","83625","14862","640","23.2",""
"29","","DayZ","659746740","14164800","61727","648","26131","14799","317","46.58",""
"30","","Special Events","652191120","2438520","233495","651","6916","14629","54","267.45",""
"31","","Tom Clancy's Rainbow Six Siege","633561720","50948040","110642","2162","167088","14211","1142","12.44",""
"32","","Rocket League","613187400","47483700","93540","2137","222391","13754","1065","12.91",""
"33","","Lost Ark","587030760","13439280","57385","705","10347","13168","301","43.68",""
"34","","PUBG: BATTLEGROUNDS","555820800","26217180","95550","1079","43751","12467","588","21.2",""
"35","","ASMR","550407300","8962860","22131","306","4809","12346","201","61.41",""
"36","","Wo Long: Fallen Dynasty","542604180","23833380","141387","2410","65966","12171","534","22.77",""
"37","","World of Tanks","520309680","8672460","52448","463","13063","11671","194","60",""
"38","","Travel & Outdoors","515693220","4885980","73659","163","5468","11567","109","105.55",""
"39","","Rust","509321100","15855360","38484","996","31147","11424","355","32.12",""
"40","","Albion Online","459656460","5234640","26350","266","5237","10310","117","87.81",""
"41","","Art","457558020","28329420","30720","1059","54430","10263","635","16.15",""
"42","","Old School RuneScape","445377240","6995640","41158","278","7991","9990","156","63.66",""
"43","","Chess","424731960","3846360","63975","207","14986","9527","86","110.42",""
"44","","Contraband Police","422052900","2551440","108440","192","9227","9467","57","165.42",""
"45","","Poker","395262840","4186560","67236","252","4489","8866","93","94.41",""
"46","","Counter-Strike 2","367641900","899160","138445","154","3958","8246","20","408.87",""
"47","","Talk Shows & Podcasts","291824760","10725660","92546","537","16463","6546","240","27.21",""
"48","","Sea of Thieves","285581460","15823560","43828","1269","36825","6406","354","18.05",""
"49","","Super Smash Bros. Ultimate","284626860","4422840","133684","290","10490","6384","99","64.35",""
"50","","Hogwarts Legacy","268448040","43309260","26931","3123","122157","6021","971","6.2",""
"51","","FINAL FANTASY XIV ONLINE","263653320","22062120","38924","1495","25991","5914","494","11.95",""
"52","","Retro","256059540","9946500","15966","357","11957","5743","223","25.74",""
"53","","Black Desert","247363560","7397640","25699","290","8138","5548","165","33.44",""
"54","","Hunt: Showdown","243393420","11921280","54112","637","16711","5459","267","20.42",""
"55","","I'm Only Sleeping","235560180","7604640","46057","331","6567","5283","170","30.98",""
"56","","SMITE","211887540","8421780","22585","433","15823","4752","188","25.16",""
"57","","Red Dead Redemption 2","211225800","15990060","15141","711","37495","4738","358","13.21",""
"58","","Pools, Hot Tubs, and Beaches","206338440","2446800","33588","86","2624","4628","54","84.33",""
"59","","Tibia","203697960","8870220","13430","414","5964","4569","198","22.96",""
"60","","Pokémon Scarlet/Violet","196246860","8875860","30534","408","16018","4402","199","22.11",""
"61","","Diablo III","195827520","6879000","35600","447","13899","4392","154","28.47",""
"62","","NBA 2K23","186556980","36008220","23618","1678","101608","4184","807","5.18",""
"63","","ROBLOX","180500700","27455220","85806","1365","168967","4048","615","6.57",""
"64","","Magic: The Gathering","179024160","3250800","15431","152","6101","4015","72","55.07",""
"65","","MapleStory","177851160","3635760","30286","168","3353","3989","81","48.92",""
"66","","VRChat","177729420","4494660","67019","273","11605","3986","100","39.54",""
"67","","The Sims 4","172240440","7535100","49966","624","24409","3863","169","22.86",""
"68","","Last Epoch","171551700","2812740","43944","238","4394","3848","63","60.99",""
"69","","Clash Royale","168581160","1579080","247710","83","14644","3781","35","106.76",""
"70","","Fall Guys","158809560","9120960","72380","491","60410","3562","204","17.41",""
"71","","Age of Empires II","158757780","2768580","34389","121","6491","3561","62","57.34",""
"72","","Among Us","156946740","4012800","79310","302","30583","3520","90","39.11",""
"73","","StarCraft II","151347900","2229300","75824","91","3664","3394","50","67.89",""
"74","","Path of Exile","150942900","3186600","288235","553","5199","3385","71","47.37",""
"75","","Heroes of Might and Magic III: The Restoration of Erathia","145839060","1359480","13271","77","888","3271","30","107.28",""
"76","","FIFA Online 4","145156380","597540","44430","44","1127","3256","13","242.92",""
"77","","Project Zomboid","141827520","6421440","59787","256","14487","3181","144","22.09",""
"78","","MARVEL SNAP","138263760","2059260","13426","121","4891","3101","46","67.14",""
"79","","THE FINALS","134939820","2253780","123831","449","9600","3026","50","59.87",""
"80","","Resident Evil 4","132791040","3165600","94589","1409","14540","2978","71","41.95",""
"81","","World of Warships","131096940","3032460","18858","150","4797","2940","68","43.23",""
"82","","Phasmophobia","126893160","11782440","17381","636","51097","2846","264","10.77",""
"83","","Lineage II","125818800","3600600","7176","192","2248","2822","80","34.94",""
"84","","Madden NFL 23","122401200","30906840","40339","1881","92844","2745","693","3.96",""
"85","","Star Citizen","120751920","3642240","13959","208","5018","2708","81","33.15",""
"86","","Trackmania","120315960","1148460","61690","101","2684","2698","25","104.76",""
"87","","Games + Demos","119436060","19033740","90795","954","109376","2679","426","6.27",""
"88","","Super Mario 64","119386320","1879020","25763","160","4446","2678","42","63.54",""
"89","","Yu-Gi-Oh! Master Duel","116665200","4436940","13200","190","13677","2616","99","26.29",""
"90","","Big Ambitions","111679620","1102680","39750","104","2294","2505","24","101.28",""
"91","","Animals, Aquariums, and Zoos","111382740","9090960","22966","274","1340","2498","203","12.25",""
"92","","Mario Kart 8 Deluxe","110782980","3605700","64267","519","16539","2485","80","30.72",""
"93","","ARK: Survival Evolved","107736840","11554620","7125","505","25712","2416","259","9.32",""
"94","","Resident Evil 2","105482160","5261400","49279","400","20770","2366","118","20.05",""
"95","","The Last Spell","105345540","804120","36579","66","1254","2363","18","131.01",""
"96","","Valheim","103021920","10662660","23140","614","23170","2310","239","9.66",""
"97","","Crypto","101717340","3223200","10352","131","1394","2281","72","31.56",""
"98","","Super Mario Maker 2","101459160","961980","23153","66","1800","2275","21","105.47",""
"99","","iRacing","99639780","4528800","19569","989","7049","2235","101","22",""
"100","","The Legend of Zelda: Breath of the Wild","98732820","5160480","16789","278","9274","2214","115","19.13",""
