"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","6258314520","69357960","952308","2591","111071","140383","1555","90.23",""
"2","","Hearthstone","2147954040","10113900","192995","381","23322","48182","226","212.38",""
"3","","Counter-Strike: Global Offensive","2126811660","34634580","336075","1646","86193","47707","776","61.41",""
"4","","Dota 2","2017426620","18337500","217120","860","28069","45254","411","110.02",""
"5","","World of Warcraft","1129174200","35866320","105419","2324","49782","25329","804","31.48",""
"6","","Overwatch","879220740","37205820","118438","2047","95883","19722","834","23.63",""
"7","","Z1: Battle Royale","784741320","16596300","60722","595","27505","17602","372","47.28",""
"8","","Destiny","590746500","49347240","92396","2568","85869","13251","1106","11.97",""
"9","","FIFA 17","539967300","12832920","56735","903","40416","12112","287","42.08",""
"10","","Battlefield 1","477052620","16973220","80858","1548","68653","10701","380","28.11",""
"11","","Talk Shows & Podcasts","347188320","3620400","62023","176","13893","7787","81","95.9",""
"12","","Minecraft","272672100","17282340","39662","884","55027","6116","387","15.78",""
"13","","RuneScape","265607700","4192800","23514","169","6564","5958","94","63.35",""
"14","","Creative","264024600","10652460","28614","377","22433","5922","238","24.79",""
"15","","Call of Duty: Black Ops III","261956940","31431540","25278","1752","101722","5876","705","8.33",""
"16","","Dead by Daylight","253455540","6359220","25113","405","10163","5685","142","39.86",""
"17","","World of Tanks","253012320","7030680","51897","350","11398","5675","157","35.99",""
"18","","StarCraft II","229981800","2885940","46305","117","4552","5158","64","79.69",""
"19","","Arma 3","205376280","5220960","20772","281","7807","4606","117","39.34",""
"20","","Dark Souls III","200760360","7683180","63452","1061","22431","4503","172","26.13",""
"21","","Heroes of the Storm","197558520","4687260","41122","192","8043","4431","105","42.15",""
"22","","Sid Meier's Civilization VI","190156200","2310000","47793","449","5496","4265","51","82.32",""
"23","","Street Fighter V","172086300","1494720","45869","68","4060","3860","33","115.13",""
"24","","Mafia III","171372720","8074260","79661","1429","26090","3844","181","21.22",""
"25","","Gears of War 4","167510220","9484740","33818","1239","27314","3757","212","17.66",""
"26","","NBA 2K17","147111960","10854240","20329","638","32477","3299","243","13.55",""
"27","","SMITE","146969040","6711420","22475","292","15885","3296","150","21.9",""
"28","","Poker","146846940","2090640","14246","109","2284","3294","46","70.24",""
"29","","Call of Duty: Infinite Warfare","139371780","2840160","105093","1331","41557","3126","63","49.07",""
"30","","Grand Theft Auto V","135650580","17229900","24434","895","63714","3042","386","7.87",""
"31","","Magic: The Gathering","134724480","763380","29319","45","963","3022","17","176.48",""
"32","","Tom Clancy's Rainbow Six Siege","119265900","13074780","16291","681","40220","2675","293","9.12",""
"33","","Super Smash Bros. Melee","114901020","712200","73990","59","1943","2577","15","161.33",""
"34","","Paragon","113323620","9907620","7639","595","14008","2542","222","11.44",""
"35","","Rocket League","110755740","7129320","16169","314","31860","2484","159","15.54",""
"36","","Path of Exile","106260660","3432720","10418","142","4244","2383","77","30.96",""
"37","","Clash Royale","82379040","1529160","41849","82","5221","1847","34","53.87",""
"38","","Battlerite","77296320","3144540","23207","187","7912","1733","70","24.58",""
"39","","Super Mario Maker","76639860","905160","10895","48","1148","1719","20","84.67",""
"40","","Titanfall 2","75674880","1256820","52321","379","5388","1697","28","60.21",""
"41","","The Elder Scrolls V: Skyrim","67718520","4951200","25627","1011","13985","1519","111","13.68",""
"42","","ARK: Survival Evolved","64285620","3582960","4085","147","4829","1442","80","17.94",""
"43","","DayZ","63381780","2494560","30751","132","4167","1421","55","25.41",""
"44","","Pokémon Omega Ruby/Alpha Sapphire","62735940","1521360","10041","68","1938","1407","34","41.24",""
"45","","Music","57176460","1269540","5169","61","3989","1282","28","45.04",""
"46","","Super Smash Bros. for Wii U","55198560","952020","25836","75","1931","1238","21","57.98",""
"47","","Rust","55020780","2837880","11664","183","5666","1234","63","19.39",""
"48","","Halo 5: Guardians","51276180","3011400","16198","150","8162","1150","67","17.03",""
"49","","Stardew Valley","50150520","1622880","12154","83","3969","1124","36","30.9",""
"50","","Farming Simulator 17","49974720","2252040","37242","512","4782","1121","50","22.19",""
"51","","TwitchCon 2016","49787640","43500","125427","40","155","1116","0","1144.54",""
"52","","Dungeons & Dragons","48297600","731820","28497","71","1229","1083","16","66",""
"53","","Warcraft III","48006960","1016580","10016","50","1030","1076","22","47.22",""
"54","","The Binding of Isaac: Repentance","46143420","1073160","9088","56","2666","1035","24","43",""
"55","","Shadow Warrior 2","46131540","881880","28683","197","3011","1034","19","52.31",""
"56","","Games + Demos","42397680","334620","31676","22","1547","951","7","126.7",""
"57","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","39509280","1604460","9718","108","1473","886","35","24.62",""
"58","","7 Days to Die","38494140","4139760","5308","194","8652","863","92","9.3",""
"59","","Dragon Ball: Xenoverse 2","38289720","1065360","23590","306","7097","858","23","35.94",""
"60","","Paladins","37769580","3682740","30632","191","13024","847","82","10.26",""
"61","","Tom Clancy's The Division","37450140","4598220","6148","278","11095","840","103","8.14",""
"62","","Black Desert","34840740","1858140","2330","75","2535","781","41","18.75",""
"63","","Social Eating","34435440","337680","15690","23","3026","772","7","101.98",""
"64","","Retro","33348360","1243260","4975","55","1470","748","27","26.82",""
"65","","Madden NFL 17","32991600","10020900","4571","642","24423","740","224","3.29",""
"66","","World of Warships","32226780","1767840","3647","85","2980","722","39","18.23",""
"67","","The Legend of Zelda: Ocarina of Time","32084280","502380","6042","64","853","719","11","63.86",""
"68","","Tibia","30238920","1072620","4024","50","1349","678","24","28.19",""
"69","","Jackbox Party Packs","29985840","463740","40145","90","1788","672","10","64.66",""
"70","","Final Fantasy XIV: Heavensward","29699760","3624060","15156","291","7242","666","81","8.2",""
"71","","Dark Souls","29597100","1302000","8504","67","3097","663","29","22.73",""
"72","","Summoners War: Sky Arena","28901820","720900","2822","41","803","648","16","40.09",""
"73","","Star Citizen","28255320","561420","39998","49","1487","633","12","50.33",""
"74","","EVE Online","27654240","471300","11012","24","763","620","10","58.68",""
"75","","Diablo III","26959920","2944800","7685","415","6932","604","66","9.16",""
"76","","osu!","26191200","3838800","8343","178","13341","587","86","6.82",""
"77","","Shadowverse","25326600","522240","21393","45","1112","568","11","48.5",""
"78","","Outlast","24447060","1259460","21623","232","7652","548","28","19.41",""
"79","","Tale of Wuxia","24250740","84360","6357","10","67","543","1","287.47",""
"80","","Casino Games","23713680","334860","6198","21","382","531","7","70.82",""
"81","","Bloodborne","23460480","1667520","6778","73","4954","526","37","14.07",""
"82","","Mortal Kombat X","22257600","965460","19811","58","4275","499","21","23.05",""
"83","","The Elder Scrolls Online","22236300","1233120","8507","80","4275","498","27","18.03",""
"84","","Call of Duty: Modern Warfare 2","22051620","266160","29917","37","1356","494","5","82.85",""
"85","","Diablo II: Lord of Destruction","21452160","510420","3068","31","681","481","11","42.03",""
"86","","Fallout 4","20891700","4745520","4027","203","14616","468","106","4.4",""
"87","","Blade & Soul","20623080","1644060","3889","77","2040","462","36","12.54",""
"88","","Garry's Mod","20368920","1291560","8058","83","4997","456","28","15.77",""
"89","","DOOM","19983060","1014480","5307","53","4970","448","22","19.7",""
"90","","Until Dawn","19840620","172380","15767","44","1640","445","3","115.1",""
"91","","Forza Horizon 3","19785720","3055800","4198","248","12159","443","68","6.47",""
"92","","Dead Space (2008)","19105800","396240","9785","54","1349","428","8","48.22",""
"93","","The Elder Scrolls: Legends","18935400","396180","13392","23","751","424","8","47.79",""
"94","","World of Final Fantasy","18915780","1253940","4220","240","2924","424","28","15.09",""
"95","","Board Games","18698460","75840","10532","12","165","419","1","246.55",""
"96","","M.U.G.E.N","17645040","107760","691","6","56","395","2","163.74",""
"97","","Dark Souls II","17580300","201000","4912","20","614","394","4","87.46",""
"98","","The Last of Us","17460900","1589460","9486","93","5155","391","35","10.99",""
"99","","Miscreated","17339760","629700","27105","49","1472","388","14","27.54",""
"100","","Dragon Quest Builders","17334780","1098420","14812","109","2414","388","24","15.78",""
