"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"38","","Old School RuneScape","388359660","7628280","30812","291","8492","8711","171","50.91",""
"39","","Tom Clancy's Rainbow Six Siege","368417880","42303420","28297","1694","153739","8264","948","8.71",""
"40","","Destiny 2","355073640","29418600","21431","1412","55372","7964","659","12.07",""
"41","","I'm Only Sleeping","351961740","8548440","39589","346","7045","7895","191","41.17",""
"42","","Poker","332710560","4203000","38804","240","4536","7463","94","79.16",""
"43","","SMITE","325347060","9587520","73930","570","19178","7298","215","33.93",""
"44","","DayZ","306173820","13660320","55199","634","27821","6867","306","22.41",""
"45","","Retro","304542420","10267680","60657","356","12100","6831","230","29.66",""
"46","","Talk Shows & Podcasts","297406500","9189180","79338","468","15593","6671","206","32.36",""
"47","","Valheim","287176200","11505780","32547","503","18856","6441","258","24.96",""
"48","","Albion Online","280544160","3097140","18862","133","3566","6293","69","90.58",""
"49","","Sea of Thieves","269706720","13810680","38231","699","34679","6049","309","19.53",""
"50","","Black Desert","249101280","8524680","20278","330","9018","5587","191","29.22",""
"51","","Super Smash Bros. Ultimate","245719800","4172580","107241","271","10392","5511","93","58.89",""
"52","","Red Dead Redemption 2","239201640","19628400","19504","859","49523","5365","440","12.19",""
"53","","Project Zomboid","235401540","7467240","70844","262","16839","5280","167","31.52",""
"54","","Fall Guys","235184220","11183160","265549","528","74645","5275","250","21.03",""
"55","","Travel & Outdoors","234702540","4324980","53308","144","4288","5264","97","54.27",""
"56","","Pools, Hot Tubs, and Beaches","226482120","4044660","34203","238","6744","5080","90","56",""
"57","","Tibia","223284420","8332920","13827","366","5646","5008","186","26.8",""
"58","","ROBLOX","207317580","27232200","84805","1438","158265","4650","610","7.61",""
"59","","VRChat","206998440","4817220","41488","556","12696","4643","108","42.97",""
"60","","NBA 2K23","202723980","37650300","32373","1855","99287","4547","844","5.38",""
"61","","FORSPOKEN","201214620","4795620","103188","1355","12135","4513","107","41.96",""
"62","","Games + Demos","200519700","19364340","168193","704","96948","4497","434","10.36",""
"63","","Phasmophobia","196964520","13242840","50914","828","56384","4418","297","14.87",""
"64","","The Witcher 3: Wild Hunt","177124260","8633100","20498","446","15575","3973","193","20.52",""
"65","","7 Days to Die","174966960","7994460","45559","326","15713","3924","179","21.89",""
"66","","Hunt: Showdown","172746360","10991100","26395","599","16154","3874","246","15.72",""
"67","","Magic: The Gathering","169446840","3063360","17835","139","5642","3800","68","55.31",""
"68","","Among Us","165615960","4615500","137287","342","37885","3715","103","35.88",""
"69","","Heroes of Might and Magic III: The Restoration of Erathia","163039800","1323540","15985","71","858","3657","29","123.18",""
"70","","MARVEL SNAP","160842540","2533380","12849","136","6400","3607","56","63.49",""
"71","","Clash Royale","157237980","1599480","25629","72","14380","3527","35","98.31",""
"72","","Madden NFL 23","152336760","27451260","37234","1694","83432","3417","615","5.55",""
"73","","New World","143802120","6055920","23551","260","8050","3225","135","23.75",""
"74","","The Forest","133925220","7061400","112873","412","31353","3004","158","18.97",""
"75","","MapleStory","131576340","4090980","13440","220","4165","2951","91","32.16",""
"76","","Fire Emblem Engage","125780760","5215680","54855","869","6757","2821","116","24.12",""
"77","","Yu-Gi-Oh! Master Duel","123800160","3650760","16960","151","11676","2777","81","33.91",""
"78","","Knight Online","121864920","2037120","16293","136","2168","2733","45","59.82",""
"79","","World of Warships","121063020","3191880","12001","149","4536","2715","71","37.93",""
"80","","StarCraft II","118697820","2233080","57203","89","3695","2662","50","53.15",""
"81","","ARK: Survival Evolved","116128920","15225540","14125","618","34513","2604","341","7.63",""
"82","","The Sims 4","115821480","6066300","46505","270","21955","2598","136","19.09",""
"83","","Football Manager 2023","111932520","1895340","24313","120","2861","2510","42","59.06",""
"84","","Trackmania","111771060","1184160","57013","120","2664","2507","26","94.39",""
"85","","Age of Empires II","108779580","2059500","9614","290","4657","2440","46","52.82",""
"86","","Politics","106835880","981780","51299","59","1286","2396","22","108.82",""
"87","","iRacing","104564340","5992560","23432","1793","7620","2345","134","17.45",""
"88","","God of War Ragnarök","103669980","15477060","26831","866","40012","2325","347","6.7",""
"89","","Animals, Aquariums, and Zoos","101993520","8235180","6393","244","1138","2287","184","12.39",""
"90","","Star Citizen","100781640","3548160","18408","223","4951","2260","79","28.4",""
"91","","The Binding of Isaac: Repentance","100480380","2404200","21659","113","7402","2253","53","41.79",""
"92","","Food & Drink","98808660","1486740","38065","70","4735","2216","33","66.46",""
"93","","Pokémon FireRed/LeafGreen","95855940","1445100","10503","74","3855","2150","32","66.33",""
"94","","Super Mario 64","94960440","1626240","34964","83","3747","2130","36","58.39",""
"95","","KartRider: Drift","92141100","1848360","41568","229","11271","2066","41","49.85",""
"96","","Garena Free Fire","89599440","9280980","11976","418","63373","2009","208","9.65",""
"97","","Stardew Valley","89366580","7496700","91982","337","23947","2004","168","11.92",""
"98","","Super Smash Bros. Melee","87635700","989820","99293","64","2818","1965","22","88.54",""
"99","","Hi-Fi RUSH","86251560","2822640","54046","627","16023","1934","63","30.56",""
"100","","Mario Kart 8 Deluxe","84511080","2712720","81205","261","12201","1895","60","31.15",""
