"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15852774360","176893080","939942","6063","505166","355602","3967","89.62",""
"2","","League of Legends","7589649300","141838320","640837","6356","231482","170247","3181","53.51",""
"3","","Escape from Tarkov","6824875500","77109180","563955","3070","67164","153092","1729","88.51",""
"4","","Grand Theft Auto V","6707341920","127979460","528554","5377","256128","150456","2870","52.41",""
"5","","VALORANT","4856590740","225216840","533382","8784","400204","108941","5051","21.56",""
"6","","Minecraft","4372368720","104480640","684097","4833","371151","98079","2343","41.85",""
"7","","Dota 2","2599050780","37739160","238148","1544","51212","58300","846","68.87",""
"8","","Fortnite","2562946320","242428800","268831","10921","810984","57490","5438","10.57",""
"9","","Call of Duty: Warzone","2383911240","94641000","178914","3823","152960","53474","2122","25.19",""
"10","","Counter-Strike: Global Offensive","2349184020","50186160","325890","2315","126395","52695","1125","46.81",""
"11","","FIFA 23","2137719840","55221240","486778","4722","194696","47952","1238","38.71",""
"12","","Apex Legends","2116177800","155617440","320336","5661","308076","47469","3490","13.6",""
"13","","World of Warcraft","2061476520","67030260","106922","4704","68854","46242","1503","30.75",""
"14","","Overwatch 2","1554440220","87764880","94864","3597","235874","34868","1968","17.71",""
"15","","Sports","1426180800","5373840","1095810","408","12402","31991","120","265.39",""
"16","","Teamfight Tactics","1322841540","15547560","73124","580","37472","29673","348","85.08",""
"17","","Rust","1200332100","19120380","177259","1123","37471","26925","428","62.78",""
"18","","Music","1133815380","44603700","81417","1789","57239","25433","1000","25.42",""
"19","","Dead by Daylight","1097757300","68507040","47071","3012","115386","24624","1536","16.02",""
"20","","Virtual Casino","993532020","3734820","83395","162","3834","22286","83","266.02",""
"21","","Call of Duty: Modern Warfare II","946376160","188499240","180032","8393","469399","21228","4228","5.02",""
"22","","Hearthstone","860269860","7054200","51513","446","12402","19297","158","121.95",""
"23","","ELDEN RING","823483140","38325180","74253","1436","86740","18472","859","21.49",""
"24","","Genshin Impact","822761580","58857060","354726","4397","99454","18455","1320","13.98",""
"25","","Special Events","738985680","2139780","1772976","776","5990","16576","47","345.36",""
"26","","Slots","716176380","4450860","69064","182","4852","16064","99","160.91",""
"27","","Lost Ark","637939560","14981820","53593","671","12037","14309","336","42.58",""
"28","","ASMR","603685020","8596260","28708","302","5136","13541","192","70.23",""
"29","","FINAL FANTASY XIV ONLINE","590337480","23814060","88174","2153","30281","13242","534","24.79",""
"30","","Rocket League","551224200","49874700","170150","2189","238855","12364","1118","11.05",""
"31","","Chess","523203960","3731280","65445","171","14281","11736","83","140.22",""
"32","","Path of Exile","506115420","9032580","36937","370","8237","11352","202","56.03",""
"33","","Art","488627460","28417260","56418","986","54990","10960","637","17.19",""
"34","","Dead Space","463859940","8731920","262354","2992","32152","10405","195","53.12",""
"35","","Pokémon Scarlet/Violet","459281580","18551220","44432","879","31195","10302","416","24.76",""
"36","","PUBG: BATTLEGROUNDS","421980420","27068940","102775","1095","45913","9465","607","15.59",""
"37","","World of Tanks","421057020","9022980","45736","441","13841","9444","202","46.66",""
