"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14577613980","176700960","741825","6112","521547","326998","3963","82.5",""
"2","","League of Legends","9578804700","122178840","1594928","4506","204092","214867","2740","78.4",""
"3","","Overwatch 2","8367219600","246618780","633993","12678","577877","187689","5532","33.93",""
"4","","Grand Theft Auto V","5790658380","113585340","365285","4770","214323","129893","2547","50.98",""
"5","","Dota 2","4981929960","39373440","1037857","1845","50170","111752","883","126.53",""
"6","","VALORANT","4202724660","203943540","283710","7662","377910","94273","4574","20.61",""
"7","","FIFA 23","3673946100","65895060","368397","4143","168933","82412","1478","55.75",""
"8","","Counter-Strike: Global Offensive","3396155280","45724020","681874","1993","110356","76181","1025","74.28",""
"9","","Minecraft","2614332780","81816540","603830","3537","284660","58643","1835","31.95",""
"10","","World of Warcraft","1989119820","54828780","146514","3166","61314","44619","1229","36.28",""
"11","","Apex Legends","1983522000","148901220","137996","6388","304774","44493","3340","13.32",""
"12","","Fortnite","1812447420","185940960","148176","7690","574380","40656","4170","9.75",""
"13","","Call of Duty: Modern Warfare II","1530362640","90023640","443079","22803","263009","34328","2019","17",""
"14","","Slots","1381118580","5700120","132637","234","6054","30980","127","242.3",""
"15","","Call of Duty: Warzone","1282578120","99458460","92990","4838","191841","28770","2231","12.9",""
"16","","Dead by Daylight","1131763980","76498620","52569","3643","127555","25387","1715","14.79",""
"17","","Pokémon Community Game","1061350140","1978080","320431","106","2563","23807","44","536.56",""
"18","","Sports","988373340","6377280","670136","462","19921","22170","143","154.98",""
"19","","Teamfight Tactics","928748760","12079620","70918","464","29221","20833","270","76.89",""
"20","","Music","925543200","43882380","115010","1585","63554","20761","984","21.09",""
"21","","Special Events","900942000","3176220","1045462","781","13223","20209","71","283.65",""
"22","","Genshin Impact","823180440","60469980","468050","4596","108066","18465","1356","13.61",""
"23","","Hearthstone","806257860","6335220","49186","251","10937","18085","142","127.27",""
"24","","Rust","795670080","15207720","124621","1058","26922","17848","341","52.32",""
"25","","Rocket League","704802060","35322240","154858","1344","142478","15809","792","19.95",""
"26","","Lost Ark","655344420","17852400","54405","835","13629","14700","400","36.71",""
"27","","ASMR","646163160","8140740","25534","238","10314","14494","182","79.37",""
"28","","Virtual Casino","643070520","2536620","90873","117","2786","14425","56","253.51",""
"29","","Escape from Tarkov","577427580","24250740","37711","954","25625","12952","543","23.81",""
"30","","World of Tanks","510167280","7943700","48244","401","11396","11443","178","64.22",""
"31","","Art","503623080","30108000","49678","1083","59831","11297","675","16.73",""
"32","","PUBG: BATTLEGROUNDS","433669020","29270520","46203","1145","50875","9727","656","14.82",""
"33","","Terraria","414276960","8345280","72819","388","24234","9292","187","49.64",""
"34","","Tom Clancy's Rainbow Six Siege","388516980","24125820","57241","1046","86250","8715","541","16.1",""
"35","","Destiny 2","381344280","30613920","25377","1672","57321","8554","686","12.46",""
"36","","Grounded","371630460","15501720","55583","826","35205","8336","347","23.97",""
"37","","Talk Shows & Podcasts","355987020","10812120","135573","556","20471","7985","242","32.92",""
"38","","FINAL FANTASY XIV ONLINE","350940240","21377580","32778","1724","26852","7872","479","16.42",""
"39","","New World","340327800","10257780","63643","1000","12603","7634","230","33.18",""
"40","","Old School RuneScape","336138720","6414420","25283","258","6685","7540","143","52.4",""
"41","","Albion Online","328800720","2871660","16610","119","3106","7375","64","114.5",""
"42","","Pools, Hot Tubs, and Beaches","323350440","3443580","93029","112","4063","7253","77","93.9",""
"43","","NBA 2K23","323191620","38914740","39434","2301","80576","7249","872","8.31",""
"44","","Chess","318771060","2448840","51388","124","5841","7150","54","130.17",""
"45","","DayZ","300199080","12752520","41383","607","24121","6733","286","23.54",""
"46","","Fall Guys","294105000","16136760","104961","1067","96270","6597","361","18.23",""
"47","","I'm Only Sleeping","291231480","6812640","24004","317","6299","6532","152","42.75",""
"48","","Phasmophobia","290429460","21906840","86864","2268","92222","6514","491","13.26",""
"49","","Poker","276988680","4105080","46966","225","4380","6213","92","67.47",""
"50","","Hunt: Showdown","275485860","11201700","70684","715","15323","6179","251","24.59",""
"51","","SUPER PEOPLE","258869100","9863040","41734","825","19377","5806","221","26.25",""
"52","","A Plague Tale: Requiem","254651640","7965240","117084","1820","20316","5712","178","31.97",""
"53","","Retro","254033040","9658740","22035","333","10994","5698","216","26.3",""
"54","","Black Desert","247269420","7948980","15315","344","7372","5546","178","31.11",""
"55","","The Cycle: Frontier","241247520","4790340","38661","208","5524","5411","107","50.36",""
"56","","Scorn","236252280","5541840","182181","1824","29783","5299","124","42.63",""
"57","","SMITE","232222260","7324920","20566","359","14222","5209","164","31.7",""
"58","","Sea of Thieves","223773420","10865820","27554","544","25682","5019","243","20.59",""
"59","","Travel & Outdoors","223124400","4941180","87581","162","10340","5005","110","45.16",""
"60","","RimWorld","220434540","3118560","44934","259","4412","4944","69","70.68",""
"61","","Resident Evil Village","219969960","6590220","109637","1414","23493","4934","147","33.38",""
"62","","VRChat","216339360","5085540","44735","286","12181","4852","114","42.54",""
"63","","Brotato","212965920","1519980","31828","83","5076","4777","34","140.11",""
"64","","ELDEN RING","211165920","15149880","25971","620","37336","4736","339","13.94",""
"65","","Red Dead Redemption 2","206461620","14344620","53535","622","32322","4631","321","14.39",""
"66","","Heroes of Might and Magic III: The Restoration of Erathia","206107260","1155780","13880","62","737","4623","25","178.33",""
"67","","Magic: The Gathering","193764240","3150660","22507","145","5790","4346","70","61.5",""
"68","","Tibia","193196580","8526300","9674","362","5675","4333","191","22.66",""
"69","","Diablo II: Resurrected","191074380","6162300","21975","703","5813","4286","138","31.01",""
"70","","ROBLOX","187150500","26193000","60796","1176","162515","4198","587","7.15",""
"71","","Tower of Fantasy","178196760","6968400","38559","1064","10181","3997","156","25.57",""
"72","","Cyberpunk 2077","176047740","13736640","41013","760","37477","3949","308","12.82",""
"73","","God of War","172244640","7547220","67561","356","22293","3863","169","22.82",""
"74","","Halo Infinite","171761400","4676460","129916","300","16674","3852","104","36.73",""
"75","","Among Us","169345680","4577340","124861","300","31198","3798","102","37",""
"76","","Super Smash Bros. Ultimate","169183980","4266060","62075","254","9664","3795","95","39.66",""
"77","","Splatoon 3","168101340","11338380","55084","710","20172","3770","254","14.83",""
"78","","Project Zomboid","166861140","4691580","36023","199","9678","3742","105","35.57",""
"79","","Call of Duty: Modern Warfare","164763960","71166000","12189","3078","207140","3695","1596","2.32",""
"80","","Gotham Knights","164731680","9503940","80670","1979","24210","3695","213","17.33",""
"81","","StarCraft II","163943760","2173860","26416","82","3641","3677","48","75.42",""
"82","","Marauders","159883740","5577960","81687","438","9960","3586","125","28.66",""
"83","","Dark and Darker","157952280","1597380","94431","598","4880","3543","35","98.88",""
"84","","Politics","155473200","1215780","20395","57","2489","3487","27","127.88",""
"85","","The Simpsons","151191360","378900","6853","18","217","3391","8","399.03",""
"86","","Games + Demos","144382980","18973260","31928","822","104713","3238","425","7.61",""
"87","","World of Warships","144201120","3112440","16416","160","4203","3234","69","46.33",""
"88","","Food & Drink","133368480","1800720","63345","80","7685","2991","40","74.06",""
"89","","Clash Royale","132200100","2025720","38914","111","18730","2965","45","65.26",""
"90","","UNDECEMBER","131696460","3828480","27590","333","5699","2954","85","34.4",""
"91","","Dragon Ball: The Breakers","128201700","2697780","33117","278","7360","2875","60","47.52",""
"92","","STREET FIGHTER 6","126144240","1005180","51313","424","2487","2829","22","125.49",""
"93","","Madden NFL 23","124937460","17079480","42769","1072","44889","2802","383","7.32",""
"94","","Path of Exile","116785920","3646680","21870","233","4219","2619","81","32.03",""
"95","","Age of Empires II","116681100","1805580","48236","80","3026","2617","40","64.62",""
"96","","Omega Strikers","109183980","1802820","42992","142","6627","2449","40","60.56",""
"97","","Lineage II","107863620","3642600","5883","205","2363","2419","81","29.61",""
"98","","StarCraft","107317440","943140","37022","58","1429","2407","21","113.79",""
"99","","No Man's Sky","105975060","3385080","33104","245","7620","2377","75","31.31",""
"100","","Stumble Guys","103992300","5808420","20490","321","43169","2332","130","17.9",""
