"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16389321180","208759260","812918","6983","514218","367638","4682","78.51",""
"2","","Grand Theft Auto V","10818651240","150002940","617783","5829","271064","242679","3364","72.12",""
"3","","League of Legends","8580528000","150480960","782121","6395","224380","192474","3375","57.02",""
"4","","Escape from Tarkov","4926654360","71681760","393116","2755","56431","110512","1607","68.73",""
"5","","Fortnite","4339818540","495371400","503325","23219","1498156","97349","11111","8.76",""
"6","","Palworld","3600031740","130424160","434200","11031","231061","80754","2925","27.6",""
"7","","VALORANT","3567180660","202884480","182952","7060","342692","80017","4551","17.58",""
"8","","Counter-Strike","3112190280","56447160","301259","2538","134995","69811","1266","55.13",""
"9","","Minecraft","2750457480","98198400","651220","4136","302688","61697","2202","28.01",""
"10","","Dota 2","2595529860","54615780","190051","2380","68280","58221","1225","47.52",""
"11","","Call of Duty: Warzone","2535693600","182545560","157556","7910","345652","56879","4094","13.89",""
"12","","EA Sports FC 24","2284951980","59215500","595991","4718","187220","51255","1328","38.59",""
"13","","World of Warcraft","1399105560","52969740","65973","2933","54843","31384","1188","26.41",""
"14","","Apex Legends","1380091620","117755160","125945","3959","218190","30957","2641","11.72",""
"15","","Teamfight Tactics","1118688720","14145780","66540","518","32506","25093","317","79.08",""
"16","","Lethal Company","1008426660","51933180","101492","3816","179422","22620","1164","19.42",""
"17","","Dead by Daylight","997743480","64829700","73342","2782","100672","22380","1454","15.39",""
"18","","Rust","968946060","18791760","125524","1229","34626","21734","421","51.56",""
"19","","Slots","901486380","4557180","58348","189","5332","20221","102","197.82",""
"20","","Call of Duty: Modern Warfare III","844933260","77286240","113205","4396","117497","18953","1733","10.93",""
"21","","Music","842121840","37114680","68236","1629","52295","18890","832","22.69",""
"22","","Tom Clancy's Rainbow Six Siege","836580000","72896700","250860","3564","247741","18765","1635","11.48",""
"23","","Sports","813012600","6334980","204258","412","12444","18237","142","128.34",""
"24","","Overwatch 2","763124100","62391780","31954","2367","147949","17118","1399","12.23",""
"25","","Casino Jackpot","737454660","2562360","72880","175","2666","16542","57","287.8",""
"26","","Special Events","682732620","2991240","744794","2798","9058","15314","67","228.24",""
"27","","Virtual Casino","676542600","1720920","37390","82","1259","15175","38","393.13",""
"28","","PUBG: BATTLEGROUNDS","670773420","32520420","181086","1338","54712","15046","729","20.63",""
"29","","Path of Exile","668373240","11090340","52592","485","9590","14992","248","60.27",""
"30","","Street Fighter 6","659147280","8128500","136454","403","17353","14785","182","81.09",""
"31","","Hearthstone","653994840","6108120","31333","243","9651","14670","137","107.07",""
"32","","Casino","591788040","1449600","69704","128","1398","13274","32","408.24",""
"33","","Monster Hunter: World","578743440","21734460","72266","903","32208","12982","487","26.63",""
"34","","ASMR","571113540","8171460","21842","251","4228","12810","183","69.89",""
"35","","Enshrouded","525286560","9518880","221930","1827","19637","11783","213","55.18",""
"36","","Art","487067100","30012660","19224","1035","51924","10925","673","16.23",""
"37","","Genshin Impact","474943200","40520940","215097","4712","80366","10653","908","11.72",""
"38","","Baldur's Gate 3","395752200","33684660","91906","1580","58083","8877","755","11.75",""
"39","","TEKKEN 8","391913340","8362380","118728","2564","24242","8791","187","46.87",""
"40","","ELDEN RING","383745720","26655660","106131","1050","58937","8608","597","14.4",""
"41","","Lost Ark","377213640","11183640","33697","587","6879","8461","250","33.73",""
"42","","I'm Only Sleeping","344568540","10170060","70676","393","6919","7729","228","33.88",""
"43","","Rocket League","334155000","38789700","62996","1586","177240","7495","870","8.61",""
"44","","Retro","322460460","12005100","55237","397","12122","7233","269","26.86",""
"45","","IRL","321088740","5378280","41909","169","4275","7202","120","59.7",""
"46","","World of Tanks","320619720","8847960","44612","455","13347","7192","198","36.24",""
"47","","Black Desert","318970980","9313080","18298","335","8040","7155","208","34.25",""
"48","","Dragon Ball","291691800","2493900","17410","97","1182","6543","55","116.96",""
"49","","Pools, Hot Tubs, and Beaches","288054540","3809820","29041","123","3109","6461","85","75.61",""
"50","","NBA 2K24","284800260","47012220","167107","2322","108557","6388","1054","6.06",""
"51","","Albion Online","279561120","5207760","13739","197","4651","6270","116","53.68",""
"52","","Old School RuneScape","272552820","6220320","43754","224","6339","6113","139","43.82",""
"53","","THE FINALS","272481240","32820240","22613","1718","125453","6112","736","8.3",""
"54","","Destiny 2","266745300","21871800","16440","942","40700","5983","490","12.2",""
"55","","DayZ","263779440","14487000","64576","633","27753","5916","324","18.21",""
"56","","Talk Shows & Podcasts","261087060","10953720","63217","498","14078","5856","245","23.84",""
"57","","Chess","254308740","2986260","35083","154","8103","5704","66","85.16",""
"58","","Madden NFL 24","250963980","42740220","166141","2651","133512","5629","958","5.87",""
"59","","SMITE","249526500","9262740","46515","423","17042","5597","207","26.94",""
"60","","FINAL FANTASY XIV ONLINE","247376100","16623420","98982","1112","22155","5549","372","14.88",""
"61","","Like a Dragon: Infinite Wealth","233661960","5561160","76403","875","6942","5241","124","42.02",""
"62","","Sea of Thieves","229165320","13565340","55555","763","31405","5140","304","16.89",""
"63","","Pokémon Scarlet/Violet","226115820","10371240","40977","683","16664","5072","232","21.8",""
"64","","Diablo IV","222565320","11067360","95787","2118","20804","4992","248","20.11",""
"65","","MapleStory","215871480","5434140","29342","303","4574","4842","121","39.73",""
"66","","MapleStory Worlds","211819440","2687040","51275","185","1752","4751","60","78.83",""
"67","","Marvel Snap","211113660","1989720","34890","150","3936","4735","44","106.1",""
"68","","VRChat","210496200","4873440","62903","592","11740","4721","109","43.19",""
"69","","Red Dead Redemption 2","207286800","20668800","54495","883","52504","4649","463","10.03",""
"70","","ROBLOX","206577660","41408280","49582","1824","249428","4633","928","4.99",""
"71","","Prince of Persia: The Lost Crown","189318480","3553140","51830","395","9011","4246","79","53.28",""
"72","","Anime World","187670880","5025960","12076","211","3183","4209","112","37.34",""
"73","","Call of Duty","181183020","121784100","9989","4887","279027","4064","2731","1.49",""
"74","","Tibia","181068480","8335740","9620","368","5407","4061","186","21.72",""
"75","","Animals, Aquariums, and Zoos","180301080","10300680","22099","281","1064","4044","231","17.5",""
"76","","Age of Empires II","179787660","2204580","31614","103","3737","4032","49","81.55",""
"77","","Heroes of Might and Magic III: The Restoration of Erathia","179085060","1598880","19822","81","1089","4017","35","112.01",""
"78","","Poker","176373120","3130500","18987","187","3910","3956","70","56.34",""
"79","","Games + Demos","174932640","26931120","77713","1477","114723","3924","604","6.5",""
"80","","Honkai: Star Rail","173366580","8796120","95697","801","23321","3888","197","19.71",""
"81","","Hunt: Showdown 1896","172783800","11668800","10546","579","15145","3875","261","14.81",""
"82","","Cult of the Lamb","163202460","6095520","34536","822","16490","3660","136","26.77",""
"83","","Always On","161468640","7605600","5447","192","556","3621","170","21.23",""
"84","","Software and Game Development","158788680","6072900","17579","262","8896","3561","136","26.15",""
"85","","Magic: The Gathering","157256040","3008400","23766","129","5285","3527","67","52.27",""
"86","","Poppy Playtime","150838980","1196940","223983","857","7796","3383","26","126.02",""
"87","","Among Us","143165220","3938220","103364","250","29688","3211","88","36.35",""
"88","","Ravendawn","141751380","2561220","21621","344","2925","3179","57","55.35",""
"89","","The Simpsons: Hit & Run","138698760","955740","6322","38","928","3111","21","145.12",""
"90","","Rise Online","137941740","1555620","38727","323","1346","3094","34","88.67",""
"91","","Suicide Squad: Kill the Justice League","134407320","1653480","154051","1105","6004","3014","37","81.29",""
"92","","Crypto","131676360","3192060","16828","119","1285","2953","71","41.25",""
"93","","Super Smash Bros. Ultimate","130283520","3947280","92750","248","8782","2922","88","33.01",""
"94","","Poker Online: Texas Holdem","124670040","1560120","19519","95","1707","2796","34","79.91",""
"95","","Dark and Darker","124502640","4378140","7826","202","4890","2792","98","28.44",""
"96","","Fall Guys","124200360","7829100","72282","361","52985","2786","175","15.86",""
"97","","The Sims 4","123587580","6311340","14359","276","19556","2772","141","19.58",""
"98","","StarCraft II","120254940","2185140","11847","108","3014","2697","49","55.03",""
"99","","DARK SOULS III","117999720","4353960","36785","186","11518","2646","97","27.1",""
"100","","iRacing","116223540","7346520","31444","2270","8363","2607","164","15.82",""
