"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16999039920","195251700","908265","7239","446483","381315","4379","87.06",""
"2","","Grand Theft Auto V","5351341080","126954660","334803","5200","213868","120039","2847","42.15",""
"3","","League of Legends","5253353940","77712180","707351","2747","119874","117841","1743","67.6",""
"4","","Counter-Strike","4800187440","75514980","630242","3847","158865","107675","1693","63.57",""
"5","","VALORANT","3621302760","138489240","649053","4924","253922","81231","3106","26.15",""
"6","","World of Warcraft","2856756360","54624840","183171","3937","49783","64081","1225","52.3",""
"7","","Fortnite","2773850040","246518520","233629","10771","767008","62221","5529","11.25",""
"8","","Dota 2","2678595720","43306080","314552","2041","55871","60085","971","61.85",""
"9","","Monster Hunter Wilds","2251452840","139168560","421224","14586","182502","50503","3121","16.18",""
"10","","Marvel Rivals","1932805260","96453060","161328","5565","228960","43355","2163","20.04",""
"11","","Minecraft","1650638700","96960300","179286","4033","315621","37026","2174","17.02",""
"12","","R.E.P.O.","1599898740","75113700","153855","5915","226760","35888","1684","21.3",""
"13","","Call of Duty: Warzone","1184417520","95011560","75533","4185","222091","26568","2131","12.47",""
"14","","IRL","1113344160","13906980","210230","550","32604","24974","311","80.06",""
"15","","Overwatch 2","1106314020","41385000","103305","1845","91840","24816","928","26.73",""
"16","","Tom Clancy's Rainbow Six Siege X","1049075160","69675900","596891","4065","233435","23532","1562","15.06",""
"17","","Dead by Daylight","998041320","56892360","112626","2204","94194","22387","1276","17.54",""
"18","","EA Sports FC 25","950701620","34208940","130995","2013","116615","21325","767","27.79",""
"19","","Apex Legends","944909700","73119840","56843","2856","138688","21195","1640","12.92",""
"20","","Assassin's Creed Shadows","875350140","31867320","331693","5001","64591","19635","714","27.47",""
"21","","PUBG: BATTLEGROUNDS","778463820","29954160","135526","1302","52839","17462","671","25.99",""
"22","","Hearthstone","752163540","5683980","46588","346","8918","16872","127","132.33",""
"23","","Street Fighter 6","729611040","7689840","173984","430","14783","16366","172","94.88",""
"24","","Teamfight Tactics","696032880","8662140","138033","445","19014","15613","194","80.35",""
"25","","Special Events","685370160","3929520","852437","1785","8999","15373","88","174.42",""
"26","","Escape from Tarkov","654122280","19347360","34529","737","17752","14672","433","33.81",""
"27","","Schedule I","633555960","13141860","206745","2804","47682","14211","294","48.21",""
"28","","Kings League","621593640","285300","404226","84","573","13943","6","2178.74",""
