"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14846380920","195680640","754965","9298","482365","356028","4692","75.87",""
"2","","Grand Theft Auto V","9201505740","131826960","496516","7149","222442","220659","3161","69.8",""
"3","","League of Legends","7647228240","130863900","892673","6477","200172","183386","3138","58.44",""
"4","","VALORANT","5409678540","187372620","520981","8062","322750","129728","4493","28.87",""
"5","","Fortnite","4086061500","411208080","736273","19927","1239467","97987","9861","9.94",""
"6","","Counter-Strike","3939837480","57334740","735109","2772","137248","94480","1374","68.72",""
"7","","Dota 2","2688656700","49943880","321497","2376","64932","64476","1197","53.83",""
"8","","Call of Duty: Warzone","2153414280","170064360","160082","8287","323623","51640","4078","12.66",""
"9","","Apex Legends","1965410220","150002220","156470","8077","259528","47132","3597","13.1",""
"10","","Minecraft","1615570380","94339560","228830","5228","276634","38742","2262","17.13",""
"11","","Escape from Tarkov","1548407100","44499960","87990","1956","37710","37132","1067","34.8",""
"12","","Tom Clancy's Rainbow Six Siege","1505451720","82016880","473907","4234","264550","36101","1966","18.36",""
"13","","World of Warcraft","1330213500","45639720","148977","3625","47339","31899","1094","29.15",""
"14","","Overwatch 2","1270956480","71062380","117032","4626","157838","30478","1704","17.89",""
"15","","HELLDIVERS 2","1196874120","57639120","154231","5299","149753","28702","1382","20.76",""
"16","","Casino","1186762320","3638400","70166","155","2552","28459","87","326.18",""
"17","","EA Sports FC 24","1118239080","41361120","173189","2452","140220","26816","991","27.04",""
"18","","Sports","1024217760","6657120","303202","496","12851","24561","159","153.85",""
"19","","Dead by Daylight","1001865420","67721940","88981","3234","105434","24025","1624","14.79",""
"20","","Palworld","977188380","67863180","105667","5443","144676","23433","1627","14.4",""
"21","","Last Epoch","881905380","13094340","266419","2175","17658","21148","314","67.35",""
"22","","Street Fighter 6","858471240","7523340","203624","628","15790","20586","180","114.11",""
"23","","Slots","823083360","4210860","50294","209","5155","19738","100","195.47",""
"24","","Virtual Casino","784365420","1738260","43513","111","1301","18809","41","451.24",""
"25","","Music","764763300","36536940","55107","1487","49920","18339","876","20.93",""
"26","","TEKKEN 8","705679500","18429060","71293","909","37335","16922","441","38.29",""
"27","","Call of Duty: Modern Warfare III","678540300","59475060","44085","3444","97900","16271","1426","11.41",""
"28","","PUBG: BATTLEGROUNDS","673524300","32140560","67114","1414","55166","16151","770","20.96",""
"29","","Hearthstone","659719920","5500440","32389","207","8865","15820","131","119.94",""
"30","","Rocket League","658532400","37719960","337680","1748","165679","15792","904","17.46",""
"31","","Special Events","642161580","3424980","423828","1030","9853","15399","82","187.49",""
"32","","Teamfight Tactics","640097040","9797160","74795","428","24433","15350","234","65.33",""
"33","","ELDEN RING","634148220","26438040","110331","1577","66067","15207","634","23.99",""
"34","","ASMR","550596300","8270940","25627","386","3755","13203","198","66.57",""
"35","","Genshin Impact","465970080","51400800","32552","3630","77455","11174","1232","9.07",""
"36","","Art","463666380","28660800","22436","1278","50553","11119","687","16.18",""
"37","","Rust","455177700","15346080","72450","1040","27453","10915","368","29.66",""
"38","","Skull and Bones","453784920","19411380","116691","1834","39370","10882","465","23.38",""
"39","","IRL","450745980","5243460","79957","221","4386","10809","125","85.96",""
"40","","World of Tanks","380164620","7674060","42464","396","11357","9116","184","49.54",""
"41","","Nightingale","364399740","5063640","264811","1619","9699","8738","121","71.96",""
