"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"42","","Poppy Playtime","341091480","6343500","128946","723","31415","8179","152","53.77",""
"43","","Retro","315277380","11799600","17843","608","11816","7560","282","26.72",""
"44","","Lethal Company","299914920","23886000","61535","1770","95657","7192","572","12.56",""
"45","","Enshrouded","298786980","14296380","46788","1157","24973","7165","342","20.9",""
"46","","Black Desert","280039980","7908780","12465","313","6593","6715","189","35.41",""
"47","","I'm Only Sleeping","278752560","8361480","19680","335","5776","6684","200","33.34",""
"48","","Lost Ark","278274180","9198360","20511","535","5731","6673","220","30.25",""
"49","","Hunt: Showdown 1896","275510700","9988680","60029","561","13493","6606","239","27.58",""
"50","","Honkai: Star Rail","265082220","13010640","53128","1641","30219","6356","312","20.37",""
"51","","Rise Online","260995680","2894100","25539","192","1528","6258","69","90.18",""
"52","","Deep Rock Galactic: Survivor","259829580","2749200","59295","301","8300","6230","65","94.51",""
"53","","Talk Shows & Podcasts","253731060","10717620","75252","516","14059","6084","257","23.67",""
"54","","Old School RuneScape","252931620","6302100","21750","275","6324","6065","151","40.13",""
"55","","Persona 3 Reload","252218040","22963740","46256","2126","29002","6048","550","10.98",""
"56","","Pools, Hot Tubs, and Beaches","245309340","3601440","29238","162","2755","5882","86","68.11",""
"57","","Albion Online","242895000","4691160","11645","210","4077","5824","112","51.78",""
"58","","Madden NFL 24","231403860","44569860","223439","2960","151635","5549","1068","5.19",""
"59","","Path of Exile","228811740","4273740","44667","494","5124","5487","102","53.54",""
"60","","Games + Demos","225244080","28269360","94540","1325","121873","5401","677","7.97",""
"61","","Granblue Fantasy: Relink","221533020","13622640","43307","991","17005","5312","326","16.26",""
"62","","Destiny 2","221488860","17120580","26936","902","33928","5311","410","12.94",""
"63","","DayZ","220240560","12677460","13355","612","23886","5281","304","17.37",""
"64","","Sea of Thieves","216268200","12036240","46331","933","28238","5186","288","17.97",""
"65","","Chess","212572320","2701440","41766","159","7015","5097","64","78.69",""
"66","","Dungeonborne","206226480","2038860","65778","252","6180","4945","48","101.15",""
"67","","Baldur's Gate 3","203914800","20113140","21850","1073","37302","4890","482","10.14",""
"68","","ROBLOX","196152180","34917360","34619","2094","212009","4703","837","5.62",""
"69","","NBA 2K24","195561060","42646620","37418","2217","102911","4689","1022","4.59",""
"70","","FINAL FANTASY XIV ONLINE","193310760","15990240","14101","946","22584","4635","383","12.09",""
"71","","Ravendawn","186973620","2927040","11121","157","2034","4483","70","63.88",""
"72","","Tibia","183229260","7843080","12491","364","5160","4393","188","23.36",""
"73","","Monster Hunter: World","181614000","10815660","31432","501","17623","4355","259","16.79",""
"74","","Supermarket Simulator","179111640","1435020","74603","393","5903","4295","34","124.81",""
"75","","Party Animals","178347600","2483700","79531","192","12323","4276","59","71.81",""
"76","","Animals, Aquariums, and Zoos","174862980","10416120","9011","448","1064","4193","249","16.79",""
"77","","Magic: The Gathering","171426120","3132960","29642","174","5255","4110","75","54.72",""
"78","","Like a Dragon: Infinite Wealth","171178740","10823520","35861","601","7824","4105","259","15.82",""
"79","","Poker","169671600","3008640","17302","191","3577","4068","72","56.39",""
"80","","SMITE","168058620","8590920","16384","444","14731","4030","206","19.56",""
"81","","Pacific Drive","165182400","2704620","79502","552","8719","3961","64","61.07",""
"82","","Call of Duty","164579100","113998140","13064","5095","263932","3946","2733","1.44",""
"83","","Suicide Squad: Kill the Justice League","157985880","8887860","49527","1289","22776","3788","213","17.78",""
"84","","Software and Game Development","157514460","5894880","20779","269","8730","3777","141","26.72",""
"85","","VRChat","155678940","4543200","26284","294","10613","3733","108","34.27",""
"86","","Pokémon Scarlet/Violet","150440280","6348120","41878","608","10030","3607","152","23.7",""
"87","","Red Dead Redemption 2","149026020","17153040","33383","943","44092","3573","411","8.69",""
"88","","FINAL FANTASY VII REBIRTH","145764840","4886040","127083","4100","17995","3495","117","29.83",""
"89","","Super Smash Bros. Ultimate","144512520","3734340","81154","242","8314","3465","89","38.7",""
"90","","Heroes of Might and Magic III: The Restoration of Erathia","144474720","1365360","17039","89","945","3464","32","105.81",""
"91","","Always On","144453900","7451820","6406","318","560","3464","178","19.39",""
"92","","Age of Empires II","144280020","2036280","26348","107","3468","3459","48","70.85",""
"93","","Balatro","140576280","1576920","38037","230","4990","3371","37","89.15",""
"94","","Marvel Snap","140503080","1576200","27164","125","3172","3369","37","89.14",""
"95","","MapleStory","133969080","3869640","9371","208","3031","3212","92","34.62",""
"96","","Sons of the Forest","126207540","3603960","70731","478","11464","3026","86","35.02",""
"97","","Kebab Chefs!: Restaurant Simulator","125921880","637260","75897","76","2426","3019","15","197.6",""
"98","","FINAL FANTASY VII REMAKE","123530100","8145960","18451","553","13474","2962","195","15.16",""
"99","","Dark and Darker","120540600","3684900","11089","244","4143","2890","88","32.71",""
"100","","Diablo IV","119752140","9892440","46179","557","17284","2871","237","12.11",""
