"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16103332020","201104400","845647","8278","477932","361223","4511","80.07",""
"2","","Grand Theft Auto V","9747690240","133441260","495900","5232","267817","218656","2993","73.05",""
"3","","Fortnite","6514973160","577802940","3291525","85481","1728322","146141","12961","11.28",""
"4","","League of Legends","5664461040","127077660","474549","4185","198073","127062","2850","44.57",""
"5","","World of Warcraft","2972531340","71153460","438880","5881","69012","66678","1596","41.78",""
"6","","VALORANT","2912429160","156337560","269737","5126","285186","65330","3506","18.63",""
"7","","Call of Duty: Warzone","2389130580","153922260","292484","8063","300389","53591","3452","15.52",""
"8","","Minecraft","2249959860","87908340","212908","4042","261957","50470","1971","25.59",""
"9","","Counter-Strike","2211415500","49599900","295211","2384","118676","49605","1112","44.59",""
"10","","Dota 2","2110956060","46374240","249102","1973","58699","47352","1040","45.52",""
"11","","Rust","1766252220","19944600","243825","939","34897","39619","447","88.56",""
"12","","Escape from Tarkov","1766132880","32667420","367243","3945","37048","39617","732","54.06",""
"13","","Lethal Company","1643641500","69095220","143769","4797","209180","36869","1549","23.79",""
"14","","EA Sports FC 24","1594050480","46898100","327593","2760","149610","35757","1051","33.99",""
"15","","Special Events","1589828280","6397800","1938345","11347","20793","35662","143","248.5",""
"16","","Teamfight Tactics","1462991400","18045180","127547","718","38806","32817","404","81.07",""
"17","","Path of Exile","1354084260","17656920","252986","2673","13595","30374","396","76.69",""
"18","","Overwatch 2","1192031220","64105860","70920","2957","145513","26739","1437","18.59",""
"19","","Apex Legends","1173312120","108748500","62602","3965","206531","26319","2439","10.79",""
"20","","Call of Duty: Modern Warfare III","1070115120","90776280","102018","4596","133549","24004","2036","11.79",""
"21","","Casino Jackpot","1060970700","3505980","84390","154","3149","23799","78","302.62",""
"22","","Dead by Daylight","966818820","64208820","46465","2658","103060","21687","1440","15.06",""
"23","","Music","901946460","39955500","84260","1626","51395","20232","896","22.57",""
"24","","Slots","862674720","4533300","51737","195","5022","19351","101","190.3",""
"25","","THE FINALS","812067300","46335960","67601","2364","175739","18215","1039","17.53",""
"26","","PUBG: BATTLEGROUNDS","758484480","30488340","122929","1198","48834","17014","683","24.88",""
"27","","Hearthstone","722443260","6213600","44348","284","9400","16205","139","116.27",""
"28","","World of Tanks","721001400","9730620","75588","467","13220","16173","218","74.1",""
"29","","Sports","637619760","5344980","161188","328","10725","14302","119","119.29",""
"30","","Tom Clancy's Rainbow Six Siege","588920940","50200020","123740","2200","172165","13210","1126","11.73",""
