"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"31","","Escape from Tarkov: Arena","582142200","10092720","138506","975","15551","13058","226","57.68",""
"32","","ASMR","569815920","7662360","27513","225","4040","12781","171","74.37",""
"33","","Street Fighter 6","558812400","8169720","93006","401","17614","12535","183","68.4",""
"34","","Pokémon Community Game","545591400","3448560","240908","143","2512","12238","77","158.21",""
"35","","Virtual Casino","544134060","1818180","39635","83","1244","12205","40","299.27",""
"36","","Art","516073920","27711720","99665","1101","49913","11576","621","18.62",""
"37","","Genshin Impact","511417620","44401260","215707","3668","76388","11471","995","11.52",""
"38","","Lost Ark","451518480","11345400","97867","677","7276","10128","254","39.8",""
"39","","DayZ","401743380","13349100","84959","583","25717","9011","299","30.1",""
"40","","I'm Only Sleeping","384773220","10802880","52508","488","7774","8631","242","35.62",""
"41","","Black Desert","378604500","9883980","68499","390","8105","8492","221","38.3",""
"42","","Baldur's Gate 3","368333520","28051800","28225","1356","54362","8262","629","13.13",""
"43","","Pools, Hot Tubs, and Beaches","358319520","3976680","152424","127","3012","8037","89","90.11",""
"44","","Retro","310349880","11515020","15829","382","11315","6961","258","26.95",""
"45","","Pokémon Scarlet/Violet","306383520","14349780","39683","1826","19842","6872","321","21.35",""
"46","","Destiny 2","297303000","24478080","58080","2854","47462","6668","549","12.15",""
"47","","The Day Before","291900960","2422260","496288","2383","8162","6547","54","120.51",""
"48","","Rocket League","280771800","33270480","45521","1488","164317","6298","746","8.44",""
"49","","IRL","268498500","5375340","63305","170","4290","6022","120","49.95",""
"50","","ELDEN RING","267035400","16621980","33945","906","41853","5990","372","16.07",""
"51","","Old School RuneScape","263663640","6274440","16456","274","6188","5914","140","42.02",""
"52","","Chess","253675020","2822760","52785","150","7236","5690","63","89.87",""
"53","","Ready or Not","245093820","4308360","229865","510","19524","5497","96","56.89",""
"54","","Sea of Thieves","238704000","10653660","43003","789","25061","5354","238","22.41",""
"55","","Albion Online","236107500","4702260","11289","161","4094","5296","105","50.21",""
"56","","Anime World","230648040","5970780","8225","193","3062","5173","133","38.63",""
"57","","Talk Shows & Podcasts","222115560","10549020","74812","571","14088","4982","236","21.06",""
"58","","Marvel Snap","213745560","1773900","99451","120","3621","4794","39","120.49",""
"59","","Avatar: Frontiers of Pandora","211058280","10335420","82856","1340","25470","4734","231","20.42",""
"60","","Once Human","211052760","3776940","39161","278","5673","4734","84","55.88",""
"61","","Tibia","210981420","8458500","10871","347","5247","4732","189","24.94",""
"62","","VRChat","210908040","4807380","68058","309","11083","4731","107","43.87",""
"63","","ROBLOX","201264120","38159760","82953","2841","234206","4514","855","5.27",""
"64","","MapleStory Worlds","198443100","1202640","33818","93","917","4451","26","165.01",""
"65","","Hunt: Showdown 1896","184956840","12208440","14323","833","15513","4148","273","15.15",""
"66","","Red Dead Redemption 2","183652260","16791900","40335","749","46241","4119","376","10.94",""
"67","","Warframe","180527520","12052920","71463","933","22158","4049","270","14.98",""
"68","","Games + Demos","178819680","21318720","50637","877","90809","4011","478","8.39",""
"69","","DRAGON QUEST MONSTERS: The Dark Prince","178674540","3063420","66899","428","3056","4007","68","58.33",""
"70","","NBA 2K24","174219300","37978200","18231","1945","89365","3908","851","4.59",""
"71","","Software and Game Development","171751320","5093760","22842","220","7746","3852","114","33.72",""
"72","","Madden NFL 24","169021200","35402760","67110","2116","104547","3791","794","4.77",""
"73","","Monster Hunter: World","168061800","10641780","54336","605","18937","3769","238","15.79",""
"74","","House Flipper 2","165816360","1904340","109794","427","6091","3719","42","87.07",""
"75","","Honkai: Star Rail","164127300","9135780","70325","1126","24485","3681","204","17.97",""
"76","","MapleStory","162739500","5334900","35982","273","4327","3650","119","30.5",""
"77","","FINAL FANTASY XIV ONLINE","161709420","13266300","32393","795","18035","3627","297","12.19",""
"78","","Always On","161138700","6830400","5837","190","510","3614","153","23.59",""
"79","","Magic: The Gathering","160192200","2843280","26235","137","5077","3593","63","56.34",""
"80","","New World","158421120","4824240","20873","265","5404","3553","108","32.84",""
"81","","Cyberpunk 2077","156446640","11921220","43002","498","28402","3509","267","13.12",""
"82","","Poker","155273700","2939040","30721","186","3633","3483","65","52.83",""
"83","","Animals, Aquariums, and Zoos","150855480","9984300","5518","273","965","3383","223","15.11",""
"84","","Throne and Liberty","149556720","2536800","61753","386","1984","3354","56","58.95",""
"85","","God of War Ragnarök","149226180","13476360","67531","1649","44410","3347","302","11.07",""
"86","","Dark and Darker","147457920","4885440","12944","266","5249","3307","109","30.18",""
"87","","Call of Duty","146380740","104366160","7776","5606","239697","3283","2341","1.4",""
"88","","SMITE","145538280","6459060","15777","290","12445","3264","144","22.53",""
"89","","ARK: Survival Ascended","144767640","11925600","47491","723","16507","3247","267","12.14",""
"90","","Star Citizen","143883780","4273020","45169","230","4747","3227","95","33.67",""
"91","","StarCraft II","143541120","2091000","28697","90","2838","3219","46","68.65",""
"92","","World of Warships","142593720","3316440","18915","153","4086","3198","74","43",""
"93","","Poker Online: Texas Holdem","136881420","1037160","43061","66","719","3070","23","131.98",""
"94","","Heroes of Might and Magic III: The Restoration of Erathia","134307360","1360920","12719","71","829","3012","30","98.69",""
"95","","Age of Empires II","130687800","2017260","20946","89","3518","2931","45","64.78",""
"96","","Super Smash Bros. Ultimate","130016880","3483300","55010","203","8057","2916","78","37.33",""
"97","","Party Animals","128566080","3144960","128694","179","17313","2883","70","40.88",""
"98","","Crypto","127798500","3015780","10894","107","1155","2866","67","42.38",""
"99","","The Sims 4","124828740","5740080","22051","380","17876","2800","128","21.75",""
"100","","Food & Drink","116263980","1682940","31848","101","4605","2607","37","69.08",""
