"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15010089960","186476400","783383","6206","438326","336700","4182","80.49",""
"2","","Grand Theft Auto V","5739183360","126007500","289566","4566","213413","128738","2826","45.55",""
"3","","VALORANT","5479488000","204777600","1420514","6428","413227","122913","4593","26.76",""
"4","","League of Legends","5439981780","91864320","1138708","2882","137707","122027","2060","59.22",""
"5","","Counter-Strike","3729476700","51986580","721256","2189","116449","83658","1166","71.74",""
"6","","Fortnite","2659073400","317779080","286309","24806","921134","59647","7128","8.37",""
"7","","Minecraft","2375629440","105416100","366070","3778","342156","53289","2364","22.54",""
"8","","Dota 2","2246124600","44682660","197289","1892","58401","50384","1002","50.27",""
"9","","World of Warcraft","2038349580","44058480","318524","6891","48330","45723","988","46.26",""
"10","","Escape from Tarkov","1982910120","35818620","215520","3746","33857","44479","803","55.36",""
"11","","Black Myth: Wukong","1754437020","51412260","484173","5417","97370","39354","1153","34.12",""
"12","","Apex Legends","1745960460","104536080","189730","5719","190376","39164","2344","16.7",""
"13","","Call of Duty: Warzone","1500416820","147634320","99693","7971","342370","33656","3311","10.16",""
"14","","Overwatch 2","1322965560","62893140","88788","3519","143727","29676","1410","21.04",""
"15","","Virtual Casino","1232397120","2789040","85810","114","2795","27644","62","441.87",""
"16","","Teamfight Tactics","1204536060","15385320","80831","761","30271","27019","345","78.29",""
"17","","IRL","1203969120","12088320","147349","449","29949","27006","271","99.6",""
"18","","Dead by Daylight","993536340","72482340","81003","3358","122582","22286","1625","13.71",""
"19","","Path of Exile","975410700","16339620","95230","791","11687","21880","366","59.7",""
"20","","EA Sports FC 24","927028980","46804980","111050","2172","184343","20794","1049","19.81",""
"21","","Rust","907596060","15007140","358588","985","25611","20358","336","60.48",""
"22","","ELDEN RING","870241920","58724400","100821","2669","121939","19520","1317","14.82",""
"23","","Tom Clancy's Rainbow Six Siege","814518600","69949620","111141","3031","231025","18270","1569","11.64",""
"24","","Special Events","772528140","4506360","907357","3112","10683","17329","101","171.43",""
"25","","Sports","737064240","7035360","169972","460","11880","16533","157","104.77",""
"26","","Hearthstone","626233140","5780340","43341","338","9228","14047","129","108.34",""
"27","","Deadlock","619983240","8374020","119643","1342","27408","13907","187","74.04",""
"28","","Hunt: Showdown 1896","608561640","15255120","117520","1452","22181","13651","342","39.89",""
"29","","Delta Force","578616780","11296260","243907","1036","21004","12979","253","51.22",""
"30","","ASMR","570935160","7812960","23235","249","3513","12806","175","73.08",""
"31","","Music","545362080","27906660","59554","1178","42163","12233","625","19.54",""
"32","","Street Fighter 6","534884580","8486400","112164","411","17036","11998","190","63.03",""
"33","","Anime Squad","506498340","8529900","21636","326","2792","11361","191","59.38",""
"34","","Slots","482207760","3883680","36434","174","5413","10816","87","124.16",""
"35","","PUBG: BATTLEGROUNDS","473123100","26931720","50660","1157","45016","10612","604","17.57",""
"36","","I'm Only Sleeping","466065240","9589200","117651","587","6262","10454","215","48.6",""
"37","","ROBLOX","460381620","60076860","101377","2298","341051","10327","1347","7.66",""
"38","","Art","435749160","26020440","19368","857","44866","9774","583","16.75",""
"39","","Genshin Impact","427551240","37839720","147668","6158","65421","9590","848","11.3",""
"40","","Dark and Darker","383853240","7556820","118656","334","11095","8610","169","50.8",""
"41","","Diablo IV","382808580","18109620","66706","1760","27399","8587","406","21.14",""
"42","","Call of Duty: Modern Warfare III","380776800","31922160","114558","1537","62024","8541","716","11.93",""
"43","","Call of Duty: Black Ops 6","369177840","10545600","483189","12741","52574","8281","236","35.01",""
"44","","DJs","367215060","5849340","68899","404","7298","8237","131","62.78",""
"45","","Once Human","353773860","24268020","36935","1071","38253","7935","544","14.58",""
"46","","FINAL FANTASY XIV ONLINE","347665020","29339100","28275","3077","30468","7798","658","11.85",""
"47","","World of Tanks","332187240","6159900","42070","290","8535","7451","138","53.93",""
"48","","7 Days to Die","325216020","17890200","34682","784","24730","7295","401","18.18",""
"49","","Arena Breakout: Infinite","316903380","8937120","72897","876","18169","7108","200","35.46",""
"50","","Retro","313061040","11706840","20014","387","11650","7022","262","26.74",""
"51","","Zenless Zone Zero","291870480","36590640","48326","2425","34404","6547","820","7.98",""
"52","","Always On","278116440","9139320","10690","299","798","6238","205","30.43",""
"53","","Rocket League","276022260","33120240","66385","1298","158006","6191","742","8.33",""
"54","","Albion Online","270416040","5169840","14460","183","4186","6065","115","52.31",""
"55","","EA Sports College Football 25","268800600","58862760","105715","4812","177022","6029","1320","4.57",""
"56","","Old School RuneScape","268566120","6904320","35355","275","6759","6024","154","38.9",""
"57","","Animals, Aquariums, and Zoos","263418360","11084100","13651","367","1083","5908","248","23.77",""
"58","","Star Wars Outlaws","261080040","5144640","115505","1224","14518","5856","115","50.75",""
"59","","Tibia","260611800","9424200","15516","386","5254","5845","211","27.65",""
"60","","The First Descendant","254320980","28619100","27688","1510","45022","5704","641","8.89",""
"61","","Black Desert","252786180","6471000","11446","298","4724","5670","145","39.06",""
"62","","Talk Shows & Podcasts","248178180","11483940","43600","532","12393","5567","257","21.61",""
"63","","DayZ","242186220","12230280","49541","543","23291","5432","274","19.8",""
"64","","Metin2","225379980","2227260","15684","143","2059","5055","49","101.19",""
"65","","Games + Demos","223547160","23517660","77883","871","100438","5014","527","9.51",""
"66","","Destiny 2","218642460","16486800","31912","946","32087","4904","369","13.26",""
"67","","Spectre Divide","214388880","3066480","82299","451","13382","4809","68","69.91",""
"68","","Escape from Tarkov: Arena","205606500","2412840","72561","260","5306","4612","54","85.21",""
"69","","VRChat","202719360","4832880","48206","300","11012","4547","108","41.95",""
"70","","Lost Ark","198613620","5217840","11044","247","3076","4455","117","38.06",""
"71","","Madden NFL 25","189292200","13686060","37325","1418","44677","4246","307","13.83",""
"72","","Red Dead Redemption 2","183837420","17240820","57939","708","44580","4123","386","10.66",""
"73","","Pawafuru Puroyakyu 2024-2025","181048260","1021980","42682","90","1023","4061","22","177.15",""
"74","","Dungeonborne","179853420","3776340","32056","238","7200","4034","84","47.63",""
"75","","Sea of Thieves","179046780","13494180","39492","619","32695","4016","302","13.27",""
"76","","Brawl Stars","167146200","6722340","135466","349","58780","3749","150","24.86",""
"77","","Chess","165356400","2548920","28577","127","5859","3709","57","64.87",""
"78","","Pokémon Scarlet/Violet","159545580","5285220","107718","204","7293","3578","118","30.19",""
"79","","LOCKDOWN Protocol","156173400","1442040","98146","242","6604","3503","32","108.3",""
"80","","The Simpsons: Hit & Run","156063480","1075740","7603","47","824","3500","24","145.08",""
"81","","Marvel Snap","152091480","1636380","23564","98","3113","3411","36","92.94",""
"82","","Pools, Hot Tubs, and Beaches","147817560","2538000","23395","100","2592","3315","56","58.24",""
"83","","Magic: The Gathering","147213600","3147060","10349","137","5900","3302","70","46.78",""
