"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","17453224620","188954880","893625","5869","495061","391503","4238","92.37",""
"2","","Grand Theft Auto V","8449803420","138739560","450417","5142","295498","189542","3112","60.9",""
"3","","League of Legends","6584017380","128597040","451932","5149","201992","147689","2884","51.2",""
"4","","VALORANT","5441164140","227261280","372293","7223","389998","122053","5097","23.94",""
"5","","Counter-Strike: Global Offensive","3609488040","60480120","420347","2383","139029","80966","1356","59.68",""
"6","","Dota 2","3396727740","41404980","491483","1678","52343","76193","928","82.04",""
"7","","Teamfight Tactics","2460703560","22062240","139118","829","46816","55197","494","111.53",""
"8","","Fortnite","2368488420","274842960","166737","11506","913098","53128","6165","8.62",""
"9","","Minecraft","2362084740","115524660","233850","4008","392298","52985","2591","20.45",""
"10","","Apex Legends","2057625720","133490280","446282","4214","274994","46155","2994","15.41",""
"11","","Diablo IV","1741409640","73761300","328859","6957","108992","39062","1654","23.61",""
"12","","Special Events","1737860820","2903160","3462517","363","6772","38982","65","598.61",""
"13","","Sports","1644539520","5101800","739841","281","11873","36889","114","322.34",""
"14","","Call of Duty: Warzone","1391526360","57090540","147224","2306","105762","31214","1280","24.37",""
"15","","Casino Slot Machine","1369773840","3370560","60277","134","1800","30726","75","406.39",""
"16","","World of Warcraft","1287927240","42001560","93232","2581","45018","28890","942","30.66",""
"17","","Dead by Daylight","1218687360","83172300","56972","3382","138625","27337","1865","14.65",""
"18","","Street Fighter 6","1048707780","17690280","159879","731","36687","23524","396","59.28",""
"19","","Overwatch 2","1040203920","65197500","88471","2450","166984","23333","1462","15.95",""
"20","","FIFA 23","1010369220","40776840","123333","1967","175462","22664","914","24.78",""
"21","","Black Desert","896010420","12168960","53978","430","11471","20098","272","73.63",""
"22","","Music","879490860","65765580","147590","6679","62423","19728","1475","13.37",""
"23","","Only Up!","864342180","12071400","163939","741","63805","19388","270","71.6",""
"24","","Slots","812712360","4417200","53395","193","5166","18230","99","183.99",""
"25","","Escape from Tarkov","733622700","20298300","124662","777","20690","16456","455","36.14",""
"26","","Rust","710390040","19723860","96016","1184","36553","15935","442","36.02",""
"27","","Hearthstone","691805520","5519100","58558","233","9249","15518","123","125.35",""
"28","","MapleStory","678273480","6645000","107397","320","6628","15214","149","102.07",""
"29","","Rocket League","628748640","46192920","292169","1698","218372","14103","1036","13.61",""
"30","","Remnant II","598359420","15510480","101078","1958","29942","13422","347","38.58",""
"31","","ASMR","562997100","5840220","26750","177","4506","12628","131","96.4",""
"32","","Genshin Impact","528648960","45817620","39723","3212","71897","11858","1027","11.54",""
"33","","BattleBit Remastered","510343680","13124220","87023","653","39160","11447","294","38.89",""
"34","","Travel & Outdoors","476727600","5716020","86354","204","6515","10693","128","83.4",""
"35","","PUBG: BATTLEGROUNDS","474455760","25927380","92521","1023","43641","10642","581","18.3",""
"36","","Art","465251280","28550040","23175","953","50493","10436","640","16.3",""
"37","","Tom Clancy's Rainbow Six Siege","458251920","58109820","55279","2363","208789","10279","1303","7.89",""
"38","","Call of Duty: Modern Warfare II","457891440","170090460","53072","6695","452524","10271","3815","2.69",""
