"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15712174620","175828620","817649","6076","412681","364213","4075","89.36",""
"2","","League of Legends","5984044260","93287700","796676","3609","137580","138712","2162","64.15",""
"3","","Grand Theft Auto V","5458674780","112088940","292971","4305","174266","126533","2598","48.7",""
"4","","Dota 2","3963613620","41404380","1528106","1971","55675","91877","959","95.73",""
"5","","World of Warcraft","3427549440","61163280","231770","4685","56870","79451","1417","56.04",""
"6","","VALORANT","3414394440","174344280","195413","5907","333912","79146","4041","19.58",""
"7","","Counter-Strike","3367914060","50061840","601330","2301","110727","78069","1160","67.28",""
"8","","Fortnite","2721150300","263738400","651963","11836","790466","63077","6113","10.32",""
"9","","Minecraft","2512831920","83342700","349083","3731","268106","58248","1931","30.15",""
"10","","EA Sports FC 25","1871705280","29479440","484632","5895","96329","43386","683","63.49",""
"11","","Special Events","1685529060","4454340","619224","2479","9530","39071","103","378.4",""
"12","","Call of Duty: Warzone","1478511000","132164100","247464","5961","310090","34272","3063","11.19",""
"13","","Apex Legends","1421290200","88060860","285129","3359","158012","32945","2041","16.14",""
"14","","Deadlock","1385343180","32969220","80542","1553","63776","32112","764","42.02",""
"15","","Escape from Tarkov","1302335580","36496860","89304","1666","30597","30188","846","35.68",""
"16","","IRL","1084862760","11834220","167745","478","26370","25147","274","91.67",""
"17","","Overwatch 2","1057582920","61576080","71368","2502","140185","24515","1427","17.18",""
"18","","Virtual Casino","1016918040","2392020","75582","107","2671","23572","55","425.13",""
"19","","Dead by Daylight","963201780","73055460","37306","3135","115782","22327","1693","13.18",""
"20","","Teamfight Tactics","860935140","10408140","81209","377","22984","19956","241","82.72",""
"21","","NBA 2K25","825871680","82015080","199141","7932","135575","19143","1901","10.07",""
"22","","Warhammer 40,000: Space Marine II","799828980","32577120","274185","3657","79952","18540","755","24.55",""
"23","","Tom Clancy's Rainbow Six Siege X","780852480","64635480","119103","3490","208716","18100","1498","12.08",""
"24","","Rocket League","650752140","31911360","378452","1317","145845","15084","739","20.39",""
"25","","Hearthstone","646230900","5574120","32881","237","8864","14979","129","115.93",""
"26","","Black Myth: Wukong","630533700","44546460","88390","2935","81782","14615","1032","14.15",""
"27","","Street Fighter 6","629630100","9235320","80783","729","18139","14595","214","68.18",""
"28","","Sports","623486220","8081700","201246","440","13291","14452","187","77.15",""
"29","","ASMR","611339400","7760760","24731","225","3348","14171","179","78.77",""
"30","","ELDEN RING","527804880","30625980","54536","1344","68945","12234","709","17.23",""
"31","","FINAL FANTASY XIV ONLINE","504133800","17250300","136367","1367","22594","11685","399","29.22",""
"32","","Call of Duty: Black Ops 6","484611060","22566000","152229","5367","86363","11233","523","21.48",""
"33","","I'm Only Sleeping","477289440","10597140","57574","442","6321","11063","245","45.04",""
"34","","Satisfactory","477037680","15130560","65259","1430","19002","11057","350","31.53",""
"35","","Throne and Liberty","477023280","5057400","151295","1932","8198","11057","117","94.32",""
"36","","Slots","463442220","3784440","42818","176","4924","10742","87","122.46",""
"37","","PUBG: BATTLEGROUNDS","449915460","25682760","74548","1072","42620","10429","595","17.52",""
"38","","Music","428993760","25107120","50529","902","36724","9944","581","17.09",""
"39","","Art","413935260","25749240","18923","915","44245","9595","596","16.08",""
"40","","Anime Squad","410473500","7962000","17634","266","2669","9514","184","51.55",""
"41","","Rust","401429400","12322980","86672","772","21541","9305","285","32.58",""
"42","","Genshin Impact","393089340","43269900","130878","3085","68034","9111","1003","9.08",""
"43","","World of Tanks","384453180","6247860","58970","309","8336","8911","144","61.53",""
"44","","Always On","350200080","10669200","15463","293","936","8117","247","32.82",""
"45","","Path of Exile","345361500","7150140","41096","457","6140","8005","165","48.3",""
"46","","DJs","344992080","7782600","24433","443","7520","7997","180","44.33",""
"47","","TCG Card Shop Simulator","321029520","5222340","71117","487","14675","7441","121","61.47",""
"48","","Dark and Darker","307002000","7663800","43284","567","9499","7116","177","40.06",""
"49","","Retro","300972420","11179380","13816","414","11514","6976","259","26.92",""
"50","","Talk Shows & Podcasts","293602980","11638440","140246","603","12803","6805","269","25.23",""
"51","","ROBLOX","289207980","49030020","65399","2338","282483","6703","1136","5.9",""
"52","","Dale & Dawson Stationery Supplies","275599620","1829280","119837","150","8065","6388","42","150.66",""
"53","","Kings League","267684960","155820","198273","19","234","6205","3","1717.91",""
"54","","Old School RuneScape","256827120","6760080","57057","269","6541","5953","156","37.99",""
"55","","Games + Demos","239737320","21636360","80141","807","92096","5557","501","11.08",""
"56","","Animals, Aquariums, and Zoos","238930380","10359000","10580","284","979","5538","240","23.07",""
"57","","Chess","237080040","2417040","62980","146","5760","5495","56","98.09",""
"58","","Black Desert","236408760","6058620","16806","287","4488","5480","140","39.02",""
"59","","DayZ","236332500","11686680","61966","500","21690","5478","270","20.22",""
"60","","Tibia","233132220","9369600","12300","421","5528","5404","217","24.88",""
"61","","Albion Online","230507520","4851960","12823","172","4100","5343","112","47.51",""
"62","","The Casting of Frank Stone","227567100","4974240","186229","1680","15622","5275","115","45.75",""
"63","","EA Sports FC 24","223100880","20766180","113152","1639","106549","5171","481","10.74",""
"64","","Poker","207569400","2823540","30061","191","2957","4811","65","73.51",""
"65","","Arena Breakout: Infinite","206204280","7808820","55119","332","10303","4779","181","26.41",""
"66","","Call of Duty: Modern Warfare III","202802040","25201800","84121","1421","51194","4701","584","8.05",""
"67","","The Simpsons: Hit & Run","202336560","1175880","9798","48","819","4690","27","172.07",""
"68","","ASTRO BOT","199365120","5630940","55949","600","14965","4621","130","35.41",""
"69","","Once Human","186551400","12929640","54198","505","19890","4324","299","14.43",""
"70","","Lost Ark","181990740","4804380","13594","289","2972","4218","111","37.88",""
"71","","Frostpunk 2","175297440","2430060","109652","600","7378","4063","56","72.14",""
"72","","Sea of Thieves","165951300","9924780","23050","717","23528","3846","230","16.72",""
"73","","Brawl Stars","160524900","5870340","67382","271","47175","3721","136","27.35",""
"74","","Madden NFL 25","160367040","19541460","55865","1294","56223","3717","452","8.21",""
"75","","Fears to Fathom: Woodbury Getaway","159013080","1047300","168159","230","7042","3685","24","151.83",""
"76","","VRChat","158440920","4654620","30300","283","10206","3672","107","34.04",""
"77","","Hunt: Showdown 1896","158435760","10279320","20756","504","14595","3672","238","15.41",""
"78","","Destiny 2","153014160","13453560","21029","656","26318","3546","311","11.37",""
"79","","Honkai: Star Rail","147344340","8100000","31465","984","20300","3415","187","18.19",""
"80","","Red Dead Redemption 2","146951160","16402800","46165","714","40780","3406","380","8.96",""
"81","","Core Keeper","144704460","6016440","44428","323","11658","3354","139","24.05",""
"82","","Baller League","144167820","8280","139351","8","22","3341","0","17411.57",""
"83","","Heroes of Might and Magic III: The Restoration of Erathia","140675220","1141380","14196","69","750","3260","26","123.25",""
"84","","LOCKDOWN Protocol","140493540","3302880","48266","314","13205","3256","76","42.54",""
"85","","Magic: The Gathering","139857060","2997360","14258","182","5736","3241","69","46.66",""
"86","","Baldur's Gate 3","135405120","12221280","15177","517","24266","3138","283","11.08",""
"87","","Age of Mythology","134371860","2825340","27238","349","6728","3114","65","47.56",""
"88","","Pokémon Community Game","133250160","2592900","38059","97","1170","3088","60","51.39",""
"89","","Zenless Zone Zero","130421820","9413460","38481","1049","25504","3023","218","13.85",""
"90","","Super Mario 64","129177360","1533180","18221","68","3235","2994","35","84.25",""
"91","","Call of Duty","128385000","90028740","7454","4801","255075","2976","2086","1.43",""
"92","","Eternal Return","124322100","1761480","13122","96","2076","2881","40","70.58",""
"93","","Clash Royale","122526780","1123860","216554","63","8991","2840","26","109.02",""
"94","","The First Descendant","119942640","13399920","20951","672","23034","2780","310","8.95",""
"95","","Casino Simulator","119323920","648420","12278","39","2987","2765","15","184.02",""
"96","","Marvel Snap","116914980","1390320","20836","115","2630","2710","32","84.09",""
"97","","ARK: Survival Ascended","116489160","6616260","16474","391","9678","2700","153","17.61",""
"98","","Sekiro: Shadows Die Twice","116459760","2727480","71699","122","8633","2699","63","42.7",""
"99","","Software and Game Development","114590520","5702160","25864","239","8005","2656","132","20.1",""
"100","","GeoGuessr","114399360","894720","163306","122","3657","2651","20","127.86",""
