"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","12189572700","165447420","684417","6778","355568","273431","3711","73.68",""
"2","","League of Legends","10296784020","202029420","2020835","8520","246211","230973","4531","50.97",""
"3","","Among Us","6583015140","129659160","753943","9142","386445","147667","2908","50.77",""
"4","","Fortnite","5133595440","346675020","388650","15148","533320","115154","7776","14.81",""
"5","","Call of Duty: Warzone","4573030680","399239160","396270","22121","428944","102580","8955","11.45",""
"6","","FIFA 21","3667730160","63627060","474733","3830","100606","82272","1427","57.64",""
"7","","Counter-Strike: Global Offensive","3513648240","68299740","434419","2976","124370","78816","1532","51.44",""
"8","","Grand Theft Auto V","3349982700","73539840","202629","3627","98469","75145","1649","45.55",""
"9","","Minecraft","2987893020","108165780","472079","4489","235174","67023","2426","27.62",""
"10","","Phasmophobia","2915947560","112573440","256449","8886","223859","65409","2525","25.9",""
"11","","VALORANT","2241723300","116839680","165457","4681","176347","50285","2620","19.19",""
"12","","Dota 2","2011410360","35969580","155576","1573","28700","45119","806","55.92",""
"13","","World of Warcraft","2005787640","67273800","210166","3721","67486","44992","1509","29.82",""
"14","","Genshin Impact","1912552620","116887020","142744","5816","181338","42901","2621","16.36",""
"15","","Apex Legends","1573703100","121416840","85711","4417","161167","35300","2723","12.96",""
"16","","Hearthstone","1456280940","11403780","142885","492","14247","32666","255","127.7",""
"17","","Rocket League","1321969560","72644640","243644","3196","263835","29653","1629","18.2",""
"18","","Special Events","1312703940","2018280","652366","283","4720","29446","45","650.41",""
"19","","Music","1211588280","43439460","293752","1929","40428","27177","974","27.89",""
"20","","Dead by Daylight","1131423660","56511660","96000","3105","83571","25379","1267","20.02",""
"21","","Teamfight Tactics","1007652120","20291400","122784","735","36358","22603","455","49.66",""
"22","","Escape from Tarkov","884566380","40400820","86085","1592","29458","19842","906","21.89",""
"23","","Slots","776427840","5317860","112324","214","3583","17416","119","146",""
"24","","Overwatch","761173260","49505880","71982","2489","83528","17074","1110","15.38",""
"25","","Fall Guys","716914800","27531960","241811","2953","108676","16081","617","26.04",""
"26","","Path of Exile","703237800","14889960","50399","617","10170","15774","334","47.23",""
"27","","PUBG: BATTLEGROUNDS","697876140","38024220","65824","1320","39663","15654","852","18.35",""
"28","","Garena Free Fire","656790480","11108700","99384","519","15755","14732","249","59.12",""
"29","","Tom Clancy's Rainbow Six Siege","654900300","62778000","55139","2528","123476","14690","1408","10.43",""
"30","","Call of Duty: Black Ops Cold War","567598740","28545420","299927","9228","82845","12732","640","19.88",""
"31","","NBA 2K21","512907420","34336740","91190","1798","48295","11505","770","14.94",""
"32","","Art","502300020","32915760","32363","1125","50958","11267","738","15.26",""
"33","","Old School RuneScape","424659540","9049260","93917","629","8211","9525","202","46.93",""
"34","","Destiny 2","382829760","38464200","31956","1782","47421","8587","862","9.95",""
"35","","Talk Shows & Podcasts","379676760","8000460","334877","411","12560","8516","179","47.46",""
"36","","Baldur's Gate 3","357130500","7633440","188863","1489","13857","8011","171","46.79",""
"37","","Watch Dogs: Legion","355064340","5336820","321164","2551","15582","7964","119","66.53",""
"38","","Pokémon Sword/Shield","343514640","11764920","69601","1855","15843","7705","263","29.2",""
"39","","ASMR","315590880","5194680","23922","160","2761","7079","116","60.75",""
"40","","Hades","304309320","9528600","43308","406","19661","6826","213","31.94",""
"41","","Sports","295683300","2528160","146699","150","4817","6632","56","116.96",""
"42","","Magic: The Gathering","293748480","5279280","31687","266","6643","6589","118","55.64",""
"43","","Poker","280860000","4635480","36036","274","3922","6300","103","60.59",""
"44","","StarCraft II","265907160","3917520","18242","138","4969","5964","87","67.88",""
"45","","Chess","257658060","2472540","50371","121","3989","5779","55","104.21",""
"46","","Monster Hunter: World","257615160","14947380","41531","1265","20536","5778","335","17.23",""
"47","","Black Desert","247934100","9023940","68099","348","7367","5561","202","27.48",""
"48","","SMITE","241504620","11584080","24937","532","15667","5417","259","20.85",""
"49","","Rogue Company","239146860","35311620","93304","1696","85399","5364","792","6.77",""
"50","","Amnesia: Rebirth","237818400","3825240","244510","1122","11206","5334","85","62.17",""
"51","","Tibia","232151820","7209960","13574","299","4930","5207","161","32.2",""
"52","","VRChat","231771120","5035860","73152","287","8686","5198","112","46.02",""
"53","","World of Tanks","223494060","8574600","25144","434","8203","5013","192","26.06",""
"54","","Brawlhalla","222730440","5594400","90910","286","17484","4996","125","39.81",""
"55","","Dofus","219926160","2797860","24806","160","2614","4933","62","78.61",""
"56","","The Dark Pictures Anthology: Little Hope","218822220","2321160","308255","2097","9113","4908","52","94.27",""
"57","","Madden NFL 21","209652180","24264780","38117","1569","43540","4702","544","8.64",""
"58","","Crash Bandicoot 4: It's About Time","207991320","3831180","103494","588","10867","4665","85","54.29",""
"59","","Raft","205271640","6165960","84743","434","15178","4604","138","33.29",""
"60","","Dungeons & Dragons","201898680","5029680","83226","432","7928","4528","112","40.14",""
"61","","DayZ","199221180","11221860","11828","463","12883","4468","251","17.75",""
"62","","Spelunky 2","198495060","2518560","41609","214","5131","4452","56","78.81",""
"63","","World of Warships","193581240","4774260","23881","224","4485","4342","107","40.55",""
"64","","Rust","190878420","9869460","13051","574","13628","4281","221","19.34",""
"65","","Party Animals","185772420","2490960","113621","685","15665","4167","55","74.58",""
"66","","Sea of Thieves","165747960","14647020","28813","832","24640","3717","328","11.32",""
"67","","Retro","165149640","7873080","20254","289","8684","3704","176","20.98",""
"68","","Age of Empires II","158499060","2320200","65918","114","2950","3555","52","68.31",""
"69","","Games + Demos","157056540","3666780","63363","146","8876","3523","82","42.83",""
"70","","Super Smash Bros. Ultimate","153943740","8104440","61183","2165","15301","3453","181","18.99",""
"71","","Star Wars: Squadrons","153687840","6128700","139205","1656","20733","3447","137","25.08",""
"72","","Science & Technology","153067320","10995300","24410","394","8883","3433","246","13.92",""
"73","","In Silence","139835700","1528260","87484","252","8816","3136","34","91.5",""
"74","","Animal Crossing: New Horizons","137589960","6065700","26031","481","12448","3086","136","22.68",""
"75","","Street Fighter V","137454720","2852160","46923","136","4546","3083","63","48.19",""
"76","","Heroes of Might and Magic III: The Restoration of Erathia","137258340","913380","18675","49","613","3078","20","150.28",""
"77","","FINAL FANTASY XIV ONLINE","134662320","15768000","31580","910","16312","3020","353","8.54",""
"78","","Lost Ark","125935380","3773100","17142","225","2691","2824","84","33.38",""
"79","","Eternal Return","125712300","1981440","42703","241","3251","2819","44","63.44",""
"80","","MapleStory","123990000","3778020","16716","170","3943","2781","84","32.82",""
"81","","Heroes of the Storm","122462880","4754220","22098","193","5463","2747","106","25.76",""
"82","","Warcraft III","120331860","1860240","20068","91","1902","2699","41","64.69",""
"83","","The Elder Scrolls Online","120020160","6081000","20405","253","6569","2692","136","19.74",""
"84","","Watch Parties","115605300","1661580","119936","180","8014","2593","37","69.58",""
"85","","Jackbox Party Packs","110752800","3184860","59369","461","13576","2484","71","34.77",""
"86","","Food & Drink","110441580","1959360","87132","110","6143","2477","43","56.37",""
"87","","Red Dead Redemption 2","109248420","12841920","38316","535","18890","2450","288","8.51",""
"88","","Super Mario Bros. 35","99649800","1739760","29769","299","6903","2235","39","57.28",""
"89","","Marbles on Stream","93728460","2813040","65790","115","9421","2102","63","33.32",""
"90","","Dark Souls III","93540240","6965880","21843","280","12750","2098","156","13.43",""
"91","","Call of Duty: Modern Warfare","92785440","20942820","38771","1563","40267","2081","469","4.43",""
"92","","Virtual Casino","90702360","1095600","12383","70","698","2034","24","82.79",""
"93","","Squad","90012840","3737460","40378","189","6289","2019","83","24.08",""
"94","","Noita","88458960","1219740","37859","88","3011","1984","27","72.52",""
"95","","The Sims 4","88416180","3888060","28530","175","10005","1983","87","22.74",""
"96","","Legends of Runeterra","86631900","1783740","70937","126","2840","1943","40","48.57",""
"97","","ARK: Survival Evolved","86587860","11440680","5816","548","15150","1942","256","7.57",""
"98","","League of Legends: Wild Rift","85480380","869640","130772","145","1763","1917","19","98.29",""
"99","","Call of Duty: Black Ops III","84882960","9881820","64809","476","23223","1904","221","8.59",""
"100","","Clash Royale","83213940","1249860","22094","62","2625","1866","28","66.58",""
