"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14720549700","181649580","749528","6050","486638","341227","4210","81.04",""
"2","","Grand Theft Auto V","6578146440","126561420","453152","5342","236273","152483","2933","51.98",""
"3","","League of Legends","6424206000","132809520","590729","4453","207129","148915","3078","48.37",""
"4","","VALORANT","6044123640","222980220","450092","9021","393502","140104","5168","27.11",""
"5","","Counter-Strike: Global Offensive","4861458660","69170640","579417","3097","173372","112690","1603","70.28",""
"6","","Minecraft","3983860680","98408640","510301","4124","333083","92347","2281","40.48",""
"7","","Dota 2","3113236260","40044360","264011","1889","50435","72165","928","77.74",""
"8","","Fortnite","2352032880","246838140","168775","10398","772346","54520","5721","9.53",""
"9","","Apex Legends","2223074460","158277480","143330","5503","298899","51531","3668","14.05",""
"10","","Rust","1752913260","17186940","230288","1136","31229","40633","398","101.99",""
"11","","World of Warcraft","1419100740","49755060","125509","2952","52618","32895","1153","28.52",""
"12","","Path of Exile","1221098460","20362020","217746","3507","17413","28305","471","59.97",""
"13","","Call of Duty: Modern Warfare II","1205368560","194005440","243777","8664","452806","27940","4497","6.21",""
"14","","FIFA 23","1200425880","45304020","229107","3359","163657","27826","1050","26.5",""
"15","","Virtual Casino","1190417700","4371960","58698","167","3251","27594","101","272.28",""
"16","","Call of Duty: Warzone","1175658000","62937300","114644","3108","104817","27252","1458","18.68",""
"17","","Resident Evil 4","1169592780","56499480","116052","4879","119173","27111","1309","20.7",""
"18","","Overwatch 2","1024504620","81465060","82560","4403","201349","23748","1888","12.58",""
"19","","Sports","1008204780","6098220","514063","433","14908","23370","141","165.33",""
"20","","Dead by Daylight","998837220","67132320","46290","2499","108564","23153","1556","14.88",""
"21","","Teamfight Tactics","934833660","12538020","49466","484","29436","21669","290","74.56",""
"22","","Music","881226540","50639880","72544","1939","56235","20427","1173","17.4",""
"23","","Hearthstone","799367880","6342120","47728","465","10994","18529","147","126.04",""
"24","","Slots","768006720","4225560","43245","190","4417","17802","97","181.75",""
"25","","Escape from Tarkov","707626080","28181520","66901","989","25473","16403","653","25.11",""
"26","","Tom Clancy's Rainbow Six Siege","668040060","48489900","56474","2033","167182","15485","1124","13.78",""
"27","","Genshin Impact","623644620","58261320","56443","4797","86476","14456","1350","10.7",""
"28","","Rocket League","602843640","46368540","247999","1952","212598","13974","1074","13",""
"29","","ASMR","561777060","6361020","37245","197","4754","13022","147","88.32",""
"30","","Dead Island 2","559415160","21252060","239404","3759","54519","12967","492","26.32",""
"31","","Chess","557737080","3970800","138226","191","13622","12928","92","140.46",""
"32","","Albion Online","537203760","6877800","25451","230","5988","12452","159","78.11",""
