"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15371655720","187960200","874770","6570","442877","344810","4216","81.78",""
"2","","League of Legends","7726924080","128839560","1000001","4433","191168","173327","2890","59.97",""
"3","","Grand Theft Auto V","6275756040","114890760","303987","4442","194656","140775","2577","54.62",""
"4","","Dota 2","4389622980","45297960","1105363","1946","55726","98466","1016","96.91",""
"5","","Counter-Strike","3858730380","79739580","556730","3811","197316","86557","1788","48.39",""
"6","","VALORANT","3143086620","161460000","207437","5088","288845","70504","3621","19.47",""
"7","","EA Sports FC 24","2911902180","66540300","281384","4202","172072","65318","1492","43.76",""
"8","","Minecraft","2457607080","93004440","324005","3731","265338","55128","2086","26.42",""
"9","","World of Warcraft","2381937840","54770760","302578","3251","52207","53430","1228","43.49",""
"10","","Fortnite","2274652260","235527240","589731","10162","720876","51024","5283","9.66",""
"11","","Casino Jackpot","1860101760","4209240","99625","172","2337","41725","94","441.91",""
"12","","Apex Legends","1530228000","130847040","121845","5916","238349","34325","2935","11.69",""
"13","","ARK: Survival Evolved","1517316420","10891560","220016","435","21066","34035","244","139.31",""
"14","","Sports","1305515580","6832260","762921","1510","15176","29284","153","191.08",""
"15","","Overwatch 2","1285189080","64559880","155942","3085","148929","28828","1448","19.91",""
"16","","Call of Duty: Warzone","1142815200","110752740","85135","4961","236832","25635","2484","10.32",""
"17","","Teamfight Tactics","1118808000","13443240","83022","486","31476","25096","301","83.22",""
"18","","Dead by Daylight","996356760","67413900","60700","3368","105875","22349","1512","14.78",""
"19","","Lost Ark","972367320","11420400","139509","630","7388","21811","256","85.14",""
"20","","Slots","968837100","4856160","45118","205","4914","21732","108","199.51",""
"21","","Virtual Casino","961346640","2358780","46004","111","1852","21564","52","407.56",""
"22","","Escape from Tarkov","905644320","31522200","47677","1042","25928","20315","707","28.73",""
"23","","Music","800397300","44785320","66463","1694","49293","17954","1004","17.87",""
"24","","Marvel's Spider-Man 2","796870440","50380560","277121","11227","106596","17875","1130","15.82",""
"25","","Diablo IV","712137120","19908900","211002","2394","32013","15974","446","35.77",""
"26","","Tom Clancy's Rainbow Six Siege","691360020","54073680","66574","2366","187628","15508","1212","12.79",""
"27","","Lords of the Fallen","678288720","14267160","184812","2315","26458","15215","320","47.54",""
"28","","Call of Duty: Modern Warfare III","670761060","18930240","447866","6432","60778","15046","424","35.43",""
"29","","Rust","665371920","15218700","76408","906","25524","14925","341","43.72",""
"30","","New World","629318760","11742660","142712","890","12137","14116","263","53.59",""
"31","","Hearthstone","626981460","5453220","44179","207","8861","14064","122","114.97",""
"32","","Special Events","605491740","3249720","150378","400","6980","13582","72","186.32",""
"33","","Genshin Impact","564149700","60631740","43549","4303","87108","12654","1360","9.3",""
"34","","Suika Game","558590820","3034980","125368","212","13207","12530","68","184.05",""
"35","","ASMR","541969440","6441000","22232","200","3901","12157","144","84.14",""
"36","","PUBG: BATTLEGROUNDS","488574600","25899600","60445","1015","40306","10959","580","18.86",""
"37","","Cyberpunk 2077","483947100","27429960","89112","1948","49907","10855","615","17.64",""
"38","","Art","483336180","28960500","34453","1013","46561","10841","649","16.69",""
"39","","Street Fighter 6","475381260","8214000","47476","354","16777","10663","184","57.87",""
"40","","Lies of P","454738260","28810200","63005","1820","55972","10200","646","15.78",""
"41","","I'm Only Sleeping","437069280","8907420","89855","438","6132","9804","199","49.07",""
"42","","World of Tanks","400529640","7015740","50276","363","9955","8984","157","57.09",""
"43","","Assassin's Creed Mirage","397889760","15652140","161016","2733","33843","8925","351","25.42",""
"44","","Black Desert","393658020","8734200","24282","310","7100","8830","195","45.07",""
"45","","NBA 2K24","388140180","52296660","30823","2729","103076","8706","1173","7.42",""
"46","","Dark and Darker","374988180","7737840","25041","443","7863","8411","173","48.46",""
"47","","Pokémon Scarlet/Violet","367446600","7125660","234154","313","11513","8242","159","51.57",""
"48","","Travel & Outdoors","364593600","5493960","55271","170","4675","8178","123","66.36",""
"49","","Alan Wake II","356349720","5652600","243704","1583","14592","7993","126","63.04",""
"50","","Party Animals","346108440","9319380","90251","869","46229","7763","209","37.14",""
"51","","Rocket League","336170280","34488060","74301","1407","152822","7540","773","9.75",""
"52","","Hunt: Showdown","316961940","13171980","62247","792","16091","7109","295","24.06",""
"53","","Cities: Skylines II","313918800","3265740","93789","1508","9363","7041","73","96.12",""
"54","","Super Mario Bros. Wonder","313473900","6381660","122894","1446","18015","7031","143","49.12",""
"55","","Albion Online","311721540","5216940","17891","211","4266","6992","117","59.75",""
"56","","Eternal Return","302984580","4598220","68956","223","5608","6796","103","65.89",""
"57","","Talk Shows & Podcasts","294800280","11247300","94762","546","14383","6612","252","26.21",""
"58","","Old School RuneScape","290640900","6366420","21452","229","6266","6519","142","45.65",""
"59","","Baldur's Gate 3","288061860","24031260","26939","1192","40539","6461","539","11.99",""
"60","","Honkai: Star Rail","282079500","25609800","66042","8662","52904","6327","574","11.01",""
"61","","Destiny 2","278411460","21404400","22811","1065","40814","6245","480","13.01",""
"62","","Retro","272286960","10752060","12003","367","11193","6107","241","25.32",""
"63","","Backpack Battles","263851860","1794720","42001","147","3696","5918","40","147.02",""
"64","","DayZ","248166360","11867520","40907","517","22324","5566","266","20.91",""
"65","","FINAL FANTASY XIV ONLINE","242800920","16750860","65212","1312","21935","5446","375","14.49",""
"66","","Phasmophobia","240560160","20302860","36427","2003","69802","5396","455","11.85",""
"67","","Marvel Snap","236335800","2060880","59888","154","4375","5301","46","114.68",""
"68","","Sea of Thieves","231321240","12872340","60458","739","28908","5188","288","17.97",""
"69","","Path of Exile","228940800","5787720","16662","290","5500","5135","129","39.56",""
"70","","Tibia","228015840","9674280","12377","381","5793","5114","217","23.57",""
"71","","Halo Infinite","224042520","8019240","143749","689","24177","5025","179","27.94",""
"72","","Poker","222434400","3382560","28287","224","3634","4989","75","65.76",""
"73","","Chess","221678460","2809860","25438","134","7145","4972","63","78.89",""
"74","","Mortal Kombat 1","217315200","10908780","46932","773","41346","4874","244","19.92",""
"75","","ARK: Survival Ascended","215333400","4269180","129337","835","9022","4830","95","50.44",""
"76","","My Hero Ultra Rumble","213099480","16813260","41031","1076","57838","4780","377","12.67",""
"77","","Project Zomboid","211646100","5529600","29940","201","11154","4747","124","38.28",""
"78","","Call of Duty: Modern Warfare II","209767380","45264000","19059","5962","148665","4705","1015","4.63",""
"79","","Games + Demos","208315860","18365580","49895","651","83325","4672","411","11.34",""
"80","","ROBLOX","207115620","43671000","74179","2562","270983","4645","979","4.74",""
"81","","Anime World","190004340","4547100","7261","151","2748","4262","101","41.79",""
"82","","SMITE","188998560","6766200","28689","292","12382","4239","151","27.93",""
"83","","Pools, Hot Tubs, and Beaches","186607920","2683440","17957","87","2193","4185","60","69.54",""
"84","","VRChat","183777180","4875540","37172","313","10510","4122","109","37.69",""
"85","","THE FINALS","179754180","9064680","91387","2073","52414","4032","203","19.83",""
"86","","Star Citizen","174802320","3847620","68658","341","4269","3921","86","45.43",""
"87","","ELDEN RING","174630060","14835300","45849","584","35319","3917","332","11.77",""
"88","","Super Smash Bros. Ultimate","172059600","3972120","81905","237","8679","3859","89","43.32",""
"89","","MapleStory","167483460","4794060","41824","234","3626","3756","107","34.94",""
"90","","The Texas Chain Saw Massacre","166340520","10299540","18741","598","31996","3731","231","16.15",""
"91","","Magic: The Gathering","162383760","3013320","16024","128","5220","3642","67","53.89",""
"92","","Red Dead Redemption 2","156750540","14939880","15271","622","34576","3516","335","10.49",""
"93","","Resident Evil 4","154033020","10440900","27737","579","30771","3455","234","14.75",""
"94","","Madden NFL 24","152306160","33676380","64040","2154","83797","3416","755","4.52",""
"95","","The Lord of the Rings: Return to Moria","148130280","2220540","98694","614","4862","3322","49","66.71",""
"96","","Among Us","134479620","4031820","99181","323","28871","3016","90","33.35",""
"97","","World of Warships","129978480","2837460","17742","128","3516","2915","63","45.81",""
"98","","Fears to Fathom: Ironbark Lookout","123527400","647580","90736","199","4911","2770","14","190.75",""
"99","","Dead Signal","117102420","259320","68636","57","1081","2626","5","451.57",""
"100","","Trackmania","117021960","1624200","93448","218","4711","2624","36","72.05",""
