"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"79","","Like a Dragon Gaiden: The Man Who Erased His Name","158222100","5569920","68897","574","9743","3667","129","28.41",""
"80","","Phasmophobia","156681300","13629360","28024","2188","50171","3631","315","11.5",""
"81","","SMITE","151838100","6314100","24106","303","11879","3519","146","24.05",""
"82","","Among Us","146583900","3703620","98218","250","27430","3397","85","39.58",""
"83","","Super Smash Bros. Ultimate","144530280","3502800","69625","230","8126","3350","81","41.26",""
"84","","Pokémon Scarlet/Violet","143299740","6262380","38277","266","9587","3321","145","22.88",""
"85","","Heroes of Might and Magic III: The Restoration of Erathia","141086040","1233360","14380","65","795","3270","28","114.39",""
"86","","Trackmania","138971340","1232640","74892","119","3467","3221","28","112.74",""
"87","","Super Mario World","135539040","1257060","26807","132","1864","3141","29","107.82",""
"88","","Project Zomboid","133828860","5697600","24680","218","11751","3102","132","23.49",""
"89","","THE FINALS","132123480","8084400","43301","1751","47061","3062","187","16.34",""
"90","","Always On","131742240","5507400","5766","156","450","3053","127","23.92",""
"91","","StarCraft II","131171580","2043420","26677","85","2826","3040","47","64.19",""
"92","","World of Warships","124373760","2802420","17313","131","3453","2883","64","44.38",""
"93","","New World","123582900","5786400","9471","307","6819","2864","134","21.36",""
"94","","RimWorld","122586360","1806660","16832","93","2537","2841","41","67.85",""
"95","","Madden NFL 24","116623620","30856080","57209","2040","84918","2703","715","3.78",""
"96","","Cyberpunk 2077","116273580","10276020","23798","440","23515","2695","238","11.32",""
"97","","Clash Royale","116224980","1737840","58996","98","16291","2694","40","66.88",""
"98","","Party Animals","113884080","3817020","45675","318","21085","2639","88","29.84",""
"99","","Crypto","113798640","2763240","6543","100","1132","2637","64","41.18",""
"100","","Animals, Aquariums, and Zoos","111999720","9130920","6873","257","939","2596","211","12.27",""
