"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14767404060","182522940","812856","8033","435818","342313","4230","80.91",""
"2","","League of Legends","4719517380","72771900","424241","2592","111735","109400","1686","64.85",""
"3","","Grand Theft Auto V","4652575560","111345060","227412","4574","186754","107848","2581","41.79",""
"4","","Counter-Strike","3747752940","69905160","839818","3543","144108","86874","1620","53.61",""
"5","","VALORANT","3499226580","125361900","272825","4322","229433","81113","2905","27.91",""
"6","","Fortnite","2932092480","224454900","346983","9144","680775","67966","5202","13.06",""
"7","","Call of Duty: Warzone","2840725800","146202300","355202","11227","309183","65848","3389","19.43",""
"8","","Dota 2","2377919820","39426480","321073","1873","50656","55120","913","60.31",""
"9","","Minecraft","1667801940","108641820","139277","4505","362950","38660","2518","15.35",""
"10","","Marvel Rivals","1617407820","91175460","173221","7288","202539","37492","2113","17.74",""
"11","","IRL","1463801100","15488280","241151","567","37026","33931","359","94.51",""
"12","","Schedule I","1445742960","52479420","225134","3441","137981","33512","1216","27.55",""
"13","","World of Warcraft","1351000560","43527300","127749","2832","43319","31316","1008","31.04",""
"14","","Teamfight Tactics","1270220640","15389580","72157","912","27282","29444","356","82.54",""
"15","","Path of Exile 2","1245771240","21465720","367691","3294","21753","28877","497","58.04",""
"16","","Overwatch 2","1095693480","42061560","107002","2948","90481","25398","975","26.05",""
"17","","Kings League","1094699880","523980","379798","93","987","25375","12","2089.2",""
"18","","Dead by Daylight","1088414640","65808780","83124","3178","105564","25229","1525","16.54",""
"19","","The Elder Scrolls IV: Oblivion Remastered","980090760","25977720","462703","5288","78248","22718","602","37.73",""
"20","","Apex Legends","939467880","67736820","71522","2734","127626","21777","1570","13.87",""
"21","","Special Events","930358920","4506960","553905","3865","11783","21566","104","206.43",""
"22","","EA Sports FC 25","887752080","31986000","165371","2428","112867","20578","741","27.75",""
