"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14036216760","180376080","712993","6263","445590","325364","4181","77.82",""
"2","","Grand Theft Auto V","6587383680","114112740","314791","4695","205932","152697","2645","57.73",""
"3","","League of Legends","5064375600","123132600","632419","4231","187818","117393","2854","41.13",""
"4","","VALORANT","3722737980","188798940","176516","6350","327869","86294","4376","19.72",""
"5","","Counter-Strike","2699659620","42196260","509583","4016","147814","62579","978","63.98",""
"6","","Minecraft","2393296680","91773840","352725","4173","261014","55477","2127","26.08",""
"7","","Dota 2","2365335840","44316120","285964","1995","55189","54829","1027","53.37",""
"8","","World of Warcraft","2318915940","54959580","162785","2802","52721","53753","1273","42.19",""
"9","","Fortnite","2166743700","245994900","235368","10844","773428","50225","5702","8.81",""
"10","","EA Sports FC 24","2078411280","28581060","384755","6283","97517","48178","662","72.72",""
"11","","Apex Legends","2053390800","138959400","463109","4746","259312","47598","3221","14.78",""
"12","","Starfield","2032274400","100006620","440223","10066","174233","47108","2318","20.32",""
"13","","Lost Ark","1507446600","12057180","191367","730","8114","34943","279","125.02",""
"14","","Counter-Strike 2 Limited Test","1466623920","28315620","208933","1842","62991","33996","656","51.8",""
"15","","Escape from Tarkov","1414675800","39693420","67251","1493","32565","32792","920","35.64",""
"16","","Sports","1298117580","5870580","296058","408","13725","30090","136","221.12",""
"17","","Call of Duty: Warzone","1249586460","58588440","282124","2469","90081","28965","1358","21.33",""
"18","","Casino Jackpot","1223573580","3130380","54433","140","1940","28362","72","390.87",""
"19","","Lies of P","1185825600","33274080","231815","3481","71615","27487","771","35.64",""
"20","","Teamfight Tactics","1112289840","15092700","63873","801","35292","25783","349","73.7",""
"21","","Overwatch 2","930837000","60481620","54070","2386","149208","21577","1401","15.39",""
"22","","Street Fighter 6","924981420","9615060","269175","521","21109","21441","222","96.2",""
"23","","Slots","908533920","4923420","48427","212","5512","21060","114","184.53",""
"24","","Tom Clancy's Rainbow Six Siege","905579700","63200340","84569","2879","218994","20991","1465","14.33",""
"25","","Special Events","865346640","3038820","1353841","1901","9524","20059","70","284.76",""
"26","","Music","854411940","50750160","74638","1816","52926","19805","1176","16.84",""
"27","","NBA 2K24","788887740","72121800","195102","8328","132522","18286","1671","10.94",""
"28","","Cyberpunk 2077","788413140","21081540","203746","3163","46815","18275","488","37.4",""
"29","","Dead by Daylight","785979360","58901700","50817","2284","104037","18219","1365","13.34",""
"30","","Rust","725880900","14150820","108823","936","25436","16826","328","51.3",""
"31","","Hearthstone","711840180","5808720","41408","227","9418","16500","134","122.55",""
"32","","Dark and Darker","682068060","11578380","42269","564","11956","15810","268","58.91",""
"33","","Party Animals","645975060","9110220","325006","1606","43982","14973","211","70.91",""
"34","","Virtual Casino","638707140","1974480","34592","104","1664","14805","45","323.48",""
"35","","Honkai: Star Rail","624782580","162669600","85973","19159","156026","14482","3770","3.84",""
"36","","Baldur's Gate 3","566450040","46817460","39423","2581","68480","13130","1085","12.1",""
"37","","Path of Exile","556819500","11674860","36036","546","9486","12907","270","47.69",""
"38","","Genshin Impact","541784880","51267420","274725","7442","93354","12558","1188","10.57",""
"39","","ASMR","541134180","5641260","39723","176","4124","12543","130","95.92",""
"40","","Mortal Kombat 1","538161000","19082520","150301","3361","58975","12474","442","28.2",""
"41","","The Texas Chain Saw Massacre","529126380","23684400","77056","1794","72995","12265","549","22.34",""
"42","","Destiny 2","511972200","37282800","284171","11191","66817","11867","864","13.73",""
"43","","Eternal Return","500367780","5255700","49476","256","6076","11598","121","95.2",""
"44","","PUBG: BATTLEGROUNDS","493445760","24633300","150841","998","38453","11438","571","20.03",""
"45","","Art","464866560","26963280","23846","943","46861","10775","625","17.24",""
"46","","Black Desert","445802700","9383280","22760","320","8615","10333","217","47.51",""
"47","","Travel & Outdoors","430416480","5484540","59876","173","5174","9977","127","78.48",""
"48","","I'm Only Sleeping","415196880","9463860","95745","470","6697","9624","219","43.87",""
"49","","Call of Duty: Modern Warfare II","394833660","145821900","68310","6630","362815","9152","3380","2.71",""
"50","","World of Tanks","379525680","6950580","49132","330","9796","8797","161","54.6",""
"51","","Rocket League","338520420","38325060","48507","1626","173565","7847","888","8.83",""
"52","","FIFA 23","331786200","22787160","74484","1605","112275","7690","528","14.56",""
"53","","Albion Online","319747320","4774200","15073","166","3901","7411","110","66.97",""
"54","","Chess","311082420","2988840","64158","146","7831","7210","69","104.08",""
"55","","Project Zomboid","287572800","4823460","69576","184","9729","6666","111","59.62",""
"56","","Old School RuneScape","284628660","5968020","37360","246","6003","6597","138","47.69",""
"57","","Talk Shows & Podcasts","275938560","10391640","123636","553","14268","6396","240","26.55",""
"58","","Retro","266416080","10084080","16727","392","11062","6175","233","26.42",""
"59","","PAYDAY 3","261050520","10715880","89892","2691","50586","6051","248","24.36",""
"60","","Poker","260474820","3650280","51271","234","3812","6037","84","71.36",""
"61","","Pokémon Scarlet/Violet","254700840","12508380","42658","1749","19631","5904","289","20.36",""
"62","","Madden NFL 24","223075440","35411100","107012","2608","91962","5170","820","6.3",""
"63","","ROBLOX","218382960","28626960","90484","1453","178449","5062","663","7.63",""
"64","","Pools, Hot Tubs, and Beaches","213209820","3011220","22253","93","2641","4942","69","70.81",""
"65","","Phasmophobia","212848380","17521980","15663","934","56494","4933","406","12.15",""
"66","","DayZ","210482700","10996560","13034","492","21246","4879","254","19.14",""
"67","","Tibia","195261000","9477660","9010","431","5708","4526","219","20.6",""
"68","","Resident Evil 4","193714560","12603000","79536","1871","37099","4490","292","15.37",""
"69","","Sea of Thieves","191391300","10131600","50127","933","25408","4436","234","18.89",""
"70","","Magic: The Gathering","188971380","3246960","29578","181","5803","4380","75","58.2",""
"71","","ELDEN RING","182973420","13170060","17768","552","32948","4241","305","13.89",""
"72","","SMITE","178211100","6849240","11867","334","13088","4130","158","26.02",""
"73","","FINAL FANTASY XIV ONLINE","174039360","14988600","14221","897","19349","4034","347","11.61",""
"74","","Lineage II","173728080","3653100","8207","175","2057","4027","84","47.56",""
"75","","MapleStory","166898280","4560480","54631","220","3917","3868","105","36.6",""
"76","","Fall Guys","165427080","9465000","55405","483","63116","3834","219","17.48",""
"77","","Anime World","162798840","3588960","7029","136","2541","3773","83","45.36",""
"78","","Games + Demos","160285260","19997880","46569","800","94247","3715","463","8.02",""
"79","","Tabletop RPGs","157741260","1188780","216664","110","2496","3656","27","132.69",""
"80","","Red Dead Redemption 2","156952860","15461160","20259","687","37857","3638","358","10.15",""
"81","","VRChat","146970540","4743240","20178","293","9902","3406","109","30.99",""
"82","","Among Us","145369320","3795300","176698","266","28275","3369","87","38.3",""
"83","","Marvel Snap","138180180","2081700","22668","133","5431","3203","48","66.38",""
"84","","Super Smash Bros. Ultimate","130633500","3998400","45131","233","8800","3028","92","32.67",""
"85","","Trackmania","129470280","1345200","66589","129","4092","3001","31","96.25",""
"86","","Halo Infinite","126930660","5552640","79053","350","16794","2942","128","22.86",""
"87","","Hunt: Showdown","124933500","8186520","16172","435","11319","2896","189","15.26",""
