"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"88","","Armored Core VI: Fires of Rubicon","121503300","10022940","18776","811","19138","2816","232","12.12",""
"89","","Pokémon HeartGold/SoulSilver","116115300","892980","28592","55","1914","2691","20","130.03",""
"90","","Super Mario 64","115589520","1548600","13809","75","2974","2679","35","74.64",""
"91","","New World","112923180","4095120","9481","214","5411","2617","94","27.58",""
"92","","Suika Game","109129080","629880","45157","121","2481","2529","14","173.25",""
"93","","StarCraft II","107993880","2023680","11959","83","2843","2503","46","53.37",""
"94","","Food & Drink","107728500","1411380","55483","72","3823","2497","32","76.33",""
"95","","F-Zero 99","107723880","1061580","38766","204","5183","2497","24","101.48",""
"96","","7 Days to Die","104148840","7167900","15325","311","12290","2414","166","14.53",""
"97","","World of Warships","101241540","2601360","11839","129","3667","2346","60","38.92",""
"98","","The Sims 4","100372140","4945680","25169","226","15660","2326","114","20.29",""
"99","","Heroes of Might and Magic III: The Restoration of Erathia","100113660","1182900","12866","66","722","2320","27","84.63",""
"100","","The First Descendant","99422580","6763980","38098","1477","26337","2304","156","14.7",""
