"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"34","","Art","440390880","27222180","28278","1232","47007","10208","631","16.18",""
"35","","IRL","422926440","6256140","64019","296","6782","9803","145","67.6",""
"36","","HELLDIVERS 2","421906800","35550600","54882","2028","99021","9779","824","11.87",""
"37","","Genshin Impact","414106380","37293960","195857","5178","72544","9599","864","11.1",""
"38","","World of Tanks","382575000","6551820","49909","338","9028","8868","151","58.39",""
"39","","Gray Zone Warfare","373055280","1766400","175229","1707","6161","8647","40","211.2",""
"40","","Red Dead Redemption 2","360985920","18126120","137624","759","45253","8367","420","19.92",""
"41","","Stardew Valley","360195840","17647740","51950","807","39259","8349","409","20.41",""
"42","","Rocket League","352223640","35354640","116501","1416","155064","8164","819","9.96",""
"43","","Honkai: Star Rail","346981740","24744480","99345","2343","38304","8043","573","14.02",""
"44","","Supermarket Simulator","334583460","8476980","82448","447","34719","7755","196","39.47",""
"45","","Black Desert","331472040","8458080","19497","442","6643","7683","196","39.19",""
"46","","Chess","325127160","2612340","129792","133","6327","7536","60","124.46",""
"47","","Albion Online","325109640","5934120","35469","497","5549","7536","137","54.79",""
"48","","Manor Lords","322524540","3969480","66629","1447","12099","7476","92","81.25",""
"49","","Retro","311957040","11903520","20529","431","11706","7231","275","26.21",""
"50","","I'm Only Sleeping","308456640","8798400","51500","432","5658","7150","203","35.06",""
"51","","Talk Shows & Podcasts","300821460","11514660","66870","656","13695","6973","266","26.13",""
"52","","Stellar Blade","294512400","6690480","99422","1433","14822","6826","155","44.02",""
"53","","TEKKEN 8","287757120","8760720","67527","442","19351","6670","203","32.85",""
"54","","Brawl Stars","284696940","8595240","77154","560","74482","6599","199","33.12",""
"55","","DayZ","273174000","12157740","49169","536","22471","6332","281","22.47",""
"56","","No Rest for the Wicked","267780000","2997420","177359","887","6783","6207","69","89.34",""
"57","","Rise Online","263778900","2085600","17301","140","907","6114","48","126.48",""
"58","","ROBLOX","262897020","40177980","80049","1829","225787","6094","931","6.54",""
"59","","Fallout 4","259435920","21153780","35593","1903","64970","6013","490","12.26",""
"60","","Old School RuneScape","255465900","6468660","13970","247","6638","5921","149","39.49",""
"61","","FINAL FANTASY XIV ONLINE","253812420","19724040","40655","1017","24752","5883","457","12.87",""
"62","","Always On","248527560","9556200","13112","464","701","5760","221","26.01",""
"63","","Tibia","248459340","8250360","15545","387","5288","5759","191","30.11",""
"64","","Lost Ark","244178820","7038960","31556","526","4707","5660","163","34.69",""
"65","","Lethal Company","236755860","11597820","69933","836","53565","5488","268","20.41",""
"66","","NBA 2K24","223776720","42194040","105891","2071","107970","5187","978","5.3",""
"67","","Sea of Thieves","214360620","13902240","36235","1530","34869","4968","322","15.42",""
"68","","SMITE","211967400","6835260","37701","307","12784","4913","158","31.01",""
"69","","Animals, Aquariums, and Zoos","209536680","12241440","14201","625","1217","4857","283","17.12",""
"70","","Pools, Hot Tubs, and Beaches","206602020","2776980","62602","132","2938","4789","64","74.4",""
"71","","Anime Squad","205270200","5621460","8270","258","1884","4758","130","36.52",""
"72","","Fallout 76","204706920","15298800","36632","1076","39712","4745","354","13.38",""
"73","","RimWorld","200466480","3743460","26725","269","4653","4646","86","53.55",""
"74","","Dark and Darker","188066400","4247220","13730","212","4236","4359","98","44.28",""
"75","","Games + Demos","185256960","21388680","91263","923","99137","4294","495","8.66",""
"76","","Call of Duty","175731420","118781640","14008","7488","302358","4073","2753","1.48",""
"77","","Software and Game Development","174776460","5889780","27153","317","8652","4051","136","29.67",""
"78","","Metin2","172249680","1847160","19518","106","1939","3992","42","93.25",""
"79","","Marvel Snap","171393120","1478460","30581","119","2685","3972","34","115.93",""
"80","","Garry's Mod","170856240","1491900","62918","116","4217","3960","34","114.52",""
"81","","Among Us","169960920","3379440","67759","231","23889","3939","78","50.29",""
"82","","Magic: The Gathering","169747140","3146340","28547","192","5253","3934","72","53.95",""
"83","","Dragon's Dogma II","160471140","16128600","25509","1339","27004","3719","373","9.95",""
"84","","Hunt: Showdown 1896","159847200","10075920","14226","475","12866","3705","233","15.86",""
"85","","The Simpsons: Hit & Run","150779160","1192920","6499","49","822","3495","27","126.4",""
"86","","VRChat","148782600","4455360","17217","273","10072","3448","103","33.39",""
"87","","Poker","147451740","2960880","16029","195","3409","3417","68","49.8",""
"88","","Warframe","146209800","11414280","64486","463","20819","3389","264","12.81",""
"89","","Backpack Battles","145158240","1142880","70297","72","2593","3364","26","127.01",""
"90","","Pokémon Scarlet/Violet","140145780","5222760","101103","215","7709","3248","121","26.83",""
"91","","Once Human","136328220","5851440","49320","644","7521","3160","135","23.3",""
"92","","ARK: Survival Ascended","131825340","8487720","14703","461","16308","3055","196","15.53",""
"93","","Baldur's Gate 3","128811240","13013880","18484","601","26055","2985","301","9.9",""
"94","","FINAL FANTASY VII REBIRTH","128014920","12884160","18384","724","15884","2967","298","9.94",""
"95","","Pokémon FireRed/LeafGreen","127535280","1446840","13254","75","2948","2956","33","88.15",""
"96","","MLB The Show 24","123660840","8047800","10623","531","18730","2866","186","15.37",""
"97","","Food & Drink","122661060","1413480","75532","69","3308","2843","32","86.78",""
"98","","Monster Hunter: World","121539120","8653800","25219","641","14933","2817","200","14.04",""
"99","","Balatro","119144220","2003520","29583","101","7247","2761","46","59.47",""
"100","","Super Mario 64","114309120","1528020","46375","90","3287","2649","35","74.81",""
