"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14386974780","187372800","1617134","7304","446103","333495","4343","76.78",""
"2","","Grand Theft Auto V","7746533160","124273200","647468","5050","204928","179567","2880","62.33",""
"3","","League of Legends","5736765420","103444980","712950","3969","160924","132980","2397","55.46",""
"4","","VALORANT","5143804860","186136500","864444","9001","324038","119235","4314","27.63",""
"5","","Counter-Strike","3235816860","55434420","274152","2562","132652","75007","1284","58.37",""
"6","","Fortnite","2853612720","319994880","269139","14563","924545","66147","7417","8.92",""
"7","","Dota 2","2801405580","49403280","457902","2549","59666","64937","1145","56.7",""
"8","","Call of Duty: Warzone","2111628000","182079360","208537","10303","372829","48948","4220","11.6",""
"9","","Rust","1656008940","14517960","430910","969","25957","38386","336","114.07",""
"10","","Tom Clancy's Rainbow Six Siege","1469016300","88892520","416225","4719","279450","34052","2060","16.53",""
"11","","Apex Legends","1368845100","115122420","95754","5964","202418","31730","2668","11.89",""
"12","","Overwatch 2","1347492300","68661060","120256","3657","155016","31235","1591","19.63",""
"13","","EA Sports FC 24","1339860360","42222360","210699","2989","139982","31058","978","31.73",""
"14","","World of Warcraft","1246829220","37649220","108696","2716","41504","28901","872","33.12",""
"15","","Minecraft","1230688620","78402600","281709","3293","260745","28527","1817","15.7",""
"16","","Sports","1180232760","8198760","291527","611","15625","27358","190","143.95",""
"17","","Teamfight Tactics","1119036120","14731200","93256","663","31782","25939","341","75.96",""
"18","","Dead by Daylight","1006115700","67624740","47832","2773","106295","23322","1567","14.88",""
"19","","Slots","881923020","4265820","51734","175","5353","20443","98","206.74",""
"20","","Path of Exile","850103220","13420560","98012","840","10256","19705","311","63.34",""
"21","","Virtual Casino","812944200","1779480","72012","83","1504","18844","41","456.84",""
"22","","Hearthstone","789889980","6711120","67519","514","10477","18309","155","117.7",""
"23","","Special Events","789056340","3439800","254795","336","6729","18290","79","229.39",""
"24","","Music","785496060","37054560","78450","1478","46508","18208","858","21.2",""
"25","","Escape from Tarkov","722387640","26593080","69453","1054","24146","16745","616","27.16",""
"26","","Street Fighter 6","642483780","8061840","145547","672","15311","14892","186","79.69",""
"27","","Casino","635689800","2416200","50741","141","2171","14735","56","263.09",""
"28","","PUBG: BATTLEGROUNDS","625456740","29449620","90057","1281","49945","14498","682","21.24",""
"29","","ASMR","527201100","7668780","41680","319","3502","12220","177","68.75",""
"30","","Content Warning","512918760","16204620","160231","2101","96949","11889","375","31.65",""
"31","","ELDEN RING","504848160","26360580","37331","1019","55475","11702","611","19.15",""
"32","","Call of Duty: Modern Warfare III","504135480","44264160","82723","2613","78285","11686","1026","11.39",""
"33","","Destiny 2","471999960","30710040","215004","3064","54307","10941","711","15.37",""
