"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"75","","Red Dead Redemption 2","166937880","17651640","23287","705","47775","3744","395","9.46",""
"76","","Software and Game Development","160507980","5888880","24778","255","8313","3600","132","27.26",""
"77","","NBA 2K24","149965560","34346940","16649","1883","102714","3363","770","4.37",""
"78","","Throne and Liberty","148821120","3574380","85485","1514","10087","3338","80","41.64",""
"79","","Magic: The Gathering","148099980","2935920","16080","204","5589","3322","65","50.44",""
"80","","Call of Duty","142465320","100313700","11356","3928","275993","3195","2250","1.42",""
"81","","Casino Simulator","137442840","603120","23309","33","3347","3083","13","227.89",""
"82","","Among Us","135189840","4479420","66440","254","36549","3032","100","30.18",""
"83","","Phasmophobia","131575440","10111020","170397","459","39812","2951","226","13.01",""
"84","","Baldur's Gate 3","124118760","11053080","82325","485","22913","2784","247","11.23",""
"85","","Honkai: Star Rail","124117740","5834400","65803","712","18487","2784","130","21.27",""
"86","","Pools, Hot Tubs, and Beaches","123759840","2423220","19501","126","2817","2776","54","51.07",""
"87","","The Sims 4","116050680","5409720","18249","352","16799","2603","121","21.45",""
"88","","Heroes of Might and Magic III: The Restoration of Erathia","115995120","1144920","9161","59","767","2601","25","101.31",""
"89","","Wuthering Waves","115547760","7093020","31969","566","19566","2591","159","16.29",""
"90","","Poker","110736780","2485320","20774","154","2910","2484","55","44.56",""
"91","","Pokémon Scarlet/Violet","110270820","4862760","48729","186","6929","2473","109","22.68",""
"92","","SMITE","103790820","5189880","5344","230","9309","2328","116","20",""
"93","","The Simpsons: Hit & Run","103013580","920100","9080","40","718","2310","20","111.96",""
"94","","Lethal Company","100505580","6681660","52065","409","32626","2254","149","15.04",""
"95","","ARK: Survival Ascended","100392240","4393200","42662","211","7831","2251","98","22.85",""
"96","","Marbles on Stream","100026240","2940480","11429","121","5143","2243","65","34.02",""
"97","","Halo Infinite","99306000","4208280","66933","266","11991","2227","94","23.6",""
"98","","Rise Online","98413140","720120","12403","46","356","2207","16","136.66",""
"99","","Terraria","95378940","4692000","37121","189","14698","2139","105","20.33",""
"100","","Fall Guys","94159260","5897100","54575","264","41467","2112","132","15.97",""
