"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16043660340","182578920","948812","5739","446036","359884","4095","87.87",""
"2","","Grand Theft Auto V","6083074140","128990700","342211","4561","234384","136452","2893","47.16",""
"3","","League of Legends","5400666000","96892260","510978","3849","145951","121145","2173","55.74",""
"4","","VALORANT","4992252720","198145080","345752","6083","394943","111984","4444","25.19",""
"5","","Dota 2","2868471300","44418480","349335","1822","57753","64344","996","64.58",""
"6","","ELDEN RING","2557086360","144836280","188276","7712","255623","57359","3248","17.66",""
"7","","Counter-Strike","2423597100","47183220","607518","2031","110517","54365","1058","51.37",""
"8","","Fortnite","2416185240","280990680","404529","10975","830354","54198","6303","8.6",""
"9","","Special Events","2263868160","3954840","3915488","508","7091","50782","88","572.43",""
"10","","Minecraft","1617290220","117744120","207747","4354","392700","36278","2641","13.74",""
"11","","Call of Duty: Warzone","1589769060","141394080","107709","6393","327398","35661","3171","11.24",""
"12","","IRL","1202639280","11929440","197764","557","30231","26977","267","100.81",""
"13","","Apex Legends","1198427160","97551780","124764","3561","180422","26882","2188","12.29",""
"14","","World of Warcraft","1183276200","29532960","105398","1583","33543","26542","662","40.07",""
"15","","Virtual Casino","1130885520","2276340","89660","108","2241","25367","51","496.8",""
"16","","The First Descendant","1114123020","89585400","162123","6017","156965","24991","2009","12.44",""
"17","","Dead by Daylight","1075669380","75767880","83340","5003","124286","24128","1699","14.2",""
"18","","Once Human","1038082020","43561920","183782","2612","69658","23285","977","23.83",""
"19","","EA Sports FC 24","1036022100","46060020","166831","2331","181054","23239","1033","22.49",""
"20","","Rust","1010880060","15293580","238297","880","28171","22675","343","66.1",""
"21","","Overwatch 2","958659540","57374760","119341","2632","137440","21504","1287","16.71",""
"22","","Tom Clancy's Rainbow Six Siege","895656660","73485000","150644","3092","242436","20090","1648","12.19",""
"23","","FINAL FANTASY XIV ONLINE","868078980","38110500","108942","2932","36532","19472","854","22.78",""
"24","","Path of Exile","838746660","9421260","306066","3191","10381","18814","211","89.03",""
"25","","Sports","778163880","6338640","214789","603","12435","17455","142","122.77",""
"26","","Chained Together","748890420","14123160","226178","806","79815","16798","316","53.03",""
"27","","Music","743064240","32764800","68318","1288","43372","16668","734","22.68",""
"28","","Dark and Darker","676277940","12145080","57820","438","19024","15169","272","55.68",""
"29","","Street Fighter 6","647103540","9692760","276394","502","20112","14515","217","66.76",""
"30","","Hearthstone","642834180","6125760","45038","384","8924","14419","137","104.94",""
"31","","Zenless Zone Zero","584844300","28019760","119438","5027","64773","13118","628","20.87",""
"32","","Slots","544741620","3885840","41371","169","5277","12219","87","140.19",""
"33","","Escape from Tarkov","537953220","19461120","26046","716","19537","12067","436","27.64",""
"34","","EA Sports College Football 25","536373240","67569060","194953","11766","196628","12031","1515","7.94",""
"35","","ASMR","535987740","6842820","29503","227","3331","12023","153","78.33",""
"36","","7 Days to Die","503988000","15243780","270575","826","23596","11305","341","33.06",""
"37","","Teamfight Tactics","456650880","7457640","158746","832","18883","10243","167","61.23",""
"38","","PUBG: BATTLEGROUNDS","451435860","26351520","38327","1087","44026","10126","591","17.13",""
"39","","Art","444050100","27509640","16405","937","46503","9960","617","16.14",""
"40","","Hunt: Showdown 1896","427802880","10098240","81615","656","11924","9596","226","42.36",""
"41","","ROBLOX","386402520","61586400","166344","2291","339234","8667","1381","6.27",""
"42","","Anime Squad","375002460","5763780","17075","198","2405","8411","129","65.06",""
"43","","DayZ","354779940","12051960","35359","483","22849","7958","270","29.44",""
"44","","Marvel Rivals","354307320","7158480","107970","2199","20773","7947","160","49.49",""
"45","","World of Tanks","349713900","5706720","39679","265","7857","7844","128","61.28",""
"46","","Black Desert","334009980","7711620","20497","373","5910","7492","172","43.31",""
"47","","Retro","321483060","11389140","21947","388","11421","7211","255","28.23",""
"48","","Destiny 2","317675640","24470520","97564","1233","46306","7125","548","12.98",""
"49","","Dungeonborne","313842120","5216880","88713","384","12102","7039","117","60.16",""
"50","","Albion Online","302227740","5367120","19072","194","4415","6779","120","56.31",""
"51","","I'm Only Sleeping","301139580","9675300","41426","563","6147","6755","217","31.12",""
"52","","Old School RuneScape","300702300","6812160","84720","292","6980","6745","152","44.14",""
"53","","Animals, Aquariums, and Zoos","293310600","11549460","15409","427","1040","6579","259","25.4",""
"54","","Genshin Impact","287289420","32755560","141593","2769","54001","6444","734","8.77",""
"55","","Games + Demos","274863060","21593400","82090","866","99807","6165","484","12.73",""
"56","","Tibia","264441540","9489720","13109","402","5410","5931","212","27.87",""
"57","","Talk Shows & Podcasts","248103780","11137080","57806","529","12592","5565","249","22.28",""
"58","","Rocket League","246476040","33194940","41855","1255","156153","5528","744","7.43",""
"59","","Lost Ark","245459880","5069160","17965","274","3213","5506","113","48.42",""
"60","","Pawafuru Puroyakyu 2024-2025","237628980","751080","74712","147","956","5330","16","316.38",""
"61","","Call of Duty: Modern Warfare III","232828800","29282580","26650","1610","57323","5222","656","7.95",""
"62","","XDefiant","224392200","14563260","33211","1097","51028","5033","326","15.41",""
"63","","Sea of Thieves","222379860","14557560","35311","913","36354","4988","326","15.28",""
"64","","STALCRAFT: X","218287440","2372700","43619","181","3328","4896","53","92",""
"65","","Marvel Snap","202217460","1621200","35751","115","2704","4536","36","124.73",""
"66","","TEKKEN 8","199652340","6040560","181421","338","14188","4478","135","33.05",""
"67","","Chess","195308520","2521560","29641","137","6128","4381","56","77.46",""
"68","","Warframe","192596340","8674800","467504","684","19830","4320","194","22.2",""
"69","","Always On","188545860","7518660","8922","278","590","4229","168","25.08",""
"70","","No Man's Sky","185814300","4689420","44577","407","11939","4168","105","39.62",""
"71","","VRChat","178743420","4548480","97510","319","10972","4009","102","39.3",""
"72","","MapleStory","173392860","3212880","14705","151","2381","3889","72","53.97",""
"73","","Brawl Stars","169254120","7811280","57574","341","65671","3796","175","21.67",""
"74","","Last Epoch","168211920","3473340","80817","893","4162","3773","77","48.43",""
