"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15839535780","187998840","768731","5949","484065","355305","4217","84.25",""
"2","","Grand Theft Auto V","6242030160","129069480","321279","5047","261648","140018","2895","48.36",""
"3","","VALORANT","6153088320","216036420","1020303","7090","371931","138023","4846","28.48",""
"4","","League of Legends","5652797340","126897120","468659","4051","195382","126801","2846","44.55",""
"5","","Counter-Strike: Global Offensive","3774589440","58420980","579113","2401","141246","84670","1310","64.61",""
"6","","Baldur's Gate 3","2765846460","77498400","480983","5192","87219","62042","1738","35.69",""
"7","","Fortnite","2642144400","291659220","211195","14068","906363","59267","6542","9.06",""
"8","","Minecraft","2631797220","109410420","405622","3944","344489","59035","2454","24.05",""
"9","","Escape from Tarkov","2442621540","55049220","221213","4787","45892","54791","1234","44.37",""
"10","","Dota 2","2202987840","48063480","199817","2049","59771","49416","1078","45.83",""
"11","","Apex Legends","2074622940","162986160","199929","8239","311386","46537","3656","12.73",""
"12","","World of Warcraft","1680123420","43943340","179973","3159","48226","37687","985","38.23",""
"13","","Teamfight Tactics","1641989640","16240800","102933","613","36110","36832","364","101.1",""
"14","","Call of Duty: Warzone","1511167500","64744020","276868","3671","103709","33897","1452","23.34",""
"15","","Dark and Darker","1272728280","15103980","134510","1239","16201","28549","338","84.26",""
"16","","Overwatch 2","1202872200","73058580","119127","4546","181563","26982","1638","16.46",""
"17","","Slots","1031313480","5025120","62372","218","5865","23133","112","205.23",""
"18","","Dead by Daylight","1010543640","74648580","100997","3252","130877","22668","1674","13.54",""
"19","","FIFA 23","1006517880","41102580","110673","2286","166836","22577","921","24.49",""
"20","","The Texas Chain Saw Massacre","972896460","32839140","203722","4966","117096","21823","736","29.63",""
"21","","Rocket League","954782160","44841900","408512","1638","205839","21417","1005","21.29",""
"22","","Sports","913847400","5354880","230473","405","13195","20499","120","170.66",""
"23","","Casino Jackpot","895099740","2022120","60407","115","1333","20078","45","442.65",""
"24","","Music","879729480","58083480","71801","1910","52368","19733","1302","15.15",""
"25","","Path of Exile","865898160","13664820","174866","2833","12502","19423","306","63.37",""
"26","","Hearthstone","814224660","6460680","48548","408","10658","18264","144","126.03",""
"27","","Genshin Impact","771899460","64692540","347893","7183","89660","17314","1451","11.93",""
"28","","Street Fighter 6","764011680","12140640","307277","479","26725","17137","272","62.93",""
"29","","Tom Clancy's Rainbow Six Siege","681305340","63056820","92703","2836","230323","15282","1414","10.8",""
"30","","Special Events","570342480","3344460","1012807","2596","9765","12793","75","170.53",""
"31","","ASMR","549551760","5713320","22800","171","4515","12327","128","96.19",""
"32","","Black Desert","545895600","10483200","37778","415","8863","12245","235","52.07",""
"33","","World of Tanks","545388960","7781040","48799","372","10980","12233","174","70.09",""
"34","","PUBG: BATTLEGROUNDS","521019420","26421120","187245","1041","42875","11687","592","19.72",""
"35","","Call of Duty: Modern Warfare II","492110700","178259040","90898","11456","450116","11038","3998","2.76",""
"36","","Old School RuneScape","490903620","6379920","51085","257","6805","11011","143","76.95",""
"37","","Art","470041320","27373860","24987","916","47835","10543","614","17.17",""
"38","","Lost Ark","464366880","10689480","66734","559","6854","10416","239","43.44",""
"39","","Armored Core VI: Fires of Rubicon","456458100","12801120","159871","3260","25349","10239","287","35.66",""
"40","","Rust","445204440","16195380","36438","1131","30516","9986","363","27.49",""
"41","","Travel & Outdoors","436803420","5705040","149573","177","6159","9798","127","76.56",""
"42","","Chess","405114240","3384060","168327","164","9313","9087","75","119.71",""
"43","","I'm Only Sleeping","403741260","8608380","35545","321","6353","9056","193","46.9",""
"44","","Virtual Casino","382650120","1866780","28106","105","2168","8583","41","204.98",""
"45","","Albion Online","369108660","5094720","15732","173","4397","8279","114","72.45",""
"46","","Destiny 2","364264440","26216280","339962","2512","53808","8171","588","13.89",""
"47","","MapleStory","349006320","5625120","68796","259","4781","7828","126","62.04",""
"48","","Marvel Snap","344388840","2126520","245416","263","5941","7725","47","161.95",""
"49","","Eternal Return","335169300","4984980","35503","246","5824","7518","111","67.24",""
"50","","Diablo IV","296854380","26622000","48729","1437","48746","6658","597","11.15",""
"51","","Retro","295977720","10697520","13221","359","11358","6639","239","27.67",""
"52","","Red Dead Redemption 2","282551160","18000720","62805","736","45730","6338","403","15.7",""
"53","","Palia","277031040","13882260","76032","1036","28923","6214","311","19.96",""
"54","","Phasmophobia","276943500","20453460","53971","2343","68098","6212","458","13.54",""
"55","","Honkai: Star Rail","272164500","10039920","109591","1073","27391","6105","225","27.11",""
"56","","Madden NFL 24","266917860","30732540","50985","3195","84490","5987","689","8.69",""
"57","","ROBLOX","261934740","34325760","133189","1333","212181","5875","769","7.63",""
"58","","DayZ","251806620","12818100","51693","610","25914","5648","287","19.64",""
"59","","Hunt: Showdown","246987840","10789860","59348","637","15129","5540","242","22.89",""
"60","","Pools, Hot Tubs, and Beaches","244916340","3276060","32807","105","3492","5493","73","74.76",""
"61","","ELDEN RING","243025620","17948280","26616","680","42766","5451","402","13.54",""
"62","","Talk Shows & Podcasts","240856680","10348200","28480","515","14110","5402","232","23.28",""
"63","","Halo Infinite","240215760","6541680","64410","364","20175","5388","146","36.72",""
"64","","Remnant II","238835400","18460020","55328","1356","35685","5357","414","12.94",""
"65","","Poker","229637640","3780540","26503","226","4236","5151","84","60.74",""
"66","","FINAL FANTASY XIV ONLINE","218487900","17432520","20667","1131","23300","4901","391","12.53",""
"67","","Starfield","215645700","281340","552031","1666","2533","4837","6","766.49",""
"68","","Sea of Thieves","192707580","11463180","38959","629","29295","4322","257","16.81",""
"69","","Tibia","192517680","8722980","10388","384","5638","4318","195","22.07",""
"70","","7 Days to Die","190162860","10276680","41674","401","16429","4265","230","18.5",""
"71","","Fall Guys","185956860","11808000","120522","508","78648","4171","264","15.75",""
"72","","NBA 2K23","184244100","31687380","48089","1767","101617","4132","710","5.81",""
"73","","Trackmania","182480400","1580220","38701","119","4948","4093","35","115.48",""
"74","","BattleBit Remastered","182455140","4436580","108409","290","15542","4092","99","41.13",""
"75","","Super Smash Bros. Ultimate","180557340","4024200","75648","221","9055","4050","90","44.87",""
"76","","SMITE","179336820","7367520","12426","370","14120","4022","165","24.34",""
"77","","Games + Demos","177843120","20658180","51463","1064","99271","3989","463","8.61",""
"78","","Pokémon Scarlet/Violet","175368060","6566940","60964","418","10339","3933","147","26.7",""
"79","","Guild Wars 2","167572980","3396720","43697","493","4282","3758","76","49.33",""
"80","","Warframe","162464940","8543700","375549","609","17142","3644","191","19.02",""
"81","","Casino Slot Machine","162464940","603420","50421","120","633","3644","13","269.24",""
"82","","VRChat","161098980","4749300","19002","308","10791","3613","106","33.92",""
"83","","Magic: The Gathering","160932480","2965740","13945","175","5341","3609","66","54.26",""
"84","","Among Us","160433280","4246200","241496","262","32196","3598","95","37.78",""
"85","","The Casino: Roulette, Video Poker, Slot Machines, Craps, Baccarat","159425520","351060","49317","75","389","3576","7","454.13",""
"86","","ARK: Survival Evolved","158489760","11584200","32201","481","23944","3555","259","13.68",""
"87","","ANIME WORLD","153740940","3861300","8893","158","2762","3448","86","39.82",""
"88","","Lineage II","150851700","3383520","7520","173","1959","3383","75","44.58",""
"89","","Mario Kart 8 Deluxe","140387520","2939700","89383","198","11509","3149","65","47.76",""
"90","","Wayfinder","136316160","2776920","64643","457","5903","3057","62","49.09",""
"91","","StarCraft II","132553140","2078460","50406","96","3041","2973","46","63.77",""
"92","","NARAKA: BLADEPOINT","125270760","7889040","19699","315","19690","2810","176","15.88",""
"93","","Project Zomboid","119259600","5059920","30994","210","10748","2675","113","23.57",""
"94","","Heroes of Might and Magic III: The Restoration of Erathia","116019660","1162020","12705","65","761","2602","26","99.84",""
"95","","Animals, Aquariums, and Zoos","115756380","9573060","5377","257","1281","2596","214","12.09",""
"96","","Food & Drink","114386880","1445520","66452","68","3909","2565","32","79.13",""
"97","","The Legend of Zelda: Tears of the Kingdom","109278960","7809540","12551","379","12824","2451","175","13.99",""
"98","","The Sims 4","108198960","5856420","40180","279","18929","2427","131","18.48",""
"99","","Project F","107644740","281280","137795","386","2017","2414","6","382.7",""
"100","","World of Warships","107442720","2684820","11255","132","4039","2410","60","40.02",""
