"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15844288740","159273000","1096326","8310","471645","393549","3956","99.48",""
"2","","League of Legends","6773842680","120556740","621379","5544","206265","168252","2994","56.19",""
"3","","Grand Theft Auto V","5449254240","109221360","467866","5303","219688","135351","2712","49.89",""
"4","","VALORANT","5432535900","191904780","726751","9350","362540","134936","4766","28.31",""
"5","","Hogwarts Legacy","4553228100","214053360","1249796","29306","376515","113095","5316","21.27",""
"6","","Counter-Strike: Global Offensive","3280813320","48630060","586084","2348","119258","81490","1207","67.46",""
"7","","Apex Legends","2580196080","169255440","423131","8036","343344","64088","4204","15.24",""
"8","","Minecraft","2426704260","93482040","1702513","4820","341356","60275","2321","25.96",""
"9","","Fortnite","2268694740","208898280","234461","10117","702379","56351","5188","10.86",""
"10","","Dota 2","2261180280","33663780","322405","1998","47509","56164","836","67.17",""
"11","","Call of Duty: Warzone","1702958100","84382080","203619","6075","132388","42299","2095","20.18",""
"12","","Escape from Tarkov","1623562020","40741200","105113","1918","41623","40326","1011","39.85",""
"13","","World of Warcraft","1522339440","53715780","126916","3829","58427","37812","1334","28.34",""
"14","","Sports","1463873520","4962900","1424678","410","12521","36360","123","294.96",""
"15","","Overwatch 2","1366537500","77507520","128739","4347","204235","33942","1925","17.63",""
"16","","FIFA 23","1363692000","40386420","251294","2433","153997","33872","1003","33.77",""
"17","","Dark and Darker","1339764120","16826940","272197","2944","39593","33277","417","79.62",""
"18","","Sons of the Forest","1263263100","24575880","778126","7274","77778","31377","610","51.4",""
"19","","Call of Duty: Modern Warfare II","1256020920","190126500","316240","11884","458835","31197","4722","6.61",""
"20","","Tom Clancy's Rainbow Six Siege","1237072200","39198060","216741","1873","143977","30727","973","31.56",""
"21","","Virtual Casino","1101718260","4359300","86753","227","3805","27365","108","252.73",""
"22","","Dead by Daylight","963425580","60357240","91573","2640","104332","23930","1499","15.96",""
"23","","Music","782490060","40147800","100884","1721","54103","19435","997","19.49",""
"24","","Teamfight Tactics","738351660","9999480","48382","577","26171","18339","248","73.84",""
"25","","Lost Ark","697668840","13276680","112226","1034","10299","17329","329","52.55",""
"26","","Rocket League","677793900","44434080","144337","2234","221270","16835","1103","15.25",""
"27","","Hearthstone","672570120","5515800","39308","295","10174","16705","137","121.94",""
"28","","Slots","662029560","3870180","63883","192","4751","16443","96","171.06",""
"29","","Atomic Heart","613659900","17522400","279332","4291","66413","15242","435","35.02",""
"30","","ELDEN RING","573945840","27263220","111536","1338","67695","14255","677","21.05",""
"31","","I'm Only Sleeping","571438860","7523280","95331","375","6804","14193","186","75.96",""
"32","","Genshin Impact","558740280","39317700","348251","2468","89513","13878","976","14.21",""
"33","","ASMR","533899680","9999780","85961","433","4597","13261","248","53.39",""
"34","","Rust","532017720","15824520","48753","1218","31264","13214","393","33.62",""
"35","","Destiny 2","460575840","33892440","173158","13395","70876","11440","841","13.59",""
"36","","World of Tanks","458457060","7856220","51538","452","12767","11387","195","58.36",""
"37","","Special Events","438696300","2375340","781934","3602","9948","10896","59","184.69",""
"38","","Art","431466240","26083680","49542","1275","52272","10716","647","16.54",""
