"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"39","","Chess","429242580","3664680","84391","199","14966","10661","91","117.13",""
"40","","Hunt: Showdown","410708760","9177060","84200","610","14035","10201","227","44.75",""
"41","","DayZ","399172920","11782440","76676","608","23947","9914","292","33.88",""
"42","","PUBG: BATTLEGROUNDS","357843060","23736360","41096","1109","41233","8888","589","15.08",""
"43","","Old School RuneScape","355704720","6574500","21560","289","7486","8835","163","54.1",""
"44","","FINAL FANTASY XIV ONLINE","320009880","23481060","27986","1909","25710","7948","583","13.63",""
"45","","Poker","302410200","3885900","55674","271","4314","7511","96","77.82",""
"46","","HITMAN World of Assassination","280181040","2849760","88447","181","9077","6959","70","98.32",""
"47","","Wild Hearts","278256780","7971600","76574","845","15433","6911","198","34.91",""
"48","","Talk Shows & Podcasts","269307240","9083280","80696","493","15699","6689","225","29.65",""
"49","","Red Dead Redemption 2","259869480","16689000","22157","888","40679","6454","414","15.57",""
"50","","Dead Space","247992240","12530940","77877","1416","39242","6159","311","19.79",""
"51","","Albion Online","246574560","3207360","15370","159","3439","6124","79","76.88",""
"52","","Retro","239845440","9086760","16853","373","11939","5957","225","26.4",""
"53","","ROBLOX","237049920","27804780","110043","1457","164690","5887","690","8.53",""
"54","","SMITE","236278080","9059640","19741","493","17034","5868","225","26.08",""
"55","","Sea of Thieves","234633180","12320760","60195","1261","30864","5827","306","19.04",""
"56","","Pools, Hot Tubs, and Beaches","232571400","3148260","134319","237","7794","5776","78","73.87",""
"57","","Pokémon Scarlet/Violet","226062660","9470220","30906","617","18338","5615","235","23.87",""
"58","","Travel & Outdoors","217793280","4260420","92720","247","4422","5409","105","51.12",""
"59","","Path of Exile","217307940","4260900","28993","402","4939","5397","105","51",""
"60","","Diablo III","214411560","4719600","47190","1379","9056","5325","117","45.43",""
"61","","Project Zomboid","204559560","7028640","62052","328","17275","5080","174","29.1",""
"62","","Magic: The Gathering","203131140","3237540","38915","210","6267","5045","80","62.74",""
"63","","StarCraft II","191290080","2154300","57823","101","3584","4751","53","88.79",""
"64","","Tibia","187664280","7641240","10698","383","5653","4661","189","24.56",""
"65","","Fall Guys","177816480","8518620","84963","547","58590","4416","211","20.87",""
"66","","Like a Dragon: Ishin!","173590500","2863800","61259","359","5475","4311","71","60.62",""
"67","","Black Desert","164602260","6361560","13575","383","6965","4088","158","25.87",""
"68","","VRChat","163197060","4499700","25714","366","11329","4053","111","36.27",""
"69","","Valheim","162178020","6850800","20288","404","12624","4028","170","23.67",""
"70","","FIFA Online 4","161760480","686340","50187","68","1367","4017","17","235.69",""
"71","","NBA 2K23","156756420","32104620","93137","1778","94303","3893","797","4.88",""
"72","","Madden NFL 23","154129380","28914360","40929","1949","96310","3828","718","5.33",""
"73","","Street Fighter V","146478000","1982700","77867","145","4302","3638","49","73.88",""
"74","","Games + Demos","144166860","16761420","98651","782","86672","3580","416","8.6",""
"75","","MARVEL SNAP","142641120","2166480","21881","129","5567","3542","53","65.84",""
"76","","MapleStory","141445860","3243780","26751","270","3234","3513","80","43.61",""
"77","","Phasmophobia","140407740","10142100","53966","632","44522","3487","251","13.84",""
"78","","Super Smash Bros. Ultimate","130839180","4122420","45699","287","10124","3249","102","31.74",""
"79","","Halo Infinite","123950340","5057160","145307","346","18504","3078","125","24.51",""
"80","","Yu-Gi-Oh! Master Duel","123738360","4066260","16932","219","13486","3073","101","30.43",""
"81","","Clash Royale","123320940","1403760","28353","70","13210","3063","34","87.85",""
"82","","Heroes of Might and Magic III: The Restoration of Erathia","123201120","1248600","13259","79","816","3060","31","98.67",""
"83","","Among Us","119675640","3131220","64504","305","25095","2972","77","38.22",""
"84","","Age of Empires II","119512500","4004940","16296","280","11823","2968","99","29.84",""
"85","","Diablo II: Resurrected","110736540","4092540","25429","642","5282","2750","101","27.06",""
"86","","The Sims 4","105119520","5545080","67570","290","20869","2611","137","18.96",""
"87","","Tekken 7","104477100","2927700","74150","151","8053","2595","72","35.69",""
"88","","World of Warships","104244240","2809500","14851","156","4555","2589","69","37.1",""
"89","","The Binding of Isaac: Repentance","102847380","2134140","21578","124","6866","2554","53","48.19",""
"90","","Super Mario 64","97181580","1519980","35763","89","3574","2413","37","63.94",""
"91","","Food & Drink","90156240","1425900","41772","76","4763","2239","35","63.23",""
"92","","iRacing","90075960","4000140","17468","839","6651","2237","99","22.52",""
"93","","Trackmania","89972760","959100","41512","79","2859","2234","23","93.81",""
"94","","Animals, Aquariums, and Zoos","89159280","7998480","7078","416","1107","2214","198","11.15",""
"95","","No Man's Sky","85704360","2300760","27779","233","6562","2128","57","37.25",""
"96","","7 Days to Die","85355220","6260700","37281","308","12894","2120","155","13.63",""
"97","","Fire Emblem Engage","83160420","4525800","13358","319","4980","2065","112","18.37",""
"98","","Crypto","82599720","2747400","10805","138","1309","2051","68","30.06",""
"99","","Getting Over It with Bennett Foddy","82453080","341520","97834","32","3308","2048","8","241.43",""
"100","","ARK: Survival Evolved","78500460","11441940","10421","575","26880","1949","284","6.86",""
