"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14875531980","174021300","820386","6758","465224","344819","4033","85.48",""
"2","","Diablo IV","9508941660","201026400","937361","21450","222226","220420","4659","47.3",""
"3","","League of Legends","5723499720","115774260","433090","3855","189678","132672","2683","49.44",""
"4","","VALORANT","5632493760","201180120","606364","7682","361787","130563","4663","28",""
"5","","Grand Theft Auto V","5493159960","124426560","331184","4920","255041","127333","2884","44.15",""
"6","","Counter-Strike: Global Offensive","2677707120","58210080","450763","2505","138439","62070","1349","46",""
"7","","Dota 2","2610655920","38288700","235862","1620","49776","60515","887","68.18",""
"8","","Minecraft","2380723560","104162820","301721","3885","354699","55185","2414","22.86",""
"9","","Rust","2339666640","19756980","566990","1150","35291","54234","457","118.42",""
"10","","Fortnite","2207005500","240311340","351394","11825","792949","51159","5570","9.18",""
"11","","Street Fighter 6","2101921920","30409260","326275","2658","57610","48723","704","69.12",""
"12","","Only Up!","1964518080","10209600","279318","748","49592","45538","236","192.42",""
"13","","Teamfight Tactics","1763734800","21284340","136340","1324","44576","40883","493","82.87",""
"14","","Apex Legends","1689642300","142016640","90001","5130","276113","39166","3291","11.9",""
"15","","Call of Duty: Warzone","1431963780","60130620","136697","3281","95283","33193","1393","23.81",""
"16","","Sports","1328032740","5034720","414626","507","11664","30784","116","263.77",""
"17","","Overwatch 2","1315956900","60457860","105884","2606","160574","30504","1401","21.77",""
"18","","World of Warcraft","1163784600","43153860","60750","2968","47973","26976","1000","26.97",""
"19","","Special Events","1151392080","5341200","1504132","5530","17951","26689","123","215.57",""
"20","","Casino Slot Machine","1131966540","2782140","59120","117","1343","26239","64","406.87",""
"21","","FIFA 23","1127683200","40693380","140561","2385","165885","26140","943","27.71",""
"22","","Dead by Daylight","1126795080","78223140","64663","3895","126563","26119","1813","14.4",""
"23","","FINAL FANTASY XVI","878735940","34211340","179638","5009","49639","20369","793","25.69",""
"24","","Slots","855194520","4182000","61887","186","4823","19823","96","204.49",""
"25","","Music","817481820","56462520","85644","5644","57540","18949","1308","14.48",""
"26","","Call of Duty: Modern Warfare II","701121060","164644320","249513","7458","412096","16252","3816","4.26",""
"27","","Hearthstone","610852740","5382900","46415","239","9100","14159","124","113.48",""
"28","","Rocket League","588887580","42304260","111728","1727","199079","13650","980","13.92",""
"29","","Escape from Tarkov","524075400","18291780","25649","744","19037","12148","424","28.65",""
"30","","ASMR","518543280","5721780","24512","255","4434","12020","132","90.63",""
"31","","The Legend of Zelda: Tears of the Kingdom","488607420","34029900","68413","2117","42265","11326","788","14.36",""
"32","","World of Tanks","456503880","7321800","74936","346","10642","10581","169","62.35",""
"33","","BattleBit Remastered","439810260","8744040","70454","706","26668","10194","202","50.3",""
"34","","Art","437983020","27562560","43292","943","49138","10152","638","15.89",""
"35","","Virtual Casino","434498220","2390820","28258","126","2314","10071","55","181.74",""
"36","","Albion Online","423732300","5570760","18684","212","4830","9822","129","76.06",""
"37","","PUBG: BATTLEGROUNDS","405721620","24049440","91642","1011","39576","9404","557","16.87",""
"38","","Genshin Impact","388899840","31936140","249288","2139","61710","9014","740","12.18",""
"39","","MapleStory","373683120","4968600","100558","292","5123","8662","115","75.21",""
"40","","Lost Ark","371663100","10194240","325702","1058","7352","8615","236","36.46",""
"41","","Honkai: Star Rail","357971580","13600860","68837","1478","33494","8297","315","26.32",""
"42","","Tom Clancy's Rainbow Six Siege","351718260","49257000","33487","1954","170417","8152","1141","7.14",""
"43","","Talk Shows & Podcasts","329695020","10668180","196189","523","15041","7642","247","30.9",""
"44","","Travel & Outdoors","314438460","5484900","62380","275","5960","7288","127","57.33",""
"45","","Old School RuneScape","301469760","5823600","17284","235","6546","6988","134","51.77",""
"46","","DayZ","278145900","12953040","56483","554","24741","6447","300","21.47",""
"47","","Chess","263659440","3194040","35651","147","9690","6111","74","82.55",""
"48","","Black Desert","261673680","7067640","31174","367","6930","6065","163","37.02",""
"49","","Fall Guys","257269140","11956200","118204","540","80813","5963","277","21.52",""
"50","","Destiny 2","256986000","27685380","19880","1679","60649","5957","641","9.28",""
"51","","I'm Only Sleeping","239410440","7586400","20780","530","5851","5549","175","31.56",""
"52","","Poker","236564580","3947520","32071","245","4176","5483","91","59.93",""
"53","","Pools, Hot Tubs, and Beaches","235325640","3072000","38965","144","3225","5454","71","76.6",""
"54","","ELDEN RING","234730920","14695680","88536","623","37386","5441","340","15.97",""
"55","","Sea of Thieves","234469860","11641680","42615","510","29904","5435","269","20.14",""
"56","","Retro","231203940","9409080","9703","347","10504","5359","218","24.57",""
