"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"57","","FINAL FANTASY XIV ONLINE","231015780","25914180","23403","2701","25176","5355","600","8.91",""
"58","","SMITE","230374380","7458120","17894","372","15128","5340","172","30.89",""
"59","","NBA 2K23","199803420","43067280","45008","1986","136633","4631","998","4.64",""
"60","","ROBLOX","195045720","29739720","90465","1165","180771","4521","689","6.56",""
"61","","Farlight 84","192600480","14869560","58477","971","42050","4464","344","12.95",""
"62","","New World","176103600","3893100","19274","200","4367","4082","90","45.23",""
"63","","VRChat","173733540","5091060","96053","381","10940","4027","118","34.13",""
"64","","Tibia","172522320","8857680","11848","451","5773","3999","205","19.48",""
"65","","Among Us","170102040","3829320","118547","256","28790","3943","88","44.42",""
"66","","Magic: The Gathering","168116520","3020760","16214","182","6001","3896","70","55.65",""
"67","","Trackmania","165642360","2000280","87715","141","9433","3839","46","82.81",""
"68","","Hunt: Showdown","157358220","10731780","17668","977","15056","3647","248","14.66",""
"69","","Amnesia: The Bunker","156291720","4656420","86270","498","29829","3622","107","33.56",""
"70","","F1 23","156097260","4623540","60669","620","15966","3618","107","33.76",""
"71","","Red Dead Redemption 2","154022040","14331840","34060","639","38432","3570","332","10.75",""
"72","","Games + Demos","148090560","18395760","32933","1035","98545","3432","426","8.05",""
"73","","Blue Protocol","141881760","7255440","35911","1525","11208","3288","168","19.56",""
"74","","7 Days to Die","141744000","9567120","18267","533","16323","3285","221","14.82",""
"75","","Lies of P","141543240","3120840","176445","717","17950","3281","72","45.35",""
"76","","Counter-Strike 2","136867020","911640","108807","117","3272","3172","21","150.13",""
"77","","The Outlast Trials","131828580","6764520","44545","565","24714","3055","156","19.49",""
"78","","Pokémon Scarlet/Violet","130649580","5776080","68624","230","8976","3028","133","22.62",""
"79","","Animals, Aquariums, and Zoos","126624240","10039380","8504","419","1314","2935","232","12.61",""
"80","","Super Smash Bros. Ultimate","126231840","3954060","63735","207","8905","2926","91","31.92",""
"81","","Politics","122364600","1030500","93760","89","1221","2836","23","118.74",""
"82","","Halo Infinite","116281800","5576640","65646","461","17952","2695","129","20.85",""
"83","","Heroes of Might and Magic III: The Restoration of Erathia","111447180","1278000","11871","68","819","2583","29","87.2",""
"84","","StarCraft II","106902180","1808340","31196","75","2929","2478","41","59.12",""
"85","","Phasmophobia","106259340","9602580","19428","441","39465","2463","222","11.07",""
"86","","Crypto","103028220","2472180","13948","93","1078","2388","57","41.68",""
"87","","Pokémon HeartGold/SoulSilver","99087960","896520","8542","52","1777","2296","20","110.53",""
"88","","MARVEL SNAP","98623560","1429680","16534","109","3468","2286","33","68.98",""
"89","","The Sims 4","96370440","5867640","18020","266","18836","2233","136","16.42",""
"90","","Clash Royale","95765280","1467900","21783","76","14088","2219","34","65.24",""
"91","","MLB The Show 23","95057220","5354460","12544","291","14264","2203","124","17.75",""
"92","","Age of Empires II","91813860","2038680","10870","92","4034","2128","47","45.04",""
"93","","Lineage II","91436940","2847840","4177","137","1778","2119","66","32.11",""
"94","","Super Mario 64","88269000","1662840","69209","91","3376","2046","38","53.08",""
"95","","Aliens: Dark Descent","88185840","1369020","34500","213","3103","2044","31","64.42",""
"96","","Yu-Gi-Oh! Master Duel","87887760","3568920","8268","149","10445","2037","82","24.63",""
"97","","Mario Kart 8 Deluxe","87441180","2423880","97668","208","10293","2026","56","36.07",""
"98","","XDefiant","87131040","5232720","72385","2369","42479","2019","121","16.65",""
"99","","Star Citizen","86895960","3712020","10793","177","4322","2014","86","23.41",""
"100","","The Elder Scrolls Online","85144740","5090160","19188","299","8194","1973","117","16.73",""
