"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"28","","Rust","244142880","5799420","38963","285","9939","5476","130","42.1",""
"29","","Art","229606680","11813400","25259","442","21509","5150","264","19.44",""
"30","","NBA 2K19","225590640","13482060","29784","686","32173","5060","302","16.73",""
"31","","Poker","221532000","3513540","27598","172","2976","4969","78","63.05",""
"32","","Path of Exile","220173360","7039980","15276","297","8275","4938","157","31.27",""
"33","","Battlerite Royale","209677680","3535500","35439","232","7509","4703","79","59.31",""
"34","","Escape from Tarkov","191728320","6701580","31937","301","8295","4300","150","28.61",""
"35","","SoulCalibur VI","171428460","2774280","35806","555","7727","3845","62","61.79",""
"36","","World of Tanks","167628240","6655440","15562","344","8734","3760","149","25.19",""
"37","","ASMR","161823900","1504020","12744","52","1854","3629","33","107.59",""
"38","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","157468620","3903060","30131","193","2882","3532","87","40.34",""
"39","","Black Desert","148906740","6280320","14491","221","7516","3340","140","23.71",""
"40","","MapleStory 2","146770860","9112260","33039","812","20815","3292","204","16.11",""
"41","","Special Events","136323840","529440","143989","80","2675","3057","11","257.49",""
"42","","Warcraft III","134876340","1712520","33214","79","1846","3025","38","78.76",""
"43","","Pathfinder: Kingmaker","122405760","1493940","22506","106","1718","2745","33","81.93",""
"44","","Games + Demos","115861980","2015040","39989","98","5926","2598","45","57.5",""
"45","","Mega Man 11","115006260","1580760","30938","333","4837","2579","35","72.75",""
"46","","Ring of Elysium","114739620","9067140","33849","818","25231","2573","203","12.65",""
"47","","StarCraft","109789680","833940","41746","45","1373","2462","18","131.65",""
"48","","Gwent: The Witcher Card Game","105013860","1339020","33260","181","2480","2355","30","78.43",""
"49","","Tekken 7","101950500","2442960","30235","100","7604","2286","54","41.73",""
"50","","Street Fighter V","100693860","1907100","24693","86","3769","2258","42","52.8",""
"51","","The Elder Scrolls Online","94404720","3749640","13808","163","5753","2117","84","25.18",""
"52","","Super Mario Party","94373280","1012080","52103","319","3943","2116","22","93.25",""
"53","","SMITE","93425040","5521200","7451","252","11146","2095","123","16.92",""
"54","","ARK: Survival Evolved","91079940","6168000","6581","285","7486","2043","138","14.77",""
"55","","Forza Horizon 4","89881500","7280400","20354","654","23973","2016","163","12.35",""
"56","","Thronebreaker: The Witcher Tales","89649900","671400","121697","223","1628","2010","15","133.53",""
"57","","Monster Hunter: World","83951460","7330320","7557","414","18735","1883","164","11.45",""
"58","","Visage","83620260","988620","35637","149","5913","1875","22","84.58",""
"59","","Retro","83486760","4166580","8392","160","5316","1872","93","20.04",""
"60","","Slay the Spire","81757860","1100940","9895","50","3257","1833","24","74.26",""
"61","","Warframe","81581880","7214700","53031","283","14337","1830","161","11.31",""
"62","","Super Mario Maker","81575400","645360","13614","39","702","1829","14","126.4",""
"63","","RimWorld","81232860","2440020","21041","134","4005","1822","54","33.29",""
"64","","Fallout 4","79226460","5094480","15830","219","12683","1777","114","15.55",""
"65","","Super Smash Bros. Melee","78612180","900900","59913","64","2219","1763","20","87.26",""
"66","","Fallout 76","78005760","1573560","138444","3801","7162","1749","35","49.57",""
"67","","For Honor","72865980","3722100","39741","274","11130","1634","83","19.58",""
"68","","Marvel's Spider-Man","69649080","6658380","40806","530","25618","1562","149","10.46",""
"69","","Chess","67759440","737340","12905","56","977","1519","16","91.9",""
"70","","Marbles on Stream","67148160","1593960","33407","81","3452","1506","35","42.13",""
"71","","Travel & Outdoors","66928800","3035100","11581","138","22051","1501","68","22.05",""
"72","","Dragon Ball FighterZ","66913680","1849020","30606","103","7632","1500","41","36.19",""
"73","","Dungeons & Dragons","66317880","1771920","37438","165","3231","1487","39","37.43",""
"74","","Eternal Card Game","64775700","609900","5579","32","590","1453","13","106.21",""
"75","","Summoners War: Sky Arena","61352700","1128240","24622","57","1173","1376","25","54.38",""
"76","","Tibia","60673020","3420180","3856","141","3561","1360","76","17.74",""
"77","","Food & Drink","59792220","806160","10049","38","4086","1341","18","74.17",""
"78","","Fitness & Health","58229820","263460","89501","33","1169","1306","5","221.02",""
"79","","FINAL FANTASY XIV ONLINE","58187820","6961860","5176","610","8665","1305","156","8.36",""
"80","","PUBG Mobile","57014220","6942060","59855","269","15903","1278","155","8.21",""
"81","","Quake Champions","55824180","1714980","20685","103","4391","1252","38","32.55",""
"82","","Terraria","55652640","1831140","6989","95","5251","1248","41","30.39",""
"83","","Heroes of Might and Magic III: The Shadow of Death","55619160","524700","11784","34","526","1247","11","106",""
"84","","Dark Souls III","55026480","3627300","81245","149","10002","1234","81","15.17",""
"85","","The Binding of Isaac: Repentance","54801360","1141500","27783","68","3716","1229","25","48.01",""
"86","","Call of Cthulhu","53860680","735480","64344","538","2965","1208","16","73.23",""
"87","","osu!","53323200","7339020","9364","308","26747","1196","164","7.27",""
"88","","Garry's Mod","53163360","1133580","63539","76","5391","1192","25","46.9",""
"89","","VRChat","53004540","3436980","5667","171","5414","1188","77","15.42",""
"90","","Diablo III","52391940","4830120","4836","247","10373","1175","108","10.85",""
"91","","The Legend of Zelda: Ocarina of Time","51120300","1215660","20208","111","1659","1146","27","42.05",""
"92","","Madden NFL 19","49149120","8485680","14913","586","21579","1102","190","5.79",""
"93","","Pokémon Ultra Sun/Ultra Moon","48861960","1615020","8309","74","2267","1096","36","30.25",""
"94","","The Dark Occult","46879920","664560","27794","54","1953","1051","14","70.54",""
"95","","XCOM 2: War of the Chosen","45449340","736320","10942","62","1179","1019","16","61.72",""
"96","","Diablo II: Lord of Destruction","45187380","709140","72041","32","997","1013","15","63.72",""
"97","","World War 3","44873160","1330920","26385","234","4140","1006","29","33.72",""
"98","","The Jackbox Party Pack 5","44487180","793200","34796","194","3190","997","17","56.09",""
"99","","Star Citizen","44089920","1164720","44081","110","1979","989","26","37.85",""
"100","","Arma 3","43555980","3139860","14350","240","5707","977","70","13.87",""
