"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","6727501200","398319000","591205","20952","822907","150908","8934","16.89",""
"2","","League of Legends","6551494020","97964520","911568","3439","152293","146960","2197","66.88",""
"3","","Call of Duty: Black Ops 4","3809826180","104310780","449597","13323","322306","85460","2339","36.52",""
"4","","Just Chatting","2238363300","26608380","156436","1163","76354","50210","596","84.12",""
"5","","Dota 2","2115616860","27109200","211365","1313","34965","47456","608","78.04",""
"6","","World of Warcraft","1530249660","53986260","110915","3543","66777","34325","1210","28.35",""
"7","","Counter-Strike: Global Offensive","1452263400","43199160","221263","1958","113472","32576","969","33.62",""
"8","","PUBG: BATTLEGROUNDS","1398101160","55231200","143135","2184","92249","31361","1238","25.31",""
"9","","Hearthstone","1333036800","9460620","82400","494","19632","29902","212","140.9",""
"10","","Red Dead Redemption 2","1171822980","34018260","382860","8785","88742","26285","763","34.45",""
"11","","Casino","1127141460","2506680","111963","112","2368","25283","56","449.66",""
"12","","FIFA 19","1104966180","21158880","127184","1519","57635","24786","474","52.22",""
"13","","Overwatch","971305320","50853120","62487","2870","118139","21787","1140","19.1",""
"14","","Assassin's Creed Odyssey","823655280","16107900","105475","1221","34860","18475","361","51.13",""
"15","","Dead by Daylight","715640760","29643660","79461","1360","53653","16052","664","24.14",""
"16","","Grand Theft Auto V","714174600","18397800","55457","890","41759","16020","412","38.82",""
"17","","Magic: The Gathering","495420360","7368840","32624","285","13859","11113","165","67.23",""
"18","","Destiny 2","433291440","35175180","46321","2053","60325","9719","789","12.32",""
"19","","Tom Clancy's Rainbow Six Siege","410116620","37202580","46967","1676","105165","9199","834","11.02",""
"20","","Always On","331466100","785580","27321","21","64","7435","17","421.94",""
"21","","Talk Shows & Podcasts","324942600","4774260","68164","208","17413","7288","107","68.06",""
"22","","Music","324166260","10988460","21394","332","13107","7271","246","29.5",""
"23","","Rocket League","320856960","13663080","78727","546","53748","7197","306","23.48",""
"24","","Old School RuneScape","283317780","5677440","19880","210","8060","6355","127","49.9",""
"25","","Heroes of the Storm","279124980","7573200","50214","279","12537","6261","169","36.86",""
"26","","StarCraft II","277733280","3891480","70851","146","6425","6229","87","71.37",""
"27","","Minecraft","264200940","14707620","35072","649","37293","5926","329","17.96",""
